"price","change","match_qtty","side","time","total_vol"
11450,-200,500,"bu","14:18:52",132400
11450,-200,500,"bu","14:16:44",131900
11450,-200,500,"sd","13:44:29",131400
11450,-200,500,"sd","13:44:29",130900
11450,-200,100,"sd","13:44:29",130400
11500,-150,100,"bu","13:42:00",130300
11500,-150,500,"bu","13:36:26",130200
11500,-150,3000,"bu","13:25:39",129700
11500,-150,4500,"bu","13:19:35",126700
11500,-150,2000,"bu","13:18:59",122200
11500,-150,3000,"bu","13:18:46",120200
11500,-150,100,"sd","13:18:16",117200
11500,-150,2800,"sd","13:17:53",117100
11500,-150,2000,"bu","13:15:02",114300
11500,-150,2500,"bu","11:27:53",112300
11500,-150,2500,"bu","11:27:22",109800
11500,-150,2000,"bu","11:27:11",107300
11500,-150,2500,"bu","11:26:57",105300
11500,-150,5500,"bu","11:26:42",102800
11500,-150,6500,"bu","11:26:10",97300
11500,-150,2500,"bu","11:25:49",90800
11500,-150,6000,"bu","11:25:39",88300
11500,-150,3500,"bu","11:25:23",82300
11550,-100,1000,"bu","11:24:38",78800
11550,-100,1500,"bu","11:18:05",77800
11550,-100,2500,"bu","11:10:35",76300
11550,-100,1000,"bu","11:01:25",73800
11550,-100,2000,"bu","10:49:31",72800
11550,-100,1500,"bu","10:39:56",70800
11550,-100,1500,"bu","10:39:36",69300
11550,-100,1500,"bu","10:37:38",67800
11550,-100,4500,"bu","10:37:28",66300
11550,-100,500,"bu","10:36:40",61800
11550,-100,1500,"bu","10:36:16",61300
11550,-100,3500,"bu","10:36:05",59800
11550,-100,2500,"bu","10:35:37",56300
11550,-100,3500,"bu","10:35:14",53800
11550,-100,500,"bu","10:34:03",50300
11550,-100,3500,"bu","10:33:33",49800
11550,-100,2000,"bu","10:33:04",46300
11550,-100,500,"bu","10:33:04",44300
11550,-100,1000,"bu","10:32:50",43800
11550,-100,3500,"bu","10:32:20",42800
11550,-100,2000,"bu","10:31:46",39300
11550,-100,3000,"bu","10:30:24",37300
11550,-100,2000,"bu","10:22:05",34300
11550,-100,3000,"bu","10:21:21",32300
11550,-100,3000,"bu","10:20:18",29300
11600,-50,5000,"bu","10:19:38",26300
11600,-50,3000,"bu","10:17:47",21300
11600,-50,1900,"bu","10:15:21",18300
11600,-50,1100,"bu","10:14:13",16400
11600,-50,5000,"bu","10:14:00",15300
11600,-50,3000,"bu","10:13:50",10300
11600,-50,100,"bu","10:13:50",7300
11650,0,1500,"bu","10:00:29",7200
11650,0,500,"bu","10:00:14",5700
11450,-200,400,"sd","09:53:55",5200
11650,0,300,"bu","09:39:06",4800
11650,0,100,"bu","09:35:50",4500
11650,0,700,"bu","09:34:47",4400
11650,0,1000,"bu","09:34:19",3700
11650,0,100,"bu","09:27:49",2700
11450,-200,600,"bu","09:27:13",2600
11450,-200,2000,"bu","09:26:24",2000
