"price","change","match_qtty","side","time","total_vol"
37650,50,2000,"sd","14:28:53",466100
37650,50,2000,"sd","14:28:34",464100
37650,50,1800,"sd","14:28:14",462100
37650,50,500,"sd","13:51:37",460300
37650,50,500,"sd","13:51:37",459800
37650,50,1000,"sd","13:48:03",459300
37750,150,1500,"sd","13:48:03",458300
37750,150,400,"sd","13:48:03",456800
37750,150,1100,"sd","13:48:03",456400
37750,150,1000,"sd","13:48:03",455300
37750,150,100,"sd","13:47:09",454300
37750,150,500,"sd","13:47:09",454200
37750,150,400,"sd","13:47:09",453700
37750,150,200,"sd","13:47:09",453300
37750,150,1100,"sd","13:47:09",453100
37750,150,200,"sd","13:47:09",452000
37750,150,900,"sd","13:47:09",451800
37750,150,100,"sd","13:47:09",450900
37750,150,700,"sd","13:47:09",450800
37750,150,300,"sd","13:47:09",450100
37750,150,500,"sd","13:47:09",449800
37750,150,400,"sd","13:47:08",449300
37750,150,700,"sd","13:47:08",448900
37750,150,800,"sd","13:47:08",448200
37750,150,300,"sd","13:47:08",447400
37750,150,700,"sd","13:47:08",447100
37750,150,400,"sd","13:47:08",446400
37750,150,300,"sd","13:47:08",446000
37750,150,300,"sd","13:47:08",445700
37750,150,500,"sd","13:47:08",445400
37750,150,600,"sd","13:47:08",444900
37750,150,600,"sd","13:47:06",444300
37750,150,400,"sd","13:47:06",443700
37750,150,100,"sd","13:47:06",443300
37750,150,1100,"sd","13:47:06",443200
37750,150,300,"sd","13:47:06",442100
37750,150,600,"sd","13:47:06",441800
37750,150,400,"sd","13:47:06",441200
37750,150,700,"sd","13:47:06",440800
37750,150,300,"sd","13:47:06",440100
37750,150,200,"sd","13:47:06",439800
37750,150,300,"sd","13:47:06",439600
37750,150,600,"bu","13:46:46",439300
37750,150,400,"bu","13:46:46",438700
37750,150,300,"bu","13:46:46",438300
37750,150,1200,"bu","13:46:45",438000
37750,150,400,"bu","13:46:45",436800
37750,150,600,"sd","13:46:45",436400
37750,150,700,"sd","13:46:44",435800
37750,150,300,"sd","13:46:44",435100
37750,150,500,"sd","13:46:44",434800
37750,150,600,"bu","13:46:44",434300
37750,150,400,"bu","13:46:44",433700
37750,150,100,"bu","13:46:44",433300
37750,150,1400,"bu","13:46:44",433200
37750,150,200,"bu","13:46:44",431800
37750,150,500,"sd","13:46:43",431600
37750,150,500,"sd","13:46:43",431100
37750,150,300,"sd","13:46:43",430600
37750,150,700,"sd","13:46:43",430300
37750,150,100,"sd","13:46:43",429600
37750,150,200,"sd","13:46:43",429500
37750,150,400,"sd","13:46:23",429300
37750,150,200,"sd","13:46:23",428900
37750,150,400,"sd","13:46:23",428700
37750,150,500,"sd","13:46:23",428300
37750,150,1000,"sd","13:46:23",427800
37750,150,100,"sd","13:46:23",426800
37750,150,900,"sd","13:46:23",426700
37750,150,200,"sd","13:46:23",425800
37750,150,500,"sd","13:46:23",425600
37750,150,300,"sd","13:46:23",425100
37750,150,300,"sd","13:46:23",424800
37750,150,200,"sd","13:46:23",424500
37750,150,600,"bu","13:46:21",424300
37750,150,300,"bu","13:46:21",423700
37750,150,100,"sd","13:46:21",423400
