"price","change","match_qtty","side","time","total_vol"
28000,-1400,9000,"sd","14:45:01",321300
28700,-700,100,"bu","14:29:01",312300
28700,-700,100,"bu","14:28:20",312200
28700,-700,100,"bu","14:27:45",312100
28500,-900,100,"unknown","14:26:30",312000
28700,-700,100,"bu","14:26:18",311900
28700,-700,100,"bu","14:24:12",311800
28700,-700,100,"bu","14:22:49",311700
28700,-700,100,"bu","14:20:52",311600
28700,-700,100,"bu","14:19:09",311500
28700,-700,200,"bu","14:14:38",311400
28600,-800,100,"sd","14:14:04",311200
28700,-700,100,"bu","14:13:49",311100
28700,-700,200,"bu","14:09:13",311000
28700,-700,100,"bu","14:08:18",310800
28700,-700,400,"bu","14:05:08",310700
28700,-700,500,"bu","14:04:14",310300
28700,-700,200,"bu","14:02:31",309800
28700,-700,300,"bu","13:59:06",309600
28700,-700,200,"bu","13:54:42",309300
28700,-700,100,"bu","13:53:51",309100
28700,-700,400,"bu","13:52:30",309000
28700,-700,200,"bu","13:50:16",308600
28800,-600,300,"bu","13:49:16",308400
28800,-600,300,"bu","13:47:11",308100
28800,-600,200,"bu","13:45:49",307800
28400,-1000,2000,"sd","13:45:36",307600
28800,-600,200,"bu","13:43:46",305600
28800,-600,300,"bu","13:42:58",305400
28800,-600,100,"bu","13:40:36",305100
28800,-600,200,"bu","13:37:04",305000
28800,-600,500,"bu","13:36:27",304800
28800,-600,200,"bu","13:35:24",304300
28800,-600,300,"bu","13:33:24",304100
28800,-600,200,"bu","13:31:30",303800
28800,-600,400,"sd","13:31:03",303600
28800,-600,600,"sd","13:30:40",303200
28800,-600,300,"bu","13:29:49",302600
28800,-600,100,"bu","13:29:02",302300
28800,-600,200,"bu","13:27:34",302200
28800,-600,300,"bu","13:27:01",302000
28800,-600,300,"bu","13:25:14",301700
28800,-600,100,"bu","13:23:44",301400
28800,-600,200,"bu","13:22:30",301300
28800,-600,500,"bu","13:21:58",301100
28800,-600,300,"bu","13:21:06",300600
28800,-600,100,"bu","13:20:52",300300
28800,-600,200,"sd","13:20:42",300200
28900,-500,300,"bu","13:20:24",300000
28900,-500,200,"bu","13:19:45",299700
28800,-600,200,"sd","13:19:34",299500
28800,-600,500,"bu","13:18:55",299300
28800,-600,300,"bu","13:18:30",298800
28900,-500,500,"bu","13:18:00",298500
28900,-500,200,"bu","13:17:39",298000
28900,-500,100,"bu","13:17:03",297800
28900,-500,300,"bu","13:16:31",297700
28900,-500,200,"bu","13:15:10",297400
28900,-500,500,"bu","13:14:19",297200
28900,-500,300,"bu","13:12:06",296700
29000,-400,100,"unknown","13:05:25",296400
29100,-300,300,"unknown","13:04:33",296300
29100,-300,1200,"sd","13:03:48",296000
29100,-300,5000,"bu","13:03:43",294800
29100,-300,3000,"bu","13:03:38",289800
29000,-400,3400,"sd","13:03:31",286800
29000,-400,5000,"bu","13:03:23",283400
28900,-500,200,"sd","13:03:05",278400
28900,-500,4800,"bu","13:03:02",278200
28700,-700,2300,"sd","13:02:54",273400
28600,-800,300,"bu","13:02:20",271100
28600,-800,100,"bu","13:01:09",270800
28500,-900,300,"unknown","13:00:18",270700
28500,-900,300,"sd","13:00:06",270400
28500,-900,200,"sd","13:00:04",270100
28600,-800,100,"bu","11:25:08",269900
28600,-800,200,"bu","11:23:09",269800
28600,-800,100,"bu","11:20:21",269600
28600,-800,300,"bu","11:15:58",269500
28600,-800,100,"bu","11:15:05",269200
28600,-800,200,"bu","11:08:57",269100
28600,-800,100,"bu","11:08:27",268900
28700,-700,200,"bu","11:07:34",268800
28800,-600,100,"bu","11:06:08",268600
28800,-600,200,"bu","11:00:55",268500
28800,-600,100,"bu","10:58:29",268300
28800,-600,100,"bu","10:55:31",268200
28800,-600,100,"bu","10:54:32",268100
28800,-600,200,"bu","10:54:03",268000
28800,-600,200,"bu","10:53:07",267800
28900,-500,200,"bu","10:50:39",267600
28800,-600,100,"bu","10:44:39",267400
28800,-600,1500,"bu","10:44:33",267300
28800,-600,2000,"bu","10:44:23",265800
28800,-600,3000,"bu","10:44:15",263800
28800,-600,3400,"sd","10:44:06",260800
28800,-600,1600,"sd","10:44:05",257400
28800,-600,1500,"bu","10:43:52",255800
28800,-600,2000,"bu","10:43:42",254300
28800,-600,500,"bu","10:43:22",252300
28800,-600,600,"bu","10:43:04",251800
28800,-600,500,"bu","10:42:49",251200
28800,-600,800,"bu","10:42:40",250700
28800,-600,200,"bu","10:36:58",249900
28800,-600,700,"bu","10:36:52",249700
28800,-600,100,"sd","10:36:41",249000
28800,-600,400,"bu","10:36:30",248900
28800,-600,1100,"bu","10:36:22",248500
28800,-600,1000,"bu","10:36:13",247400
28800,-600,2000,"bu","10:36:05",246400
28800,-600,500,"bu","10:35:57",244400
28800,-600,1000,"bu","10:35:39",243900
28800,-600,500,"bu","10:35:30",242900
28800,-600,2000,"bu","10:35:22",242400
28800,-600,500,"bu","10:35:13",240400
28800,-600,100,"unknown","10:32:22",239900
28800,-600,1000,"sd","10:31:59",239800
28800,-600,900,"bu","10:31:16",238800
28800,-600,2000,"bu","10:31:13",237900
28800,-600,1500,"bu","10:31:09",235900
28800,-600,1000,"bu","10:31:05",234400
28800,-600,100,"bu","10:30:59",233400
28800,-600,300,"bu","10:30:50",233300
28800,-600,600,"bu","10:30:47",233000
28800,-600,900,"bu","10:30:43",232400
28800,-600,200,"bu","10:30:38",231500
28800,-600,500,"bu","10:30:35",231300
28800,-600,800,"bu","10:30:32",230800
28800,-600,100,"bu","10:30:29",230000
28800,-600,400,"bu","10:30:26",229900
28800,-600,700,"bu","10:30:22",229500
28800,-600,500,"bu","10:25:42",228800
28800,-600,1000,"bu","10:25:38",228300
28800,-600,1500,"bu","10:25:33",227300
28800,-600,2100,"bu","10:25:30",225800
28800,-600,400,"sd","10:25:25",223700
28800,-600,600,"sd","10:25:21",223300
28800,-600,500,"bu","10:25:16",222700
28800,-600,2000,"bu","10:25:11",222200
28800,-600,1200,"bu","10:25:07",220200
28800,-600,200,"sd","10:25:00",219000
28800,-600,1800,"bu","10:24:25",218800
28800,-600,1700,"bu","10:24:21",217000
28800,-600,1100,"bu","10:24:13",215300
28800,-600,1400,"bu","10:24:06",214200
28700,-700,800,"sd","10:23:31",212800
28700,-700,300,"bu","10:23:26",212000
28700,-700,500,"bu","10:23:22",211700
28700,-700,100,"bu","10:23:20",211200
28700,-700,600,"bu","10:23:16",211100
28700,-700,400,"bu","10:23:13",210500
28700,-700,200,"bu","10:23:10",210100
28700,-700,500,"bu","10:23:05",209900
28700,-700,1000,"bu","10:22:59",209400
28700,-700,2000,"bu","10:22:55",208400
28700,-700,500,"bu","10:22:42",206400
28700,-700,200,"bu","10:22:39",205900
28700,-700,900,"bu","10:22:35",205700
28700,-700,600,"bu","10:22:29",204800
28700,-700,300,"bu","10:22:25",204200
28700,-700,700,"bu","10:22:21",203900
28700,-700,400,"bu","10:22:19",203200
28700,-700,100,"bu","10:22:15",202800
28700,-700,600,"bu","10:22:10",202700
28700,-700,400,"bu","10:22:07",202100
28700,-700,800,"bu","10:22:04",201700
28700,-700,200,"bu","10:22:00",200900
28700,-700,700,"bu","10:21:57",200700
28700,-700,500,"bu","10:21:52",200000
28700,-700,300,"bu","10:21:48",199500
28700,-700,900,"bu","10:21:45",199200
28700,-700,500,"bu","10:21:41",198300
28700,-700,100,"bu","10:21:37",197800
28700,-700,400,"bu","10:17:10",197700
28700,-700,2000,"bu","10:17:01",197300
28700,-700,100,"bu","10:16:54",195300
28700,-700,1400,"bu","10:16:21",195200
28600,-800,1500,"bu","10:16:09",193800
28400,-1000,100,"bu","10:15:35",192300
28400,-1000,1000,"bu","10:15:30",192200
28400,-1000,1500,"bu","10:15:26",191200
28400,-1000,2300,"bu","10:15:21",189700
28400,-1000,4000,"bu","10:15:15",187400
28400,-1000,300,"bu","10:14:45",183400
28400,-1000,1700,"sd","10:14:41",183100
28400,-1000,5000,"bu","10:14:33",181400
28400,-1000,1300,"bu","10:14:28",176400
28500,-900,300,"bu","10:14:09",175100
28500,-900,500,"bu","10:14:00",174800
28500,-900,1000,"bu","10:13:48",174300
28500,-900,400,"bu","10:13:36",173300
28500,-900,200,"bu","10:13:27",172900
28400,-1000,1200,"sd","10:12:14",172700
28400,-1000,3000,"bu","10:12:05",171500
28400,-1000,800,"bu","10:12:00",168500
28400,-1000,200,"sd","10:11:57",167700
28400,-1000,1000,"bu","10:11:52",167500
28400,-1000,1300,"bu","10:11:48",166500
28400,-1000,500,"bu","10:11:47",165200
28500,-900,500,"bu","10:11:36",164700
28400,-1000,2000,"bu","10:11:29",164200
28400,-1000,200,"sd","10:11:23",162200
28400,-1000,1300,"bu","10:11:19",162000
28400,-1000,3000,"bu","10:11:11",160700
28400,-1000,700,"sd","10:11:07",157700
28400,-1000,2000,"sd","10:10:57",157000
28500,-900,500,"unknown","10:10:31",155000
28400,-1000,300,"sd","10:10:17",154500
28400,-1000,1700,"bu","10:10:03",154200
28400,-1000,1000,"bu","10:09:54",152500
28500,-900,1500,"bu","10:09:38",151500
28600,-800,500,"bu","10:09:26",150000
28700,-700,600,"bu","10:07:01",149500
28700,-700,1000,"bu","10:06:50",148900
28700,-700,1500,"bu","10:06:40",147900
28700,-700,2000,"bu","10:06:30",146400
28700,-700,2900,"bu","10:05:46",144400
28700,-700,2100,"sd","10:05:31",141500
28700,-700,1000,"bu","10:05:02",139400
28700,-700,1400,"bu","10:04:54",138400
28700,-700,2000,"bu","10:04:43",137000
28700,-700,500,"bu","10:04:40",135000
28800,-600,400,"bu","10:04:08",134500
28800,-600,500,"bu","10:03:57",134100
28800,-600,300,"bu","10:02:53",133600
28800,-600,1000,"bu","10:02:39",133300
28800,-600,400,"bu","10:02:31",132300
28800,-600,500,"bu","10:02:20",131900
28800,-600,1000,"bu","10:01:40",131400
28800,-600,3000,"bu","10:01:24",130400
28800,-600,600,"bu","10:01:07",127400
28800,-600,300,"bu","10:00:57",126800
28800,-600,200,"bu","10:00:47",126500
28800,-600,300,"bu","10:00:21",126300
28800,-600,500,"bu","10:00:13",126000
28800,-600,300,"bu","10:00:12",125500
28800,-600,600,"bu","10:00:05",125200
28800,-600,2000,"bu","09:59:51",124600
28800,-600,500,"bu","09:59:03",122600
28800,-600,600,"bu","09:58:54",122100
28800,-600,200,"bu","09:58:45",121500
28800,-600,100,"bu","09:58:34",121300
28800,-600,500,"bu","09:58:27",121200
28800,-600,300,"bu","09:57:54",120700
28800,-600,100,"bu","09:57:45",120400
28800,-600,1500,"bu","09:57:38",120300
28800,-600,500,"bu","09:57:24",118800
28800,-600,1000,"bu","09:57:13",118300
28800,-600,100,"bu","09:56:43",117300
28800,-600,300,"bu","09:56:35",117200
28800,-600,1000,"bu","09:56:23",116900
28800,-600,500,"bu","09:56:09",115900
28800,-600,300,"bu","09:56:00",115400
28800,-600,200,"bu","09:55:52",115100
28800,-600,100,"bu","09:55:45",114900
28800,-600,500,"bu","09:55:31",114800
28800,-600,200,"bu","09:55:14",114300
28800,-600,500,"bu","09:55:04",114100
28800,-600,100,"sd","09:54:55",113600
28900,-500,1000,"bu","09:51:45",113500
28800,-600,400,"bu","09:51:40",112500
28800,-600,500,"bu","09:51:35",112100
28800,-600,300,"bu","09:51:28",111600
28800,-600,100,"bu","09:51:24",111300
28800,-600,700,"bu","09:51:17",111200
28800,-600,100,"bu","09:51:12",110500
28900,-500,500,"bu","09:50:56",110400
28900,-500,200,"bu","09:50:45",109900
28900,-500,100,"bu","09:50:40",109700
28900,-500,300,"bu","09:50:14",109600
28900,-500,200,"bu","09:48:18",109300
28900,-500,100,"bu","09:46:56",109100
28900,-500,500,"bu","09:45:29",109000
28900,-500,100,"bu","09:39:12",108500
28900,-500,2000,"bu","09:39:04",108400
28900,-500,400,"bu","09:38:55",106400
28900,-500,300,"bu","09:38:25",106000
28900,-500,200,"bu","09:38:12",105700
28900,-500,100,"bu","09:38:07",105500
28900,-500,500,"bu","09:37:59",105400
28900,-500,1000,"bu","09:37:54",104900
28900,-500,500,"bu","09:37:48",103900
28900,-500,300,"bu","09:37:37",103400
28900,-500,200,"bu","09:37:27",103100
28900,-500,100,"bu","09:37:13",102900
28900,-500,1000,"bu","09:36:51",102800
28900,-500,600,"bu","09:36:14",101800
28900,-500,200,"bu","09:36:07",101200
28900,-500,100,"bu","09:34:05",101000
28900,-500,200,"bu","09:32:31",100900
28900,-500,100,"bu","09:31:39",100700
28900,-500,400,"bu","09:31:32",100600
28900,-500,1000,"bu","09:31:24",100200
28900,-500,500,"bu","09:31:16",99200
28900,-500,200,"bu","09:30:45",98700
28900,-500,100,"bu","09:30:03",98500
28900,-500,200,"bu","09:29:09",98400
28900,-500,300,"bu","09:29:05",98200
28900,-500,200,"bu","09:28:53",97900
28900,-500,100,"bu","09:28:48",97700
28900,-500,1000,"bu","09:28:36",97600
28800,-600,400,"bu","09:28:32",96600
28800,-600,100,"bu","09:28:17",96200
28800,-600,200,"sd","09:23:45",96100
28900,-500,100,"bu","09:23:34",95900
29000,-400,200,"bu","09:21:53",95800
29100,-300,200,"bu","09:20:35",95600
29100,-300,100,"bu","09:20:04",95400
29200,-200,1500,"bu","09:17:28",95300
29100,-300,300,"bu","09:17:23",93800
29100,-300,800,"bu","09:17:17",93500
29100,-300,500,"bu","09:17:15",92700
29100,-300,200,"bu","09:17:12",92200
29100,-300,700,"bu","09:17:08",92000
29100,-300,400,"bu","09:17:05",91300
29100,-300,100,"bu","09:17:02",90900
29100,-300,300,"bu","09:16:43",90800
29100,-300,500,"bu","09:16:39",90500
29100,-300,1000,"bu","09:16:35",90000
29100,-300,200,"bu","09:16:32",89000
29200,-200,1500,"bu","09:16:16",88800
29100,-300,3000,"bu","09:16:12",87300
29100,-300,1000,"bu","09:16:05",84300
29100,-300,2000,"bu","09:16:01",83300
29100,-300,100,"sd","09:15:51",81300
29200,-200,200,"bu","09:15:30",81200
29200,-200,100,"bu","09:15:22",81000
29200,-200,300,"bu","09:15:05",80900
29200,-200,500,"bu","09:15:00",80600
29200,-200,800,"bu","09:14:53",80100
29200,-200,500,"sd","09:14:38",79300
29200,-200,500,"sd","09:14:37",78800
29000,-400,500,"unknown","09:14:13",78300
28800,-600,200,"unknown","09:14:01",77800
28700,-700,300,"unknown","09:13:53",77600
28700,-700,500,"bu","09:13:45",77300
28700,-700,1000,"bu","09:13:38",76800
28700,-700,2000,"bu","09:13:32",75800
28700,-700,5000,"bu","09:13:27",73800
28700,-700,200,"bu","09:13:23",68800
28700,-700,800,"sd","09:13:16",68600
28700,-700,4000,"bu","09:13:08",67800
28700,-700,800,"bu","09:13:01",63800
28700,-700,1200,"bu","09:12:56",63000
28700,-700,1000,"bu","09:12:51",61800
28700,-700,3000,"bu","09:12:44",60800
28700,-700,1300,"bu","09:12:35",57800
28700,-700,100,"bu","09:12:30",56500
28700,-700,2200,"bu","09:12:27",56400
28700,-700,1500,"bu","09:12:18",54200
28700,-700,1000,"bu","09:12:14",52700
28700,-700,2000,"bu","09:12:12",51700
28700,-700,3000,"bu","09:12:06",49700
28700,-700,700,"bu","09:12:04",46700
28700,-700,900,"sd","02:11:56",46000
28700,-700,200,"sd","09:11:51",45100
28700,-700,1000,"bu","09:11:50",44900
28700,-700,2000,"bu","09:11:43",43900
28700,-700,1000,"bu","09:11:39",41900
28700,-700,1500,"bu","09:11:35",40900
28700,-700,1000,"bu","09:11:23",39400
28700,-700,1000,"bu","09:11:22",38400
28700,-700,300,"bu","09:11:17",37400
28800,-600,300,"bu","09:11:00",37100
29000,-400,500,"bu","09:10:47",36800
29100,-300,300,"sd","09:09:36",36300
29100,-300,1000,"bu","09:09:32",36000
29100,-300,300,"unknown","09:09:00",35000
29100,-300,1000,"bu","09:08:54",34700
29100,-300,800,"bu","09:08:48",33700
29100,-300,1100,"bu","09:08:41",32900
29100,-300,1500,"bu","09:08:39",31800
29100,-300,4000,"bu","09:08:34",30300
29100,-300,300,"bu","09:08:30",26300
29100,-300,1700,"bu","09:08:26",26000
29100,-300,1000,"bu","09:08:12",24300
29100,-300,2000,"bu","09:08:07",23300
29100,-300,5000,"bu","09:08:02",21300
29100,-300,300,"bu","09:07:53",16300
29200,-200,700,"bu","09:07:40",16000
29200,-200,500,"bu","09:07:25",15300
29200,-200,2000,"bu","09:07:22",14800
29200,-200,1500,"bu","09:07:13",12800
29200,-200,3000,"bu","09:07:08",11300
29200,-200,1000,"bu","09:06:56",8300
29200,-200,700,"bu","09:06:16",7300
29200,-200,900,"bu","09:06:13",6600
29200,-200,1000,"bu","09:06:02",5700
29200,-200,500,"bu","09:05:55",4700
29200,-200,200,"bu","09:05:47",4200
29300,-100,100,"bu","09:04:21",4000
29400,0,400,"bu","09:04:02",3900
29400,0,800,"bu","09:03:58",3500
29400,0,1000,"bu","09:03:52",2700
29400,0,500,"bu","09:03:35",1700
29400,0,100,"sd","09:03:17",1200
29500,100,100,"sd","09:02:03",1100
29600,200,100,"bu","09:01:55",1000
29500,100,500,"bu","09:01:52",900
29400,0,400,"bu","09:01:45",400
