"price","change","match_qtty","side","time","total_vol"
32700,1900,100,"bu","13:56:59",40100
32500,1700,1000,"bu","13:55:30",40000
32500,1700,2100,"bu","13:55:18",39000
32500,1700,1900,"bu","13:55:08",36900
32500,1700,1400,"bu","13:55:00",35000
32500,1700,1600,"bu","13:54:49",33600
32500,1700,2000,"bu","13:54:41",32000
32500,1700,1000,"bu","13:54:13",30000
32500,1700,900,"bu","13:54:03",29000
32500,1700,1600,"bu","13:53:53",28100
32500,1700,1300,"bu","13:53:38",26500
32500,1700,1200,"bu","13:53:23",25200
32500,1700,1000,"bu","13:53:13",24000
32500,1700,300,"bu","13:53:05",23000
32500,1700,1000,"bu","13:51:02",22700
32500,1700,1700,"bu","13:50:48",21700
32600,1800,1000,"bu","13:49:14",20000
32600,1800,1000,"bu","13:49:05",19000
32600,1800,900,"bu","13:48:52",18000
32600,1800,1100,"bu","13:48:39",17100
32600,1800,300,"bu","13:48:31",16000
32600,1800,900,"bu","13:48:22",15700
32600,1800,1400,"bu","13:48:12",14800
32600,1800,1300,"bu","13:48:01",13400
32600,1800,2100,"bu","13:47:52",12100
32600,1800,2000,"bu","13:47:09",10000
32600,1800,3000,"bu","13:47:00",8000
32600,1800,200,"bu","13:45:28",5000
32600,1800,1000,"bu","13:45:19",4800
32600,1800,1800,"bu","13:45:10",3800
32600,1800,2000,"bu","13:44:57",2000
