"price","change","match_qtty","side","time","total_vol"
9020,-100,26700,"sd","14:45:02",554900
9010,-110,100,"bu","14:29:58",528200
9010,-110,200,"sd","14:29:52",528100
9010,-110,1000,"sd","14:29:52",527900
9010,-110,100,"sd","14:29:52",526900
9010,-110,100,"sd","14:29:52",526800
9010,-110,100,"sd","14:29:52",526700
9010,-110,100,"sd","14:29:52",526600
9010,-110,1000,"sd","14:29:52",526500
9010,-110,500,"sd","14:29:52",525500
9010,-110,600,"sd","14:29:52",525000
9020,-100,100,"sd","14:29:52",524400
9020,-100,100,"sd","14:29:52",524300
9010,-110,400,"sd","14:29:05",524200
9010,-110,100,"sd","14:29:05",523800
9020,-100,300,"sd","14:29:05",523700
9020,-100,100,"sd","14:29:05",523400
9020,-100,1000,"sd","14:29:05",523300
9030,-90,100,"sd","14:29:05",522300
9040,-80,700,"bu","14:29:03",522200
9040,-80,100,"bu","14:28:23",521500
9040,-80,100,"bu","14:28:06",521400
9020,-100,1100,"sd","14:25:06",521300
9000,-120,1900,"sd","14:25:06",520200
9000,-120,23800,"sd","14:24:29",518300
9000,-120,100,"sd","14:24:29",494500
9000,-120,3000,"sd","14:24:29",494400
9000,-120,100,"sd","14:24:29",491400
9000,-120,3000,"sd","14:24:29",491300
9000,-120,100,"sd","14:24:29",488300
9020,-100,1500,"sd","14:24:29",488200
9020,-100,100,"bu","14:23:58",486700
9020,-100,2000,"bu","14:23:53",486600
9000,-120,400,"sd","14:23:50",484600
9000,-120,100,"sd","14:23:50",484200
9000,-120,500,"sd","14:23:50",484100
9000,-120,1000,"sd","14:23:50",483600
9000,-120,400,"sd","14:23:50",482600
9000,-120,500,"sd","14:23:50",482200
9000,-120,2500,"sd","14:23:50",481700
9000,-120,1000,"sd","14:23:50",479200
9000,-120,100,"sd","14:23:50",478200
9000,-120,100,"sd","14:23:50",478100
9000,-120,100,"sd","14:23:50",478000
9000,-120,1000,"sd","14:23:50",477900
9000,-120,200,"sd","14:23:50",476900
9000,-120,100,"sd","14:23:50",476700
9000,-120,500,"sd","14:23:50",476600
9000,-120,100,"sd","14:23:50",476100
9000,-120,100,"sd","14:23:50",476000
9000,-120,3000,"sd","14:23:50",475900
9010,-110,200,"sd","14:23:50",472900
9010,-110,1000,"sd","14:23:50",472700
9010,-110,500,"sd","14:23:50",471700
9010,-110,500,"sd","14:23:50",471200
9010,-110,1000,"sd","14:23:50",470700
9010,-110,100,"sd","14:23:50",469700
9010,-110,1000,"sd","14:23:29",469600
9020,-100,1000,"sd","14:23:16",468600
9020,-100,100,"sd","14:23:16",467600
9020,-100,200,"sd","14:23:16",467500
9020,-100,300,"sd","14:23:16",467300
9030,-90,200,"sd","14:23:16",467000
9030,-90,100,"sd","14:23:16",466800
9030,-90,700,"sd","14:23:16",466700
9040,-80,300,"sd","14:23:16",466000
9030,-90,300,"sd","14:22:08",465700
9040,-80,100,"bu","14:21:46",465400
9020,-100,1700,"sd","14:21:40",465300
9020,-100,800,"sd","14:21:40",463600
9030,-90,300,"sd","14:21:40",462800
9030,-90,1200,"sd","14:21:40",462500
9030,-90,100,"sd","14:21:40",461300
9030,-90,500,"sd","14:21:40",461200
9030,-90,400,"sd","14:21:40",460700
9030,-90,1000,"sd","14:21:29",460300
9040,-80,100,"sd","14:21:16",459300
9040,-80,200,"sd","14:21:16",459200
9040,-80,100,"sd","14:21:16",459000
9040,-80,200,"sd","14:21:16",458900
9050,-70,2400,"sd","14:20:40",458700
9050,-70,100,"sd","14:20:18",456300
9050,-70,1500,"sd","14:20:18",456200
9050,-70,400,"sd","14:20:18",454700
9050,-70,100,"sd","14:19:22",454300
9050,-70,100,"sd","14:18:00",454200
9050,-70,1000,"sd","14:16:38",454100
9070,-50,2500,"bu","14:16:28",453100
9070,-50,300,"bu","14:16:26",450600
9070,-50,200,"bu","14:16:18",450300
9070,-50,200,"bu","14:15:58",450100
9070,-50,2600,"bu","14:15:52",449900
9070,-50,4000,"bu","14:15:52",447300
9070,-50,1000,"bu","14:15:52",443300
9070,-50,1100,"bu","14:15:52",442300
9070,-50,1300,"bu","14:15:52",441200
9070,-50,500,"bu","14:14:30",439900
9070,-50,2000,"bu","14:14:01",439400
9070,-50,1100,"bu","14:13:25",437400
9070,-50,200,"bu","14:12:24",436300
9070,-50,100,"bu","14:11:36",436100
9030,-90,600,"sd","14:10:49",436000
9020,-100,200,"sd","14:10:12",435400
9020,-100,1000,"sd","14:10:12",435200
9030,-90,500,"sd","14:10:12",434200
9030,-90,100,"sd","14:10:12",433700
9030,-90,100,"sd","14:10:12",433600
9040,-80,1000,"sd","14:10:12",433500
9040,-80,100,"sd","14:10:12",432500
9040,-80,1700,"sd","14:09:38",432400
9050,-70,100,"bu","14:09:36",430700
9050,-70,100,"sd","14:09:28",430600
9090,-30,300,"sd","14:08:59",430500
9090,-30,100,"sd","14:08:52",430200
9090,-30,300,"sd","14:08:52",430100
9090,-30,2600,"sd","14:08:52",429800
9090,-30,300,"sd","14:08:22",427200
9090,-30,5000,"sd","14:06:57",426900
9090,-30,1100,"bu","14:06:14",421900
9040,-80,3200,"sd","14:06:07",420800
9040,-80,200,"sd","14:06:07",417600
9040,-80,500,"sd","14:06:07",417400
9050,-70,1000,"sd","14:06:07",416900
9050,-70,100,"sd","14:06:07",415900
9090,-30,100,"bu","14:05:53",415800
9090,-30,1000,"bu","14:05:16",415700
9090,-30,200,"bu","14:03:13",414700
9090,-30,800,"bu","14:03:13",414500
9090,-30,100,"bu","14:02:37",413700
9090,-30,700,"bu","14:02:16",413600
9090,-30,2000,"sd","14:02:13",412900
9090,-30,5000,"sd","14:02:13",410900
9090,-30,1000,"sd","14:02:13",405900
9090,-30,400,"sd","14:02:13",404900
9090,-30,100,"bu","14:00:52",404500
9090,-30,100,"bu","14:00:47",404400
9090,-30,100,"bu","14:00:42",404300
9090,-30,500,"bu","14:00:39",404200
9090,-30,100,"bu","14:00:28",403700
9090,-30,100,"bu","13:59:51",403600
9010,-110,100,"sd","13:59:37",403500
9010,-110,100,"sd","13:59:07",403400
9010,-110,400,"sd","13:59:07",403300
9010,-110,600,"sd","13:58:54",402900
9010,-110,400,"sd","13:58:54",402300
9000,-120,1300,"sd","13:57:39",401900
9000,-120,100,"sd","13:57:39",400600
9000,-120,200,"sd","13:57:39",400500
9000,-120,1000,"sd","13:57:39",400300
9000,-120,1800,"sd","13:57:39",399300
9010,-110,100,"sd","13:57:39",397500
9010,-110,500,"sd","13:57:39",397400
9010,-110,500,"sd","13:57:31",396900
9000,-120,100,"sd","13:57:09",396400
9000,-120,100,"sd","13:57:09",396300
9000,-120,500,"sd","13:57:09",396200
9000,-120,2000,"sd","13:57:09",395700
9000,-120,300,"sd","13:57:09",393700
9000,-120,500,"sd","13:57:09",393400
9000,-120,100,"sd","13:57:09",392900
9000,-120,1000,"sd","13:57:09",392800
9000,-120,500,"sd","13:57:09",391800
9000,-120,1000,"sd","13:57:09",391300
9000,-120,200,"sd","13:57:09",390300
9000,-120,500,"sd","13:57:09",390100
9000,-120,100,"sd","13:57:09",389600
9000,-120,200,"sd","13:57:09",389500
9000,-120,100,"sd","13:57:09",389300
