"price","change","match_qtty","side","time","total_vol"
91000,100,124400,"unknown","14:45:01",711900
91300,400,2700,"sd","14:29:37",587500
91300,400,800,"sd","14:29:34",584800
91300,400,100,"sd","14:29:34",584000
91300,400,100,"sd","14:29:34",583900
91300,400,400,"sd","14:29:34",583800
91300,400,1400,"sd","14:29:24",583400
91500,600,200,"bu","14:29:05",582000
91300,400,900,"sd","14:28:59",581800
91300,400,200,"sd","14:28:50",580900
91300,400,700,"sd","14:28:37",580700
91400,500,200,"sd","14:28:37",580000
91300,400,900,"sd","14:28:30",579800
91300,400,300,"sd","14:28:27",578900
91300,400,100,"sd","14:28:27",578600
91300,400,300,"sd","14:28:27",578500
91300,400,500,"sd","14:28:27",578200
91300,400,300,"sd","14:28:27",577700
91300,400,1000,"sd","14:28:15",577400
91400,500,100,"sd","14:28:15",576400
91400,500,100,"sd","14:28:15",576300
91400,500,400,"sd","14:28:15",576200
91400,500,900,"sd","14:28:14",575800
91400,500,700,"sd","14:28:04",574900
91400,500,700,"sd","14:28:04",574200
91400,500,900,"sd","14:28:03",573500
91500,600,200,"sd","14:28:01",572600
91500,600,1000,"sd","14:27:51",572400
91500,600,100,"sd","14:27:51",571400
91500,600,400,"sd","14:27:51",571300
91600,700,100,"sd","14:27:49",570900
91500,600,100,"sd","14:27:31",570800
91800,900,300,"bu","14:26:54",570700
91400,500,400,"sd","14:25:57",570400
91400,500,1600,"sd","14:25:57",570000
91400,500,200,"sd","14:25:57",568400
91400,500,500,"sd","14:25:57",568200
91400,500,900,"sd","14:25:49",567700
91400,500,100,"sd","14:25:48",566800
91400,500,2500,"sd","14:25:47",566700
91400,500,200,"sd","14:25:47",564200
91400,500,200,"sd","14:25:26",564000
91400,500,1400,"sd","14:25:23",563800
91400,500,200,"sd","14:25:11",562400
91400,500,100,"sd","14:25:11",562200
91400,500,800,"sd","14:25:11",562100
91500,600,100,"sd","14:25:11",561300
91500,600,300,"sd","14:25:11",561200
91500,600,200,"sd","14:24:54",560900
91400,500,1300,"sd","14:24:03",560700
91400,500,100,"sd","14:23:59",559400
91400,500,800,"sd","14:23:52",559300
91400,500,700,"sd","14:23:52",558500
91400,500,1800,"sd","14:23:46",557800
91500,600,100,"sd","14:23:40",556000
91500,600,100,"sd","14:23:40",555900
91500,600,100,"sd","14:23:40",555800
91500,600,800,"sd","14:23:40",555700
91400,500,100,"sd","14:23:40",554900
91500,600,1500,"sd","14:23:40",554800
91500,600,100,"sd","14:23:37",553300
91500,600,100,"sd","14:23:37",553200
91500,600,300,"sd","14:23:37",553100
91500,600,200,"sd","14:23:37",552800
91500,600,900,"sd","14:23:37",552600
91500,600,100,"sd","14:23:35",551700
91500,600,800,"sd","14:23:35",551600
91500,600,900,"sd","14:23:31",550800
91500,600,1300,"sd","14:23:28",549900
91600,700,100,"sd","14:23:28",548600
91600,700,200,"sd","14:23:28",548500
91600,700,1000,"sd","14:23:27",548300
91600,700,400,"sd","14:23:26",547300
91600,700,200,"sd","14:23:26",546900
91600,700,300,"sd","14:23:26",546700
91600,700,900,"sd","14:23:13",546400
91600,700,100,"sd","14:23:06",545500
91700,800,2000,"unknown","14:23:01",545400
91600,700,300,"sd","14:23:01",543400
91600,700,100,"sd","14:23:01",543100
91600,700,300,"sd","14:23:01",543000
91600,700,200,"sd","14:22:12",542700
91600,700,300,"sd","14:21:49",542500
91600,700,100,"sd","14:21:18",542200
91600,700,1500,"sd","14:21:10",542100
91600,700,2100,"sd","14:21:05",540600
91600,700,200,"sd","14:21:05",538500
