"price","change","match_qtty","side","time","total_vol"
3940,-50,3400,"sd","14:45:01",9700
3940,-50,600,"sd","13:44:45",6300
3940,-50,100,"sd","13:44:45",5700
3940,-50,300,"sd","13:44:45",5600
3940,-50,500,"sd","13:31:11",5300
3930,-60,100,"sd","13:30:33",4800
3950,-40,100,"unknown","13:30:16",4700
3950,-40,200,"unknown","13:30:16",4600
3950,-40,100,"sd","13:30:16",4400
3960,-30,500,"sd","13:21:02",4300
3960,-30,500,"sd","13:21:02",3800
3960,-30,1500,"sd","13:21:02",3300
3960,-30,100,"sd","13:21:02",1800
3960,-30,200,"sd","13:21:02",1700
3960,-30,200,"sd","13:21:02",500
3960,-30,1000,"sd","13:21:02",1500
3980,-10,100,"bu","13:20:48",300
4000,10,200,"bu","10:34:03",200
