"price","change","match_qtty","side","time","total_vol"
2700,-200,5900,"sd","14:57:47",44200
2700,-200,3500,"sd","14:57:40",38300
2700,-200,5000,"sd","14:55:58",34800
2700,-200,2800,"sd","14:45:23",29800
2700,-200,500,"sd","14:35:50",27000
2700,-200,1100,"sd","14:19:59",26500
2800,-100,1600,"unknown","13:46:18",25400
2800,-100,1900,"bu","13:28:08",23800
2800,-100,100,"bu","13:22:35",21900
2800,-100,2400,"sd","13:19:44",21800
2800,-100,500,"sd","13:17:02",19400
2800,-100,100,"sd","13:00:09",18900
2800,-100,2200,"unknown","11:13:02",18800
2800,-100,800,"sd","11:03:55",16600
2800,-100,100,"sd","10:58:22",15800
2800,-100,300,"bu","09:47:12",15700
2700,-200,2000,"sd","09:39:38",15400
2700,-200,3400,"sd","09:38:23",13400
2700,-200,8000,"sd","09:32:20",10000
2800,-100,2000,"bu","09:31:52",2000
