"price","change","match_qtty","side","time","total_vol"
18200,0,3200,"bu","14:45:02",412700
18200,0,200,"bu","14:29:31",409500
18150,-50,1000,"bu","14:28:36",409300
18150,-50,1000,"bu","14:26:54",408300
18150,-50,600,"sd","14:26:25",407300
18150,-50,800,"sd","14:26:25",406700
18150,-50,100,"sd","14:26:25",405900
18200,0,500,"sd","14:21:01",405800
18200,0,1000,"bu","14:20:43",405300
18200,0,1400,"bu","14:19:54",404300
18200,0,100,"bu","14:19:54",402900
18150,-50,500,"sd","14:18:53",402800
18200,0,1400,"bu","14:18:15",402300
18200,0,1600,"bu","14:18:15",400900
18200,0,400,"bu","14:16:19",399300
18200,0,600,"bu","14:16:19",398900
18150,-50,1000,"sd","14:14:57",398300
18200,0,200,"bu","14:14:40",397300
18200,0,100,"bu","14:14:40",397100
18150,-50,1400,"bu","14:13:35",397000
18150,-50,1200,"sd","14:12:58",395600
18150,-50,400,"sd","14:12:58",394400
18200,0,600,"bu","14:12:11",394000
18150,-50,1600,"bu","14:10:32",393400
18150,-50,1000,"bu","14:09:53",391800
18150,-50,500,"bu","14:09:53",390800
18150,-50,1500,"sd","14:07:24",390300
18150,-50,500,"sd","14:04:49",388800
18150,-50,1000,"sd","14:04:49",388300
18150,-50,1500,"bu","14:03:18",387300
18100,-100,1400,"bu","14:03:18",385800
18100,-100,100,"bu","14:03:18",384400
18050,-150,1800,"unknown","14:02:43",384300
18050,-150,300,"bu","14:02:15",382500
18000,-200,900,"unknown","14:02:15",382200
18000,-200,1000,"bu","14:02:10",381300
18000,-200,2800,"bu","14:02:10",380300
18000,-200,100,"bu","14:02:10",377500
18000,-200,1000,"bu","14:02:10",377400
18000,-200,100,"bu","14:02:10",376400
18000,-200,1000,"bu","14:02:10",376300
18000,-200,1000,"sd","14:02:10",375300
18000,-200,100,"sd","14:02:10",374300
18050,-150,100,"bu","14:02:01",374200
18050,-150,400,"bu","14:02:01",374100
18050,-150,2000,"bu","14:02:01",373700
18100,-100,2200,"bu","14:00:20",371700
18100,-100,700,"sd","13:59:55",369500
18100,-100,300,"sd","13:59:46",368800
18100,-100,2600,"sd","13:59:46",368500
18100,-100,2400,"bu","13:59:40",365900
18100,-100,1700,"bu","13:59:39",363500
18100,-100,900,"bu","13:59:25",361800
18100,-100,100,"sd","13:58:49",360900
18100,-100,1900,"sd","13:58:39",360800
18100,-100,1100,"sd","13:58:39",358900
18150,-50,300,"bu","13:57:01",357800
18150,-50,500,"bu","13:57:00",357500
18150,-50,1500,"bu","13:55:02",357000
18150,-50,3500,"bu","13:55:02",355500
18150,-50,1000,"bu","13:54:43",352000
18150,-50,2200,"sd","13:54:00",351000
18150,-50,1300,"sd","13:54:00",348800
18200,0,300,"bu","13:53:49",347500
18150,-50,2700,"bu","13:53:05",347200
18150,-50,500,"bu","13:52:08",344500
18150,-50,2500,"bu","13:52:07",344000
18150,-50,200,"bu","13:51:48",341500
18150,-50,1100,"bu","13:51:21",341300
18150,-50,900,"bu","13:51:21",340200
18150,-50,2100,"bu","13:51:02",339300
18150,-50,2100,"bu","13:51:02",337200
18150,-50,800,"bu","13:51:02",335100
18100,-100,1200,"sd","13:50:30",334300
18100,-100,2700,"bu","13:50:12",333100
18100,-100,1300,"bu","13:49:49",330400
18150,-50,600,"bu","13:49:17",329100
18100,-100,2400,"bu","13:49:17",328500
18100,-100,2000,"sd","13:49:11",326100
18100,-100,1000,"sd","13:49:11",324100
18100,-100,600,"sd","13:49:11",323100
18100,-100,900,"bu","13:47:12",322500
18100,-100,1700,"sd","13:46:27",321600
18100,-100,400,"sd","13:46:27",319900
18100,-100,3000,"sd","13:46:27",319500
18150,-50,500,"sd","13:45:52",316500
18150,-50,100,"sd","13:45:52",316000
18150,-50,1000,"sd","13:44:58",315900
18150,-50,3900,"bu","13:44:48",314900
18150,-50,3100,"bu","13:44:40",311000
18150,-50,1900,"bu","13:44:40",307900
18150,-50,1000,"bu","13:44:13",306000
18100,-100,2400,"bu","13:42:54",305000
18050,-150,600,"bu","13:42:20",302600
18050,-150,1200,"sd","13:42:17",302000
18050,-150,1200,"sd","13:42:17",300800
18050,-150,800,"sd","13:42:05",299600
18050,-150,1100,"sd","13:42:05",298800
18100,-100,200,"sd","13:41:55",297700
18100,-100,300,"sd","13:41:46",297500
18100,-100,1600,"sd","13:41:46",297200
18100,-100,100,"sd","13:41:46",295600
18150,-50,2000,"bu","13:39:30",295500
18150,-50,1100,"sd","13:39:16",293500
18150,-50,900,"bu","13:39:15",292400
18150,-50,1100,"sd","13:39:05",291500
18150,-50,1400,"bu","13:38:49",290400
18150,-50,600,"bu","13:36:27",289000
