"price","change","match_qtty","side","time","total_vol"
16900,-100,1000,"bu","14:45:19",15800
16300,-700,500,"sd","14:26:15",14800
16300,-700,400,"sd","14:26:15",14300
16300,-700,100,"sd","14:26:15",13900
16300,-700,500,"sd","14:20:05",13800
16300,-700,100,"bu","14:16:58",13300
16300,-700,300,"bu","14:16:56",13200
16300,-700,100,"sd","14:16:53",12900
16300,-700,1200,"bu","14:16:34",12800
16300,-700,700,"bu","14:16:25",11600
16300,-700,100,"sd","14:16:02",10900
16300,-700,200,"sd","14:13:58",10800
16350,-650,100,"unknown","14:13:58",10600
16300,-700,200,"sd","14:13:58",10500
16400,-600,300,"unknown","14:05:37",10300
16400,-600,100,"sd","14:05:37",10000
16400,-600,100,"sd","14:05:37",9900
16400,-600,400,"sd","14:05:37",9800
16450,-550,100,"sd","14:05:37",9400
16500,-500,100,"bu","13:55:09",9300
16500,-500,400,"bu","13:54:52",9200
16500,-500,100,"bu","13:54:52",8800
16500,-500,200,"bu","13:54:26",8700
16500,-500,200,"bu","13:54:08",8500
16500,-500,500,"bu","13:54:08",8300
16550,-450,500,"bu","13:54:08",7800
16500,-500,100,"sd","13:47:32",7300
16500,-500,300,"bu","13:43:12",7200
16500,-500,200,"bu","13:40:08",6900
16550,-450,100,"sd","13:39:52",5300
16500,-500,1100,"sd","13:39:52",6700
16550,-450,300,"sd","13:39:52",5600
16600,-400,1000,"sd","13:39:52",5200
16600,-400,200,"bu","13:31:29",4200
16600,-400,100,"sd","13:31:15",4000
16600,-400,200,"sd","13:23:04",3900
16600,-400,300,"sd","13:19:17",3700
16600,-400,100,"sd","13:19:17",3400
16600,-400,100,"sd","13:16:50",3300
16600,-400,200,"sd","13:14:04",3200
16700,-300,200,"bu","13:08:42",3000
16700,-300,200,"bu","13:08:38",2800
16700,-300,200,"sd","13:07:42",2600
17000,0,100,"bu","10:35:19",2400
17000,0,100,"bu","10:29:51",2300
17000,0,100,"bu","10:17:26",2200
17000,0,200,"bu","10:17:26",2100
17000,0,400,"bu","10:15:08",1900
17000,0,100,"bu","10:12:45",1500
17000,0,400,"bu","10:10:45",1400
17000,0,100,"bu","10:09:58",1000
17000,0,500,"sd","09:23:08",900
17000,0,200,"sd","09:23:08",400
17000,0,100,"sd","09:23:08",200
17000,0,100,"sd","09:15:28",100
