"price","change","match_qtty","side","time","total_vol"
2140,-10,100,"bu","14:45:01",68700
2130,-20,500,"bu","14:28:38",68600
2120,-30,600,"sd","14:24:33",68100
2120,-30,500,"sd","14:13:59",67500
2120,-30,7000,"sd","14:13:24",67000
2120,-30,200,"sd","14:04:19",60000
2120,-30,100,"sd","14:04:19",59800
2140,-10,100,"bu","14:03:40",59700
2140,-10,2800,"bu","13:59:20",59600
2140,-10,100,"bu","13:59:20",56800
2130,-20,1000,"bu","13:59:20",56700
2120,-30,100,"sd","13:39:09",55700
2140,-10,100,"bu","13:19:56",55600
2120,-30,1000,"bu","13:18:48",55500
2120,-30,600,"bu","13:18:25",54500
2120,-30,2000,"bu","13:15:11",53900
2120,-30,100,"bu","13:12:12",51900
2120,-30,500,"bu","13:06:47",51800
2120,-30,20000,"bu","13:05:09",51300
2120,-30,100,"bu","13:04:16",31300
2120,-30,400,"bu","13:00:16",31200
2120,-30,200,"bu","13:00:08",30800
2120,-30,1900,"bu","13:00:03",30600
2120,-30,100,"sd","11:13:56",28700
2120,-30,100,"bu","11:01:49",28600
2110,-40,700,"bu","11:01:38",28500
2110,-40,1000,"sd","10:59:23",27800
2110,-40,100,"sd","10:59:23",26800
2110,-40,1000,"sd","10:59:23",26700
2120,-30,300,"bu","10:55:26",25700
2120,-30,100,"bu","10:55:26",25400
2120,-30,4700,"sd","10:50:16",25300
2120,-30,100,"sd","10:50:16",20600
2120,-30,200,"sd","10:50:16",20500
2120,-30,1300,"sd","10:50:16",20300
2120,-30,3000,"sd","10:50:16",19000
2120,-30,400,"sd","10:50:16",16000
2120,-30,1000,"sd","10:50:16",15600
2120,-30,200,"sd","10:50:16",14600
2120,-30,1500,"sd","10:37:27",14400
2120,-30,400,"sd","10:37:27",12900
2130,-20,100,"sd","10:37:27",12500
2120,-30,100,"sd","10:10:54",12400
2120,-30,300,"bu","09:58:32",12300
2120,-30,1000,"bu","09:57:40",12000
2120,-30,1000,"bu","09:57:16",11000
2120,-30,1000,"bu","09:55:42",10000
2120,-30,1000,"sd","09:54:52",9000
2130,-20,600,"sd","09:54:52",8000
2140,-10,100,"sd","09:54:52",7400
2130,-20,300,"sd","09:52:10",7300
2130,-20,500,"sd","09:52:10",7000
2130,-20,100,"sd","09:52:10",6500
2150,0,600,"bu","09:46:00",6400
2150,0,400,"bu","09:46:00",5800
2150,0,100,"sd","09:33:24",5400
2150,0,100,"bu","09:25:30",5300
2150,0,100,"bu","09:25:09",5200
2150,0,1000,"sd","09:23:45",5100
2160,10,2000,"sd","09:23:45",4100
2150,0,1000,"bu","09:21:33",2100
2130,-20,600,"sd","09:18:14",1100
2130,-20,500,"sd","09:15:01",500
