"price","change","match_qtty","side","time","total_vol"
35300,600,1600,"bu","14:45:01",150100
35300,600,100,"bu","14:27:44",148500
35300,600,200,"bu","14:27:23",148400
35200,500,100,"bu","14:19:42",148200
35200,500,300,"bu","14:18:40",148100
35200,500,1800,"bu","14:17:47",147800
35200,500,100,"bu","14:14:32",146000
35000,300,2000,"bu","14:13:47",145900
35000,300,100,"bu","14:11:55",143900
34900,200,100,"bu","14:10:39",143800
34900,200,1200,"bu","14:10:09",143700
34900,200,100,"bu","13:58:19",142500
34900,200,100,"bu","13:37:51",142400
34800,100,3900,"bu","13:37:04",142300
34800,100,100,"bu","13:36:51",138400
34800,100,100,"bu","13:36:46",138300
34800,100,4900,"sd","13:36:41",138200
34800,100,2800,"bu","13:36:22",133300
34800,100,3500,"bu","13:36:15",130500
34800,100,2400,"bu","13:36:04",127000
35000,300,1400,"bu","13:35:15",124600
34900,200,2700,"bu","13:34:51",123200
34700,0,2600,"bu","13:34:42",120500
34700,0,1900,"bu","13:34:32",117900
34700,0,2600,"bu","13:34:23",116000
34700,0,400,"sd","13:34:02",113400
34900,200,100,"bu","13:25:09",113000
34700,0,1400,"sd","13:25:03",112900
34700,0,3200,"bu","13:24:54",111500
34700,0,2600,"bu","13:24:47",108300
34700,0,2100,"bu","13:24:42",105700
34700,0,200,"bu","13:24:34",103600
34700,0,1000,"sd","13:24:20",103400
34700,0,1400,"bu","13:23:19",102400
34700,0,3200,"bu","13:23:04",101000
34700,0,2600,"bu","13:22:48",97800
34600,-100,500,"sd","13:21:44",95200
34700,0,400,"bu","13:20:17",94700
34700,0,1600,"bu","13:20:07",94300
34700,0,3200,"bu","13:20:01",92700
34700,0,2600,"bu","13:19:56",89500
34700,0,1200,"bu","13:19:52",86900
34700,0,900,"sd","13:19:31",85700
34700,0,5100,"sd","13:19:09",84800
34700,0,2200,"bu","13:18:59",79700
34700,0,1600,"bu","13:18:54",77500
34700,0,700,"sd","13:18:33",75900
34700,0,2500,"sd","13:17:49",75200
34700,0,5200,"bu","13:17:40",72700
34700,0,1900,"bu","13:17:34",67500
34700,0,2200,"bu","13:17:02",65600
34700,0,800,"bu","13:16:57",63400
34700,0,4200,"bu","13:16:48",62600
34700,0,2600,"bu","13:16:35",58400
34600,-100,100,"sd","13:16:30",55800
34700,0,2100,"bu","13:16:28",55700
34700,0,200,"sd","13:16:08",53600
34700,0,300,"bu","13:15:36",53400
34700,0,1000,"bu","13:13:17",53100
34700,0,29000,"bu","13:13:00",52100
34700,0,200,"sd","10:43:17",23100
34900,200,100,"bu","10:42:25",22900
34700,0,100,"bu","10:41:07",22800
34700,0,2000,"sd","10:37:59",22700
34900,200,100,"bu","09:44:08",20700
34900,200,100,"bu","09:43:33",20600
34700,0,700,"bu","09:35:55",20500
34700,0,2100,"bu","09:35:48",19800
34700,0,1400,"bu","09:35:40",17700
34700,0,300,"bu","09:35:32",16300
34700,0,1400,"sd","09:35:26",16000
34700,0,1400,"bu","09:35:16",14600
34700,0,1800,"bu","09:35:10",13200
34700,0,2300,"bu","09:35:03",11400
34700,0,300,"sd","09:34:41",9100
34700,0,700,"bu","09:34:35",8800
34700,0,800,"bu","09:34:28",8100
34700,0,1900,"bu","09:34:18",7300
34700,0,2100,"bu","09:34:10",5400
34700,0,1600,"bu","09:34:03",3300
34700,0,600,"bu","09:33:56",1700
34700,0,200,"sd","09:33:40",1100
34900,200,100,"bu","09:05:07",900
34700,0,200,"sd","09:05:02",800
34700,0,500,"bu","09:03:48",600
34700,0,100,"bu","09:02:33",100
