"price","change","match_qtty","side","time","total_vol"
5270,-50,600,"sd","14:45:00",29000
5330,10,200,"bu","14:29:38",28400
5350,30,100,"bu","14:17:52",28200
5330,10,100,"bu","14:17:52",28100
5320,0,300,"bu","14:17:52",28000
5270,-50,400,"sd","14:16:55",27700
5280,-40,100,"sd","14:16:31",27300
5320,0,100,"bu","14:13:19",27200
5270,-50,500,"sd","14:09:48",27100
5280,-40,1000,"sd","14:08:44",26600
5320,0,300,"bu","14:02:02",25600
5320,0,1300,"bu","14:02:01",25300
5310,-10,300,"bu","14:02:01",24000
5310,-10,100,"bu","14:02:01",23700
5270,-50,1100,"sd","13:52:07",23600
5270,-50,900,"sd","13:52:07",22500
5270,-50,200,"sd","13:43:32",21600
5270,-50,100,"sd","13:42:03",21400
5270,-50,400,"sd","13:40:20",21300
5270,-50,500,"sd","13:35:31",20900
5270,-50,300,"sd","13:35:31",20400
5270,-50,500,"sd","13:35:31",20100
5270,-50,200,"sd","13:35:31",19600
5270,-50,300,"sd","13:34:55",19400
5270,-50,700,"sd","13:34:55",19100
5260,-60,700,"sd","13:30:04",18400
5260,-60,100,"sd","13:25:27",17700
5270,-50,100,"sd","13:25:27",17600
5320,0,200,"bu","13:16:06",17500
5340,20,100,"bu","13:02:53",17300
5290,-30,100,"sd","13:00:14",17200
5290,-30,200,"sd","13:00:14",12600
5250,-70,4500,"sd","13:00:14",17100
5250,-70,100,"sd","13:00:14",12400
5300,-20,300,"sd","13:00:14",12300
5260,-60,100,"sd","13:00:14",12000
5260,-60,100,"sd","13:00:14",11900
5340,20,500,"bu","13:00:10",11800
5340,20,100,"bu","13:00:10",11300
5340,20,200,"bu","11:28:26",11200
5300,-20,1200,"bu","11:26:07",11000
5300,-20,200,"bu","11:24:34",9800
5300,-20,100,"bu","11:23:44",9600
5300,-20,500,"bu","11:10:36",9500
5300,-20,300,"sd","10:52:10",9000
5300,-20,100,"sd","10:52:10",8700
5300,-20,100,"sd","10:51:50",8600
5300,-20,300,"sd","10:07:00",8500
5350,30,100,"bu","10:04:25",8200
5340,20,100,"bu","10:04:25",8100
5300,-20,200,"sd","09:51:36",8000
5300,-20,500,"sd","09:51:36",7800
5300,-20,2000,"sd","09:51:36",7300
5300,-20,300,"sd","09:51:36",5300
5300,-20,200,"sd","09:45:51",5000
5320,0,200,"sd","09:45:51",4800
5350,30,100,"sd","09:45:51",4600
5370,50,2700,"bu","09:40:44",4500
5330,10,100,"sd","09:39:14",1800
5390,70,200,"sd","09:32:42",1700
5390,70,400,"sd","09:32:42",1500
5390,70,100,"sd","09:32:27",1100
5390,70,100,"bu","09:25:00",1000
5390,70,200,"sd","09:21:38",900
5390,70,100,"sd","09:21:23",700
5390,70,100,"bu","09:20:38",600
5400,80,100,"bu","09:18:44",500
5390,70,100,"bu","09:18:44",400
5270,-50,100,"sd","09:15:55",300
5260,-60,100,"sd","09:15:06",200
5260,-60,100,"sd","09:15:06",100
