"price","change","match_qtty","side","time","total_vol"
2400,0,5000,"sd","14:45:01",50500
2500,100,100,"bu","13:26:45",45500
2500,100,100,"bu","13:24:25",45400
2400,0,100,"sd","13:02:50",45300
2400,0,5000,"sd","11:28:45",45200
2400,0,5000,"sd","11:00:26",40200
2400,0,5000,"sd","11:00:25",35200
2400,0,5000,"sd","10:59:19",30200
2400,0,5000,"sd","10:58:55",25200
2400,0,10000,"sd","10:57:01",20200
2500,100,100,"bu","10:54:39",10200
2400,0,100,"sd","09:24:41",10100
2400,0,5000,"sd","09:12:34",10000
2400,0,5000,"sd","09:11:29",5000
