"price","change","match_qtty","side","time","total_vol"
77700,300,100,"unknown","14:39:34",17400
77700,300,300,"sd","14:39:02",17300
77700,300,100,"sd","14:33:55",17000
77800,400,500,"bu","14:23:13",16900
77800,400,100,"sd","14:20:49",16400
78000,600,2000,"unknown","13:44:11",16300
78000,600,2700,"sd","13:40:42",14300
78000,600,500,"sd","13:38:43",11600
78000,600,4700,"sd","13:18:08",11100
78000,600,2400,"sd","13:14:18",6400
78000,600,2000,"unknown","10:49:56",4000
78000,600,100,"sd","10:47:48",2000
78600,1200,100,"unknown","10:27:52",1900
78000,600,100,"unknown","09:42:57",1800
78000,600,1000,"unknown","09:32:26",1700
78000,600,700,"unknown","09:30:08",700
