"price","change","match_qtty","side","time","total_vol"
8150,-10,286800,"bu","14:45:01",2016700
8160,0,7000,"sd","14:29:33",1729900
8160,0,1000,"sd","14:29:25",1722900
8160,0,800,"sd","14:28:49",1721900
8160,0,100,"bu","14:28:19",1721100
8160,0,200,"bu","14:28:19",1721000
8150,-10,2000,"sd","14:28:15",1720800
8160,0,5000,"bu","14:28:12",1718800
8160,0,100,"bu","14:28:02",1713800
8160,0,300,"bu","14:27:46",1713700
8160,0,600,"sd","14:27:00",1713400
8160,0,200,"sd","14:27:00",1712800
8160,0,5600,"sd","14:27:00",1712600
8160,0,4600,"sd","14:26:55",1707000
8160,0,1000,"sd","14:26:22",1702400
8160,0,100,"sd","14:25:42",1701400
8160,0,3100,"bu","14:25:17",1701300
8160,0,1000,"bu","14:25:17",1698200
8160,0,6000,"bu","14:25:17",1697200
8160,0,1000,"bu","14:25:17",1691200
8160,0,1000,"bu","14:25:17",1690200
8160,0,2000,"bu","14:25:17",1689200
8160,0,10000,"bu","14:25:07",1687200
8160,0,100,"bu","14:23:49",1677200
8160,0,200,"bu","14:23:41",1677100
8160,0,200,"bu","14:23:40",1676900
8160,0,500,"bu","14:23:23",1676700
8160,0,100,"bu","14:23:23",1676200
8160,0,400,"bu","14:23:23",1676100
8150,-10,100,"sd","14:23:08",1675700
8150,-10,700,"sd","14:22:40",1675600
8150,-10,200,"sd","14:22:40",1674900
8150,-10,4100,"sd","14:22:40",1674700
8160,0,4600,"bu","14:22:01",1670600
8160,0,1000,"bu","14:22:01",1666000
8160,0,2500,"bu","14:22:01",1665000
8160,0,100,"bu","14:21:18",1662500
8150,-10,1000,"bu","14:20:39",1662400
8150,-10,4900,"bu","14:20:39",1661400
8150,-10,100,"bu","14:20:35",1656500
8150,-10,100,"bu","14:20:35",1656400
8150,-10,100,"bu","14:20:32",1656300
8150,-10,400,"bu","14:20:19",1656200
8150,-10,100,"bu","14:20:13",1655800
8150,-10,300,"sd","14:19:59",1655700
8150,-10,700,"sd","14:19:37",1655400
8150,-10,100,"sd","14:19:37",1654700
8150,-10,2000,"sd","14:19:37",1654600
8150,-10,2500,"sd","14:19:37",1652600
8150,-10,10000,"sd","14:19:37",1650100
8150,-10,300,"sd","14:19:37",1640100
8150,-10,10000,"sd","14:19:37",1639800
8150,-10,17400,"sd","14:19:37",1629800
8150,-10,1300,"sd","14:19:27",1612400
8160,0,100,"bu","14:19:15",1611100
8150,-10,500,"sd","14:18:53",1611000
8150,-10,300,"sd","14:18:13",1610500
8150,-10,500,"sd","14:17:53",1610200
8150,-10,300,"sd","14:17:53",1609700
8150,-10,400,"sd","14:17:53",1609400
8150,-10,200,"sd","14:17:53",1609000
8150,-10,300,"sd","14:17:53",1608800
8150,-10,1700,"sd","14:17:30",1608500
8150,-10,100,"sd","14:17:30",1606800
8150,-10,100,"sd","14:17:30",1606700
8150,-10,100,"sd","14:17:30",1606600
8150,-10,3200,"sd","14:17:30",1606500
8150,-10,26800,"sd","14:17:16",1603300
8150,-10,500,"sd","14:17:16",1576500
8150,-10,100,"sd","14:17:16",1576000
8150,-10,2600,"sd","14:17:16",1575900
8160,0,300,"bu","14:16:29",1573300
8150,-10,2400,"bu","14:15:23",1573000
8150,-10,5100,"bu","14:15:08",1570600
8150,-10,2000,"bu","14:14:57",1565500
8150,-10,500,"bu","14:14:57",1563500
8150,-10,2000,"bu","14:14:57",1563000
8150,-10,100,"bu","14:14:57",1561000
8150,-10,200,"bu","14:14:57",1560900
8150,-10,30000,"bu","14:14:57",1560700
8150,-10,200,"bu","14:14:57",1530700
8150,-10,500,"bu","14:14:57",1530500
8150,-10,5000,"bu","14:14:57",1530000
8150,-10,1300,"unknown","14:14:57",1525000
8150,-10,300,"sd","14:14:57",1523700
8150,-10,2000,"sd","14:14:57",1523400
8150,-10,100,"sd","14:14:57",1521400
8150,-10,200,"sd","14:14:57",1521300
8150,-10,700,"sd","14:14:57",1521100
8150,-10,16900,"sd","14:14:57",1520400
8150,-10,100,"sd","14:14:57",1503500
8150,-10,300,"sd","14:14:57",1503400
8150,-10,100,"sd","14:14:57",1503100
8150,-10,3000,"sd","14:14:57",1503000
8150,-10,3100,"sd","14:14:50",1500000
8150,-10,1900,"sd","14:14:50",1496900
8160,0,100,"bu","14:13:34",1495000
8160,0,2000,"bu","14:11:56",1494900
8160,0,500,"bu","14:11:45",1492900
8160,0,100,"bu","14:11:44",1492400
8160,0,300,"bu","14:11:34",1492300
8160,0,100,"sd","14:10:44",1492000
8160,0,400,"sd","14:10:44",1491900
8160,0,200,"sd","14:10:44",1491500
8160,0,100,"sd","14:10:44",1491300
8160,0,200,"sd","14:10:44",1491200
8160,0,100,"sd","14:10:44",1491000
8160,0,2900,"sd","14:10:44",1490900
8160,0,7900,"sd","14:10:21",1488000
8160,0,7100,"sd","14:10:21",1480100
8160,0,100,"sd","14:10:06",1473000
8170,10,100,"bu","14:09:51",1472900
8170,10,500,"bu","14:09:37",1472800
8170,10,100,"bu","14:09:11",1472300
8170,10,10000,"bu","14:08:54",1472200
8170,10,1000,"bu","14:08:38",1462200
8170,10,100,"bu","14:08:27",1461200
8170,10,4000,"bu","14:08:27",1461100
8170,10,4800,"bu","14:08:27",1457100
8170,10,3700,"sd","14:08:08",1452300
8170,10,100,"sd","14:07:54",1448600
8170,10,1000,"bu","14:07:51",1448500
8170,10,400,"bu","14:07:51",1447500
8170,10,100,"bu","14:07:29",1447100
8170,10,500,"bu","14:07:16",1447000
8170,10,400,"bu","14:07:16",1446500
8170,10,300,"bu","14:07:16",1446100
8170,10,300,"bu","14:07:16",1445800
8170,10,1000,"sd","14:07:13",1445500
8170,10,2900,"sd","14:07:07",1444500
8170,10,1000,"sd","14:07:01",1441600
8170,10,2000,"unknown","14:05:46",1440600
8170,10,300,"unknown","14:05:46",1438600
8170,10,300,"bu","14:05:37",1438300
8170,10,200,"bu","14:05:34",1438000
8170,10,200,"bu","14:05:33",1437800
8170,10,1800,"bu","14:05:33",1437600
8170,10,3200,"bu","14:05:23",1435800
8170,10,5000,"bu","14:05:23",1432600
8170,10,1000,"bu","14:05:23",1427600
8170,10,1000,"bu","14:05:23",1426600
8170,10,1000,"bu","14:05:23",1425600
8170,10,1800,"bu","14:05:23",1424600
8170,10,10000,"bu","14:04:57",1422800
8170,10,11800,"bu","14:04:36",1412800
8170,10,400,"bu","14:04:30",1401000
8170,10,100,"bu","14:04:20",1400600
8160,0,100,"sd","14:04:18",1400500
8160,0,100,"sd","14:03:39",1400400
8160,0,200,"sd","14:03:06",1400300
8160,0,1600,"sd","14:02:03",1400100
8160,0,100,"sd","14:02:03",1398500
8160,0,900,"sd","14:02:03",1398400
8160,0,2400,"sd","14:02:03",1397500
8160,0,400,"sd","14:00:48",1395100
8160,0,1000,"sd","14:00:41",1394700
8160,0,1000,"sd","14:00:38",1393700
8160,0,2000,"sd","14:00:29",1392700
8160,0,3200,"sd","14:00:12",1390700
