"price","change","match_qtty","side","time","total_vol"
2690,-200,100000,"sd","14:45:02",237700
2690,-200,5000,"sd","14:29:38",137700
2840,-50,100,"bu","14:29:26",132700
2840,-50,100,"bu","14:28:35",132600
2690,-200,4900,"bu","14:28:07",132500
2690,-200,100,"bu","14:28:04",127600
2690,-200,200,"bu","14:28:03",127500
2690,-200,1800,"bu","14:28:02",127300
2690,-200,1000,"bu","14:28:02",125500
2690,-200,1000,"bu","14:28:01",124500
2690,-200,100,"bu","14:28:00",123500
2690,-200,3900,"bu","14:27:59",123400
2690,-200,100,"bu","14:27:57",119500
2690,-200,100,"bu","14:27:55",119400
2690,-200,100,"bu","14:27:53",119300
2690,-200,2000,"bu","14:27:51",119200
2690,-200,700,"bu","14:27:51",117200
2690,-200,3000,"bu","14:27:49",116500
2690,-200,100,"bu","14:27:48",113500
2690,-200,200,"bu","14:27:46",113400
2690,-200,1000,"bu","14:27:44",113200
2690,-200,300,"bu","14:27:43",112200
2690,-200,1600,"bu","14:27:40",111900
2690,-200,2000,"bu","14:27:40",110300
2690,-200,1000,"bu","14:27:37",108300
2690,-200,200,"bu","14:27:36",107300
2690,-200,100,"bu","14:27:35",107100
2690,-200,2000,"bu","14:27:35",107000
2690,-200,1300,"bu","14:27:35",105000
2690,-200,2000,"bu","14:27:34",103700
2690,-200,100,"bu","14:27:33",101700
2690,-200,2000,"bu","14:27:30",101600
2690,-200,30000,"bu","14:27:26",99600
2690,-200,100,"bu","14:27:26",69600
2690,-200,400,"bu","14:27:23",69500
2690,-200,100,"bu","14:27:19",69100
2690,-200,1000,"bu","14:27:15",69000
2690,-200,5000,"bu","14:27:14",68000
2690,-200,200,"bu","14:27:14",63000
2690,-200,200,"bu","14:27:14",62800
2690,-200,1000,"bu","14:27:14",62600
2690,-200,2000,"bu","14:27:10",61600
2690,-200,2000,"bu","14:27:07",59600
2690,-200,1000,"bu","14:27:05",57600
2690,-200,300,"bu","14:27:04",56600
2690,-200,300,"bu","14:27:04",56300
2690,-200,1000,"bu","14:27:02",56000
2690,-200,1000,"bu","14:26:59",55000
2690,-200,3000,"bu","14:26:54",54000
2690,-200,2000,"bu","14:26:49",51000
2690,-200,200,"bu","14:26:45",49000
2690,-200,200,"bu","14:26:41",48800
2690,-200,1000,"bu","14:26:41",48600
2690,-200,300,"bu","14:26:28",47600
2690,-200,400,"bu","14:26:22",47300
2690,-200,1000,"sd","14:26:05",46900
2700,-190,100,"sd","14:26:05",45900
2700,-190,100,"sd","14:26:05",45800
2710,-180,100,"sd","14:26:05",45700
2710,-180,100,"sd","14:26:05",45600
2720,-170,100,"sd","14:26:05",45500
2730,-160,100,"sd","14:26:05",45400
2800,-90,100,"sd","14:26:05",45300
2800,-90,100,"sd","14:26:05",45200
2800,-90,100,"sd","14:26:05",45100
2800,-90,8700,"sd","14:26:05",45000
2800,-90,100,"sd","14:26:05",36300
2810,-80,100,"sd","14:26:05",36200
2830,-60,500,"sd","14:26:05",36100
2830,-60,300,"sd","14:26:05",35600
2850,-40,100,"sd","14:26:05",35300
2850,-40,200,"sd","14:26:05",35200
2850,-40,200,"sd","14:26:05",35000
2860,-30,2000,"sd","14:26:05",34800
2860,-30,200,"sd","14:26:05",32800
2870,-20,100,"sd","14:26:05",32600
2890,0,200,"bu","13:48:38",32500
2880,-10,100,"bu","13:43:59",32300
2860,-30,100,"sd","13:35:16",32200
2850,-40,20700,"bu","13:32:33",32100
2850,-40,100,"bu","13:30:31",11400
2850,-40,100,"sd","13:29:40",11300
2850,-40,100,"sd","13:29:40",11200
2850,-40,100,"sd","13:29:40",11100
2850,-40,900,"sd","13:29:40",11000
2850,-40,100,"sd","13:29:40",10100
2860,-30,1000,"sd","13:29:40",10000
2870,-20,800,"sd","13:29:40",9000
2880,-10,4000,"bu","13:13:36",8200
2880,-10,100,"bu","13:13:12",4200
2880,-10,500,"bu","13:05:10",4100
2880,-10,1000,"sd","13:04:55",3600
2880,-10,1000,"sd","13:00:06",2600
2890,0,100,"bu","13:00:03",1600
2890,0,100,"bu","11:29:56",1500
2890,0,100,"sd","11:25:01",1400
2910,20,900,"sd","09:31:04",1300
2910,20,100,"bu","09:29:11",400
2910,20,100,"bu","09:21:58",300
2890,0,100,"sd","09:21:25",200
2890,0,100,"sd","09:21:25",100
