"price","change","match_qtty","side","time","total_vol"
15350,100,300700,"unknown","14:45:00",5062400
15250,0,500,"bu","14:29:58",4761700
15250,0,100,"bu","14:29:55",4761200
15200,-50,100,"sd","14:29:36",4761100
15200,-50,8900,"bu","14:29:36",4761000
15200,-50,2500,"bu","14:29:32",4752100
15200,-50,100,"sd","14:29:27",4749600
15200,-50,200,"sd","14:29:27",4749500
15200,-50,200,"sd","14:29:27",4749300
15200,-50,8100,"sd","14:29:27",4749100
15200,-50,100,"sd","14:29:20",4741000
15200,-50,5000,"sd","14:29:17",4740900
15200,-50,9000,"sd","14:29:17",4735900
15200,-50,6000,"bu","14:29:04",4726900
15200,-50,2000,"bu","14:29:04",4720900
15200,-50,5000,"bu","14:29:04",4718900
15200,-50,4800,"bu","14:29:04",4713900
15200,-50,10000,"bu","14:28:59",4709100
15150,-100,12200,"sd","14:28:52",4699100
15150,-100,1000,"sd","14:28:52",4686900
15150,-100,300,"sd","14:28:52",4685900
15150,-100,200,"sd","14:28:52",4685600
15150,-100,500,"sd","14:28:52",4685400
15150,-100,800,"sd","14:28:52",4684900
15200,-50,200,"bu","14:28:50",4684100
15200,-50,100,"bu","14:28:50",4683900
15200,-50,200,"bu","14:28:50",4683800
15200,-50,800,"bu","14:28:50",4683600
15200,-50,200,"bu","14:28:47",4682800
15150,-100,700,"sd","14:28:26",4682600
15150,-100,200,"sd","14:28:26",4681900
15150,-100,100,"sd","14:28:26",4681700
15150,-100,400,"sd","14:28:06",4681600
15150,-100,100,"sd","14:28:06",4681200
15150,-100,400,"bu","14:27:58",4681100
15150,-100,100,"bu","14:27:58",4680700
15150,-100,500,"sd","14:27:56",4680600
15100,-150,100,"sd","14:27:31",4680100
15100,-150,500,"sd","14:27:31",4680000
15100,-150,4400,"sd","14:27:31",4679500
15100,-150,600,"sd","14:27:27",4675100
15100,-150,200,"sd","14:27:27",4674500
15100,-150,400,"bu","14:27:13",4674300
15000,-250,500,"sd","14:27:01",4673900
15000,-250,500,"sd","14:27:00",4673400
15050,-200,500,"sd","14:27:00",4672900
15000,-250,7800,"sd","14:27:00",4672400
15000,-250,1000,"sd","14:27:00",4664600
15000,-250,500,"sd","14:27:00",4663600
15000,-250,200,"sd","14:27:00",4663100
15000,-250,1000,"sd","14:27:00",4662900
15000,-250,200,"sd","14:27:00",4661900
15050,-200,400,"sd","14:27:00",4661700
15050,-200,100,"sd","14:27:00",4661300
15050,-200,500,"sd","14:27:00",4661200
15050,-200,2000,"sd","14:27:00",4660700
15050,-200,2000,"sd","14:27:00",4658700
15050,-200,2000,"sd","14:27:00",4656700
15050,-200,500,"sd","14:27:00",4654700
15050,-200,1800,"sd","14:27:00",4654200
15050,-200,200,"sd","14:27:00",4652400
15050,-200,2000,"sd","14:27:00",4652200
15050,-200,600,"sd","14:27:00",4650200
15050,-200,100,"sd","14:27:00",4649600
15050,-200,100,"sd","14:27:00",4649500
15050,-200,300,"sd","14:27:00",4649400
15050,-200,200,"sd","14:27:00",4649100
15050,-200,200,"sd","14:27:00",4648900
15050,-200,200,"sd","14:27:00",4648700
15050,-200,400,"sd","14:27:00",4648500
15050,-200,100,"sd","14:27:00",4648100
15050,-200,200,"sd","14:27:00",4648000
15050,-200,1000,"sd","14:27:00",4647800
15050,-200,100,"sd","14:27:00",4646800
15050,-200,500,"sd","14:27:00",4646700
15050,-200,200,"sd","14:27:00",4646200
15050,-200,200,"sd","14:27:00",4646000
15050,-200,200,"sd","14:27:00",4645800
15050,-200,3000,"sd","14:27:00",4645600
15050,-200,100,"sd","14:27:00",4642600
15050,-200,500,"sd","14:27:00",4642500
15050,-200,100,"sd","14:27:00",4642000
15050,-200,200,"sd","14:27:00",4641900
15050,-200,300,"sd","14:27:00",4641700
15050,-200,1000,"sd","14:27:00",4641400
15050,-200,2000,"sd","14:27:00",4640400
15050,-200,1000,"sd","14:27:00",4638400
15050,-200,100,"sd","14:27:00",4637400
15050,-200,200,"sd","14:27:00",4637300
15050,-200,100,"sd","14:27:00",4637100
15050,-200,1000,"sd","14:27:00",4637000
15050,-200,100,"sd","14:27:00",4635600
15050,-200,400,"sd","14:27:00",4636000
15100,-150,5000,"sd","14:27:00",4635500
15100,-150,28100,"sd","14:27:00",4630500
15100,-150,10000,"sd","14:26:59",4602400
15100,-150,50000,"sd","14:26:54",4592400
15100,-150,10000,"bu","14:26:53",4542400
15100,-150,23000,"bu","14:26:53",4532400
15100,-150,200,"bu","14:26:53",4509400
15100,-150,28700,"bu","14:26:53",4509200
15100,-150,1000,"bu","14:26:52",4480500
15100,-150,100,"bu","14:26:49",4479500
15100,-150,100,"bu","14:26:49",4479400
15100,-150,100,"bu","14:26:45",4479300
15100,-150,700,"bu","14:26:43",4479200
15100,-150,1000,"bu","14:26:43",4478500
15100,-150,2100,"bu","14:26:42",4477500
15100,-150,5000,"bu","14:26:41",4475400
15100,-150,200,"bu","14:26:41",4470400
15100,-150,100,"sd","14:26:37",4470200
15100,-150,100,"sd","14:26:35",4470100
15100,-150,200,"sd","14:26:35",4470000
15100,-150,100,"sd","14:26:35",4469800
15100,-150,700,"sd","14:26:35",4469700
15100,-150,100,"sd","14:26:35",4469000
15100,-150,2000,"sd","14:26:35",4468900
15100,-150,600,"sd","14:26:35",4466900
15100,-150,100,"sd","14:26:35",4466300
15100,-150,200,"sd","14:26:35",4466200
15100,-150,300,"sd","14:26:35",4466000
15100,-150,100,"sd","14:26:35",4465700
15100,-150,1000,"sd","14:26:35",4465600
15100,-150,500,"sd","14:26:35",4464600
15100,-150,900,"sd","14:26:35",4464100
15100,-150,100,"sd","14:26:35",4463200
15100,-150,500,"sd","14:26:35",4463100
15100,-150,3000,"sd","14:26:35",4462600
15100,-150,400,"sd","14:26:35",4459600
15100,-150,100,"sd","14:26:28",4459200
15100,-150,1000,"sd","14:26:28",4459100
15100,-150,1000,"sd","14:26:28",4458100
15100,-150,1500,"sd","14:26:28",4457100
15100,-150,100,"sd","14:26:28",4455600
15100,-150,800,"sd","14:26:28",4455500
15100,-150,2000,"sd","14:26:27",4454700
15100,-150,100,"sd","14:26:21",4452700
15100,-150,3400,"sd","14:26:21",4452600
15150,-100,3500,"bu","14:26:19",4449200
15150,-100,500,"bu","14:26:19",4445700
15100,-150,200,"sd","14:26:16",4445200
15100,-150,13500,"sd","14:26:16",4445000
15100,-150,100,"sd","14:26:16",4431500
15100,-150,900,"sd","14:26:09",4431400
15100,-150,1000,"sd","14:26:09",4430500
15100,-150,500,"sd","14:26:09",4429500
15100,-150,1500,"sd","14:26:09",4429000
15100,-150,200,"sd","14:26:09",4427500
15100,-150,1400,"sd","14:26:09",4427300
15100,-150,400,"sd","14:25:52",4425900
15100,-150,500,"sd","14:25:52",4425500
15100,-150,100,"sd","14:25:52",4425000
15100,-150,200,"sd","14:25:52",4424900
15100,-150,200,"sd","14:25:52",4424700
15100,-150,8600,"sd","14:25:52",4424500
15100,-150,100,"sd","14:25:52",4415900
15100,-150,100,"sd","14:25:52",4415800
15100,-150,300,"sd","14:25:52",4415700
15100,-150,500,"sd","14:25:52",4415400
15100,-150,1500,"sd","14:25:52",4414900
15100,-150,500,"sd","14:25:52",4413400
