"price","change","match_qtty","side","time","total_vol"
4780,-20,3600,"sd","14:45:01",36300
4790,-10,400,"sd","14:27:11",32700
4790,-10,400,"sd","14:27:11",32300
4790,-10,100,"sd","14:27:11",31900
4810,10,2000,"bu","14:26:14",31800
4810,10,100,"bu","14:26:09",29800
4800,0,700,"sd","14:25:57",29700
4800,0,100,"sd","14:25:57",29000
4810,10,100,"bu","14:18:40",28900
4800,0,2000,"sd","14:17:00",28800
4800,0,200,"bu","14:13:50",26800
4800,0,100,"sd","14:04:37",26600
4810,10,700,"sd","13:57:06",26500
4820,20,100,"sd","13:56:54",25800
4840,40,100,"bu","13:55:13",25700
4820,20,100,"sd","13:55:02",25600
4830,30,100,"sd","13:53:47",25500
4840,40,100,"sd","13:53:38",25400
4810,10,300,"sd","13:51:31",25300
4810,10,100,"sd","13:51:31",25000
4820,20,100,"sd","13:51:31",24900
4830,30,100,"sd","13:51:31",24800
4850,50,400,"bu","13:25:10",24700
4850,50,100,"bu","13:25:10",24300
4840,40,100,"sd","13:21:03",24200
4850,50,100,"sd","13:20:34",24100
4850,50,100,"sd","13:19:15",24000
4760,-40,2700,"bu","11:22:29",23900
4760,-40,500,"sd","11:21:45",21200
4760,-40,500,"sd","11:21:45",20700
4760,-40,100,"sd","11:21:45",20200
4790,-10,300,"sd","11:21:45",20100
4790,-10,700,"sd","11:21:45",19800
4790,-10,200,"sd","11:21:45",19100
4800,0,100,"sd","11:15:17",18900
4800,0,1000,"sd","11:02:35",18800
4800,0,100,"sd","10:59:53",17800
4810,10,300,"sd","10:34:23",17700
4810,10,200,"sd","10:34:23",17400
4800,0,1800,"bu","10:19:28",17200
4800,0,100,"sd","10:19:23",15400
4800,0,100,"sd","10:18:32",15300
4810,10,100,"sd","10:18:24",15200
4800,0,200,"bu","10:11:10",15100
4800,0,300,"bu","10:10:35",14900
4800,0,1000,"bu","10:08:10",14600
4800,0,500,"sd","10:00:37",13600
4800,0,1100,"sd","09:56:58",13100
4800,0,1000,"sd","09:36:30",12000
4800,0,500,"sd","09:36:30",11000
4800,0,3000,"sd","09:36:30",10500
4800,0,400,"sd","09:35:33",7500
4800,0,100,"sd","09:35:33",7100
4800,0,100,"bu","09:29:28",7000
4800,0,1000,"bu","09:27:00",6900
4800,0,4000,"sd","09:23:49",5900
4800,0,200,"sd","09:23:49",1900
4800,0,500,"sd","09:23:49",1700
4800,0,100,"sd","09:23:49",1200
4800,0,1100,"sd","09:15:02",1100
