"price","change","match_qtty","side","time","total_vol"
14500,100,100,"bu","15:00:00",59900
14300,-100,1000,"sd","14:59:33",59800
14300,-100,100,"sd","14:59:22",58800
14500,100,100,"bu","14:56:40",58700
14500,100,15000,"bu","14:52:20",58600
14400,0,1000,"bu","14:50:56",43600
14400,0,400,"bu","14:36:51",42600
14300,-100,700,"sd","14:27:26",42200
14300,-100,300,"bu","14:23:51",41500
14300,-100,1300,"unknown","14:12:18",41200
14300,-100,100,"sd","14:11:28",39900
14300,-100,1000,"sd","14:06:30",39800
14100,-300,2000,"sd","13:44:55",38800
14100,-300,400,"sd","13:44:47",36800
14200,-200,300,"unknown","13:11:16",36400
14200,-200,3500,"bu","13:10:47",36100
14100,-300,600,"bu","13:07:22",32600
14100,-300,1800,"sd","13:06:31",32000
14100,-300,100,"sd","13:04:02",30200
14100,-300,2000,"sd","13:02:51",30100
14200,-200,100,"bu","13:00:18",28100
14200,-200,1100,"bu","11:28:30",28000
14200,-200,700,"sd","11:25:05",26900
14200,-200,200,"sd","11:23:23",26200
14200,-200,400,"sd","10:51:59",26000
14200,-200,1200,"sd","10:49:22",25600
14200,-200,3800,"sd","10:44:48",24400
14300,-100,500,"bu","10:34:36",20600
14400,0,3300,"sd","10:09:28",20100
14400,0,7500,"bu","10:08:40",16800
14200,-200,100,"bu","10:08:33",9300
14200,-200,200,"bu","10:08:24",9200
14200,-200,4400,"bu","10:08:11",9000
14300,-100,100,"sd","09:57:13",4600
14400,0,800,"bu","09:37:43",4500
14500,100,200,"sd","09:07:22",3700
14500,100,200,"bu","09:06:40",3500
14600,200,1000,"bu","09:04:16",3300
14600,200,1000,"bu","09:03:54",2300
14600,200,1000,"bu","09:02:07",1300
14600,200,200,"bu","09:01:45",300
14600,200,100,"bu","09:01:28",100
