"price","change","match_qtty","side","time","total_vol"
15200,150,102500,"unknown","14:45:01",5185000
15200,150,4800,"bu","14:29:46",5082500
15200,150,100,"bu","14:29:46",5077700
15200,150,2600,"bu","14:29:46",5077600
15150,100,2000,"sd","14:29:42",5075000
15150,100,1000,"sd","14:29:13",5073000
15200,150,3000,"bu","14:28:58",5072000
15200,150,1000,"sd","14:28:37",5069000
15200,150,3400,"sd","14:28:37",5068000
15200,150,1600,"bu","14:28:29",5064600
15200,150,1000,"bu","14:28:28",5063000
15200,150,2500,"sd","14:28:24",5062000
15200,150,500,"sd","14:28:24",5059500
15200,150,1400,"sd","14:28:23",5059000
15200,150,1000,"bu","14:28:21",5057600
15200,150,2600,"bu","14:28:21",5056600
15200,150,7400,"bu","14:28:18",5054000
15200,150,500,"bu","14:28:18",5046600
15200,150,2000,"bu","14:28:18",5046100
15200,150,400,"bu","14:28:14",5044100
15250,200,400,"bu","14:28:04",5043700
15200,150,600,"bu","14:28:04",5043300
15200,150,400,"bu","14:27:59",5042700
15150,100,1100,"sd","14:27:59",5042300
15200,150,200,"sd","14:27:59",5041200
15200,150,3700,"sd","14:27:59",5041000
15200,150,500,"sd","14:27:52",5037300
15200,150,200,"sd","14:27:42",5036800
15200,150,200,"bu","14:27:38",5036600
15200,150,400,"bu","14:27:38",5036400
15200,150,1800,"bu","14:27:36",5036000
15200,150,200,"bu","14:27:36",5034200
15200,150,1400,"bu","14:27:36",5034000
15200,150,200,"bu","14:27:36",5032600
15200,150,500,"bu","14:27:36",5032400
15200,150,1000,"bu","14:27:36",5031900
15200,150,2000,"bu","14:27:36",5030900
15200,150,2000,"bu","14:27:36",5028900
15200,150,100,"bu","14:27:36",5026900
15200,150,1000,"bu","14:27:36",5026800
15200,150,200,"bu","14:27:36",5025800
15200,150,2000,"bu","14:27:36",5025600
15200,150,1000,"bu","14:27:36",5023600
15200,150,1600,"bu","14:27:36",5022600
15200,150,1200,"bu","14:27:26",5021000
15150,100,8500,"sd","14:27:18",5019800
15150,100,500,"sd","14:27:18",5011300
15150,100,1000,"sd","14:27:18",5010800
15200,150,200,"bu","14:27:10",5009800
15200,150,200,"bu","14:27:10",5009600
15200,150,500,"bu","14:27:10",5009400
15200,150,100,"bu","14:27:10",5008900
15150,100,2000,"sd","14:26:52",5008800
15150,100,100,"sd","14:26:51",5006800
