"price","change","match_qtty","side","time","total_vol"
16400,0,24200,"unknown","14:45:00",443600
16400,0,1500,"sd","14:29:34",419400
16400,0,1000,"sd","14:29:03",417900
16400,0,500,"bu","14:28:45",416900
16300,-100,9000,"sd","14:26:46",416400
16400,0,700,"bu","14:25:11",407400
16400,0,1000,"bu","14:24:53",406700
16400,0,1000,"bu","14:24:45",405700
16400,0,1000,"bu","14:24:40",404700
16400,0,500,"sd","14:24:33",403700
16400,0,500,"bu","14:24:31",403200
16400,0,700,"bu","14:24:05",402700
16400,0,500,"sd","14:23:55",402000
16400,0,5000,"sd","14:23:01",401500
16400,0,7800,"bu","14:21:46",396500
16400,0,2200,"sd","14:21:33",388700
16500,100,1000,"bu","14:21:20",386500
16500,100,3600,"sd","14:19:32",385500
16500,100,2000,"sd","14:19:31",381900
16600,200,1000,"bu","14:13:19",379900
16600,200,1000,"bu","14:12:45",378900
16500,100,500,"bu","14:12:06",377900
16500,100,1000,"bu","14:11:38",377400
16500,100,100,"bu","14:10:21",376400
16300,-100,4200,"sd","14:08:57",376300
16400,0,900,"bu","14:08:20",372100
16400,0,2000,"bu","14:07:54",371200
16400,0,2000,"bu","14:06:46",369200
16400,0,2000,"bu","14:05:21",367200
16300,-100,1000,"sd","14:04:50",365200
16400,0,35100,"sd","14:03:43",364200
16400,0,6400,"sd","14:03:27",329100
16400,0,900,"sd","14:03:10",322700
16500,100,1200,"bu","14:00:13",321800
16500,100,1300,"bu","14:00:00",320600
16500,100,1200,"sd","13:57:14",319300
16500,100,20000,"sd","13:55:52",318100
16600,200,2000,"bu","13:54:51",298100
16600,200,4800,"bu","13:53:32",296100
16500,100,500,"sd","13:46:20",291300
16600,200,500,"bu","13:43:36",290800
16600,200,1300,"bu","13:43:23",290300
16600,200,7500,"bu","13:41:34",289000
16600,200,100,"sd","13:39:10",281500
16600,200,6100,"sd","13:38:26",281400
16700,300,200,"bu","13:37:06",275300
16700,300,300,"bu","13:34:47",275100
16700,300,100,"bu","13:34:14",274800
16700,300,5000,"bu","13:33:40",274700
16700,300,1000,"sd","13:33:10",269700
