"price","change","match_qtty","side","time","total_vol"
5500,0,100,"unknown","14:49:41",2719000
5500,0,100,"unknown","14:46:30",2718900
5500,0,37200,"sd","14:45:01",2718800
5500,0,8100,"sd","14:28:52",2681600
5400,-100,100,"sd","14:28:48",2673500
5500,0,20000,"bu","14:28:46",2673400
5500,0,100,"bu","14:28:20",2653400
5500,0,500,"bu","14:28:18",2653300
5500,0,3000,"bu","14:28:14",2652800
5500,0,5000,"bu","14:28:10",2649800
5500,0,1000,"bu","14:27:49",2644800
5500,0,100,"bu","14:26:58",2643800
5500,0,5000,"bu","14:25:54",2643700
5500,0,300,"bu","14:25:42",2638700
5500,0,3000,"bu","14:25:35",2638400
5500,0,100,"bu","14:25:28",2635400
5500,0,900,"bu","14:25:26",2635300
5500,0,900,"bu","14:25:04",2634400
5500,0,200,"bu","14:24:49",2633500
5500,0,1000,"bu","14:24:38",2633300
5500,0,5300,"bu","14:24:26",2632300
5500,0,15000,"sd","14:24:25",2627000
5500,0,1000,"sd","14:24:20",2612000
5500,0,600,"sd","14:24:10",2611000
5500,0,1000,"bu","14:24:08",2610400
5500,0,10000,"bu","14:24:03",2609400
5500,0,10000,"bu","14:24:01",2599400
5500,0,20000,"bu","14:23:50",2589400
5500,0,10000,"bu","14:23:44",2569400
5500,0,20000,"bu","14:23:38",2559400
5500,0,200,"bu","14:23:25",2539400
5500,0,2000,"bu","14:23:23",2539200
5500,0,1000,"bu","14:23:06",2537200
5500,0,100,"bu","14:23:05",2536200
5500,0,100,"bu","14:22:50",2536100
5500,0,3000,"bu","14:22:46",2536000
5500,0,1000,"sd","14:22:45",2533000
5500,0,2000,"sd","14:22:43",2532000
5500,0,5000,"sd","14:22:42",2530000
5600,100,100,"bu","14:22:37",2525000
5500,0,5000,"sd","14:22:36",2524900
5500,0,22400,"sd","14:22:34",2519900
5500,0,10000,"sd","14:22:32",2497500
5500,0,75500,"sd","14:22:31",2487500
5500,0,6000,"sd","14:22:30",2412000
5500,0,10000,"sd","14:22:25",2406000
5500,0,50000,"sd","14:22:20",2396000
5500,0,100,"sd","14:22:08",2346000
5500,0,16600,"sd","14:22:07",2345900
5500,0,1000,"sd","14:21:51",2329300
5500,0,200,"sd","14:21:27",2328300
5600,100,1000,"bu","14:20:50",2328100
5600,100,3500,"bu","14:19:31",2327100
5600,100,100,"bu","14:19:20",2323600
5500,0,3200,"sd","14:18:35",2323500
5600,100,500,"bu","14:18:09",2320300
5600,100,400,"bu","14:15:50",2319800
5600,100,900,"bu","14:15:24",2319400
5500,0,1000,"sd","14:15:13",2318500
5600,100,200,"bu","14:14:51",2317500
5600,100,10000,"bu","14:14:37",2317300
5600,100,500,"bu","14:14:21",2307300
5600,100,1400,"bu","14:13:40",2306800
5600,100,100,"bu","14:13:34",2305400
5600,100,500,"bu","14:13:22",2305300
5500,0,100,"sd","14:13:08",2304800
5600,100,500,"bu","14:12:30",2304700
5600,100,200,"bu","14:12:14",2304200
5600,100,15000,"bu","14:11:49",2304000
5600,100,100,"bu","14:11:20",2289000
5500,0,5900,"sd","14:09:24",2288900
5500,0,1000,"sd","14:09:07",2283000
5500,0,200,"sd","14:05:24",2282000
5500,0,10000,"sd","14:04:55",2281800
5600,100,100,"bu","14:04:35",2271800
5500,0,10000,"sd","14:03:49",2271700
5500,0,1000,"sd","14:03:05",2261700
5500,0,1000,"sd","14:02:02",2260700
5500,0,5000,"sd","14:01:55",2259700
5500,0,100000,"sd","14:01:19",2254700
5500,0,1000,"sd","14:01:16",2154700
5500,0,100,"sd","14:00:31",2153700
5500,0,5000,"sd","14:00:30",2153600
5500,0,10000,"sd","13:59:19",2148600
5600,100,5000,"bu","13:56:22",2138600
5500,0,500,"sd","13:56:21",2133600
5500,0,400,"sd","13:53:43",2133100
5500,0,90100,"sd","13:53:00",2132700
5500,0,3200,"sd","13:51:55",2042600
5500,0,100,"sd","13:48:39",2039400
5600,100,3300,"bu","13:47:17",2039300
5600,100,2000,"bu","13:45:40",2036000
5500,0,1000,"sd","13:45:34",2034000
5500,0,100,"sd","13:44:34",2033000
5500,0,500,"sd","13:44:19",2032900
5500,0,200,"sd","13:43:56",2032400
5500,0,900,"sd","13:39:56",2032200
5600,100,1000,"bu","13:39:08",2031300
5600,100,5000,"bu","13:38:48",2030300
5600,100,100,"bu","13:38:43",2025300
5600,100,10000,"sd","13:38:42",2025200
5600,100,1000,"sd","13:38:30",2015200
5600,100,100,"sd","13:38:16",2014200
5600,100,600,"unknown","13:37:58",2014100
5600,100,1000,"sd","13:37:51",2013500
5600,100,4000,"sd","13:37:45",2012500
5600,100,10000,"sd","13:37:44",2008500
5600,100,3000,"sd","13:37:24",1998500
5600,100,1500,"sd","13:36:53",1995500
5600,100,1300,"sd","13:36:24",1994000
5600,100,1000,"sd","13:35:31",1992700
5600,100,2000,"sd","13:35:29",1991700
5600,100,500,"sd","13:34:46",1989700
5600,100,1000,"sd","13:34:16",1989200
5600,100,200,"sd","13:34:09",1988200
5600,100,1000,"sd","13:33:55",1988000
5600,100,200,"sd","13:33:52",1987000
5600,100,3800,"bu","13:33:25",1986800
5600,100,10000,"bu","13:33:20",1983000
5600,100,10000,"bu","13:33:13",1973000
5500,0,100000,"sd","13:33:05",1963000
5600,100,100,"bu","13:33:02",1863000
5600,100,100,"sd","13:32:23",1862900
5600,100,200,"bu","13:31:48",1862800
5600,100,1000,"bu","13:31:39",1862600
5500,0,55800,"sd","13:31:23",1861600
5600,100,200,"bu","13:31:18",1805800
5600,100,8000,"bu","13:29:11",1805600
5600,100,3000,"sd","13:28:58",1797600
5600,100,100,"bu","13:28:42",1794600
5600,100,2400,"bu","13:28:39",1794500
5600,100,3000,"bu","13:28:29",1792100
5600,100,1700,"bu","13:28:01",1789100
5600,100,3300,"sd","13:27:59",1787400
5600,100,3000,"bu","13:27:53",1784100
5600,100,100,"bu","13:27:37",1781100
5600,100,300,"bu","13:27:24",1781000
5600,100,22000,"sd","13:27:09",1780700
5600,100,300,"sd","13:26:34",1758700
5600,100,5000,"sd","13:26:31",1758400
5600,100,5000,"sd","13:26:07",1753400
5600,100,800,"sd","13:25:07",1748400
5600,100,4600,"sd","13:24:20",1747600
5600,100,2000,"sd","13:23:56",1743000
5600,100,400,"sd","13:23:49",1741000
5600,100,100,"sd","13:23:10",1740600
5600,100,100,"sd","13:22:19",1740500
5600,100,10000,"sd","13:21:44",1740400
5700,200,50000,"bu","13:21:28",1730400
5600,100,100,"sd","13:21:13",1680400
5600,100,13500,"sd","13:21:05",1680300
5600,100,20000,"bu","13:21:00",1666800
5600,100,10000,"bu","13:20:58",1646800
5600,100,3000,"bu","13:20:52",1636800
5600,100,10000,"bu","13:20:46",1633800
5600,100,500,"bu","13:20:24",1623800
5600,100,700,"bu","13:20:07",1623300
5600,100,5000,"bu","13:19:12",1622600
5600,100,600,"bu","13:18:36",1617600
5600,100,100,"bu","13:18:13",1617000
5600,100,5000,"bu","13:17:07",1616900
5600,100,5000,"bu","13:15:35",1611900
5600,100,4700,"bu","13:15:18",1606900
5600,100,100,"bu","13:14:24",1602200
5600,100,100,"bu","13:13:03",1602100
5600,100,5000,"bu","13:12:42",1602000
5600,100,1400,"bu","13:12:34",1597000
5600,100,5000,"bu","13:12:29",1595600
5600,100,300,"bu","13:11:42",1590600
5500,0,2000,"sd","13:10:40",1590300
5500,0,2000,"sd","13:05:07",1588300
5600,100,100,"bu","13:03:41",1586300
5500,0,300,"sd","13:02:15",1586200
5500,0,100,"sd","13:01:12",1585900
5600,100,100,"bu","13:01:03",1585800
5600,100,2600,"bu","13:00:08",1585700
5600,100,1000,"bu","13:00:05",1583100
5600,100,13000,"bu","11:29:34",1582100
5600,100,500,"bu","11:29:10",1569100
5600,100,500,"bu","11:27:49",1568600
5600,100,600,"bu","11:26:15",1568100
5600,100,100,"sd","11:26:13",1567500
5600,100,15000,"sd","11:25:46",1567400
5600,100,1500,"sd","11:24:48",1552400
5600,100,100,"sd","11:24:08",1550900
5600,100,100,"sd","11:23:53",1550800
5600,100,300,"sd","11:22:56",1550700
5600,100,2000,"sd","11:22:40",1550400
5600,100,300,"sd","11:22:39",1548400
5600,100,25600,"bu","11:21:33",1548100
5600,100,2100,"bu","11:20:25",1522500
5600,100,1000,"bu","11:19:29",1520400
5600,100,1000,"bu","11:16:24",1519400
5600,100,2000,"bu","11:12:22",1518400
5600,100,300,"bu","11:11:11",1516400
5600,100,1000,"sd","11:10:22",1516100
5600,100,300,"sd","11:10:10",1515100
5600,100,300,"sd","11:10:05",1514800
5600,100,500,"sd","11:09:56",1514500
5600,100,1200,"sd","11:09:51",1514000
5600,100,2000,"sd","11:09:32",1512800
5600,100,1000,"sd","11:09:01",1510800
5600,100,4000,"sd","11:08:36",1509800
5600,100,500,"sd","11:06:22",1505800
5600,100,2000,"sd","11:05:24",1505300
5600,100,5000,"sd","11:05:05",1503300
5600,100,500,"sd","11:03:25",1498300
5600,100,2000,"sd","11:02:51",1497800
5600,100,900,"sd","11:02:32",1495800
5600,100,1000,"sd","11:00:41",1494900
5600,100,1500,"sd","10:59:55",1493900
5600,100,500,"sd","10:58:50",1492400
5600,100,200,"sd","10:58:34",1491900
5600,100,2000,"sd","10:57:36",1491700
5600,100,200,"sd","10:57:12",1489700
5600,100,1200,"bu","10:56:48",1489500
5600,100,4200,"bu","10:56:20",1488300
5600,100,20000,"bu","10:55:18",1484100
5600,100,200,"bu","10:55:11",1464100
5600,100,500,"bu","10:53:35",1463900
5500,0,200,"sd","10:51:22",1463400
5600,100,1000,"bu","10:51:11",1463200
5600,100,3000,"bu","10:50:25",1462200
5600,100,10000,"bu","10:50:00",1459200
5500,0,500,"sd","10:49:06",1449200
5500,0,4900,"sd","10:45:19",1448700
5600,100,200,"bu","10:43:28",1443800
5600,100,5000,"sd","10:43:21",1443600
5600,100,8000,"sd","10:43:19",1438600
5600,100,500,"sd","10:43:17",1430600
5600,100,2600,"sd","10:42:53",1430100
5600,100,15900,"bu","10:42:04",1427500
5600,100,7700,"bu","10:41:02",1411600
5600,100,2000,"sd","10:40:54",1403900
5600,100,1000,"sd","10:40:37",1401900
5600,100,1300,"sd","10:40:27",1400900
5600,100,1000,"bu","10:39:27",1399600
5600,100,700,"bu","10:39:19",1398600
5600,100,300,"sd","10:38:57",1397900
5600,100,4000,"sd","10:38:50",1397600
5600,100,500,"bu","10:38:23",1393600
5600,100,1000,"bu","10:38:11",1393100
5600,100,20000,"bu","10:38:05",1392100
5600,100,100,"bu","10:37:51",1372100
5600,100,1000,"bu","10:37:18",1372000
5600,100,200,"bu","10:36:40",1371000
5600,100,200,"bu","10:36:22",1370800
5600,100,1000,"bu","10:36:20",1370600
5600,100,200,"bu","10:36:07",1369600
5600,100,1000,"bu","10:35:49",1369400
5600,100,5000,"bu","10:35:47",1368400
5600,100,100,"bu","10:35:39",1363400
