"price","change","match_qtty","side","time","total_vol"
25100,-2700,100,"unknown","14:45:02",11700
25100,-2700,400,"bu","13:27:21",11600
25100,-2700,200,"bu","13:24:11",11200
25100,-2700,100,"bu","13:24:08",11000
25100,-2700,100,"bu","13:22:37",10900
25100,-2700,100,"bu","13:07:37",10800
25100,-2700,100,"bu","11:12:12",10700
25100,-2700,100,"bu","10:52:59",10600
25100,-2700,100,"bu","09:50:47",10500
25100,-2700,100,"bu","09:48:13",10400
25100,-2700,500,"bu","09:43:30",10300
25100,-2700,1000,"bu","09:37:51",9800
25100,-2700,100,"bu","09:32:35",8800
25100,-2700,1500,"bu","09:28:54",8700
25100,-2700,200,"bu","09:27:11",7200
25100,-2700,100,"bu","09:16:50",7000
25100,-2700,500,"bu","09:12:56",6900
25100,-2700,100,"bu","09:12:03",6400
25100,-2700,1000,"bu","09:09:42",6300
25100,-2700,100,"bu","09:04:54",5300
25100,-2700,200,"bu","09:02:41",5200
25100,-2700,300,"bu","09:00:31",5000
25100,-2700,200,"bu","09:00:24",4700
25100,-2700,100,"bu","09:00:15",4500
25100,-2700,3000,"bu","09:00:12",4400
25100,-2700,100,"bu","09:00:11",1400
25100,-2700,100,"bu","09:00:06",1300
25100,-2700,1100,"bu","09:00:03",1200
25100,-2700,100,"unknown","09:00:01",100
