"price","change","match_qtty","side","time","total_vol"
29800,300,2900,"bu","14:45:02",48900
29700,200,100,"bu","14:23:15",46000
29750,250,100,"bu","14:13:31",45900
29750,250,300,"bu","14:05:14",45800
29750,250,200,"bu","14:05:14",45500
29750,250,100,"bu","13:51:35",45300
29100,-400,100,"sd","13:49:49",45200
29150,-350,100,"sd","13:49:49",45100
29600,100,100,"sd","13:49:49",45000
29600,100,100,"sd","13:49:49",44900
29800,300,600,"sd","13:48:13",44800
30050,550,400,"bu","13:48:05",44200
30000,500,200,"bu","13:48:05",43800
30000,500,300,"bu","13:48:05",43600
30000,500,300,"bu","13:48:05",43300
30000,500,5000,"bu","13:48:05",43000
30000,500,500,"bu","13:48:05",38000
30000,500,100,"bu","13:48:05",37500
30000,500,100,"bu","13:48:05",37400
30000,500,200,"bu","13:48:05",37300
30000,500,100,"bu","13:48:05",37100
30000,500,200,"bu","13:48:05",37000
30000,500,200,"bu","13:48:05",36800
30000,500,1000,"bu","13:48:05",36600
30000,500,1000,"bu","13:48:05",35600
30000,500,200,"bu","13:48:05",34600
29950,450,100,"bu","13:48:05",34400
29900,400,100,"bu","13:48:05",34300
29800,300,100,"bu","13:47:52",34200
29800,300,100,"bu","13:47:52",34100
29800,300,200,"bu","13:47:52",34000
29750,250,200,"bu","13:47:40",33800
29700,200,100,"bu","13:47:31",33600
29700,200,700,"bu","13:47:31",33500
29700,200,1000,"sd","13:37:27",32800
29700,200,900,"sd","13:36:55",31800
29700,200,100,"bu","13:33:10",30900
29700,200,300,"sd","13:31:43",30800
29700,200,100,"sd","13:31:43",30500
29700,200,500,"bu","13:31:07",30400
29700,200,400,"bu","13:31:07",29900
29700,200,200,"sd","13:29:11",29500
29700,200,400,"sd","13:29:03",29300
29700,200,1000,"sd","13:28:43",28900
29700,200,100,"sd","13:27:47",27900
29700,200,2000,"sd","13:27:41",27800
29700,200,500,"bu","13:26:57",25800
29700,200,800,"bu","13:26:57",25300
29650,150,100,"bu","13:26:50",24500
29650,150,1400,"bu","13:26:50",24400
29650,150,1000,"bu","13:26:50",23000
29650,150,100,"bu","13:26:50",22000
29600,100,900,"bu","13:26:00",21900
29600,100,600,"bu","13:26:00",21000
29600,100,400,"bu","13:26:00",20400
29600,100,200,"bu","13:26:00",20000
29600,100,500,"bu","13:26:00",19800
29600,100,300,"bu","13:26:00",19300
29600,100,100,"bu","13:26:00",19000
29600,100,1000,"bu","13:26:00",18600
29600,100,300,"bu","13:26:00",18900
29550,50,300,"bu","13:26:00",17600
29150,-350,100,"sd","13:19:36",17300
29150,-350,100,"sd","13:18:48",17200
29100,-400,200,"sd","13:13:50",17100
29500,0,100,"sd","13:13:00",16900
29500,0,300,"sd","11:24:06",16800
29500,0,200,"bu","11:22:30",16500
29500,0,1500,"bu","11:22:30",16300
29000,-500,200,"sd","11:20:44",14800
29050,-450,100,"sd","11:20:44",14600
29000,-500,300,"sd","11:16:23",14500
29050,-450,200,"sd","11:16:23",14200
29200,-300,400,"sd","11:16:23",14000
29200,-300,100,"sd","11:16:23",13600
29500,0,100,"sd","11:10:21",13500
29500,0,3900,"bu","11:03:32",13400
29500,0,400,"sd","11:02:54",9500
29500,0,700,"sd","11:02:54",9100
29500,0,100,"sd","10:58:22",8400
29600,100,700,"bu","10:51:17",8300
29500,0,100,"sd","10:35:22",7600
29500,0,1000,"sd","10:29:14",7500
29500,0,1000,"sd","10:15:34",6500
29500,0,700,"sd","10:12:17",5500
29500,0,200,"sd","10:08:34",4800
29500,0,100,"sd","10:08:26",4600
29500,0,1100,"bu","10:08:13",4500
29350,-150,300,"bu","10:03:27",3400
29350,-150,700,"sd","10:02:51",3100
29350,-150,700,"sd","10:00:49",2400
29350,-150,500,"sd","09:57:33",1700
29650,150,100,"bu","09:46:08",1200
29050,-450,100,"sd","09:32:38",1100
29000,-500,1000,"sd","09:15:01",1000
