"price","change","match_qtty","side","time","total_vol"
40400,-100,3000,"bu","14:45:01",32000
40200,-300,800,"bu","14:26:46",29000
40200,-300,1000,"sd","14:03:30",28200
40500,0,200,"bu","10:36:03",27200
40000,-500,1600,"sd","10:00:44",27000
40050,-450,100,"sd","10:00:44",25400
40050,-450,100,"sd","10:00:44",25300
40500,0,500,"sd","09:29:31",25200
40000,-500,3200,"bu","09:20:45",24700
40000,-500,1800,"sd","09:20:05",21500
40000,-500,13200,"bu","09:19:11",19700
40000,-500,1900,"sd","09:18:10",6500
40000,-500,100,"bu","09:16:39",4600
40000,-500,4500,"sd","09:15:06",4500
