"price","change","match_qtty","side","time","total_vol"
8060,40,16900,"sd","14:45:03",164000
8100,80,800,"bu","14:28:56",147100
8100,80,200,"bu","14:28:32",146300
8100,80,1000,"bu","14:26:26",146100
8100,80,1000,"bu","14:22:12",145100
8090,70,1000,"sd","14:21:16",144100
8090,70,500,"sd","14:14:33",142600
8090,70,500,"sd","14:14:33",143100
8110,90,2000,"sd","14:08:49",142100
8110,90,1000,"sd","14:08:49",140100
8130,110,200,"sd","14:07:25",139100
8130,110,800,"bu","13:57:12",138900
8130,110,1000,"bu","13:56:42",138100
8100,80,8300,"bu","13:54:59",137100
8100,80,600,"sd","13:52:54",128800
8100,80,200,"sd","13:49:37",128200
8100,80,100,"sd","13:48:38",128000
8100,80,1000,"sd","13:42:54",127900
8110,90,1000,"sd","13:42:54",126900
8100,80,3800,"sd","13:41:58",125900
8100,80,200,"sd","13:41:58",122100
8100,80,100,"sd","13:41:58",121900
8110,90,500,"sd","13:41:46",121800
8110,90,200,"sd","13:41:46",121300
8100,80,600,"sd","13:36:22",121100
8110,90,500,"bu","13:34:08",120500
8100,80,300,"sd","13:33:23",120000
8110,90,200,"bu","13:33:14",119700
8110,90,9200,"bu","13:29:47",119500
8110,90,100,"bu","13:28:27",110300
8100,80,200,"sd","13:27:15",110200
8100,80,600,"sd","13:26:48",105600
8100,80,400,"sd","13:26:48",110000
8100,80,4000,"sd","13:26:48",109600
8110,90,900,"sd","13:22:12",105000
8110,90,2100,"sd","13:21:22",104100
8120,100,100,"sd","13:21:22",102000
8140,120,100,"bu","13:04:10",101900
8140,120,500,"sd","13:00:02",101800
8140,120,500,"sd","13:00:02",101300
8140,120,300,"sd","13:00:01",100800
8140,120,1000,"sd","11:24:07",100500
8150,130,5000,"bu","11:24:02",99500
8140,120,200,"sd","11:23:49",94500
8140,120,300,"sd","11:23:49",94300
8150,130,100,"bu","11:21:47",94000
8150,130,1000,"sd","11:21:36",93900
8150,130,1700,"sd","11:21:36",92900
8190,170,100,"bu","11:16:26",91200
8150,130,100,"sd","11:12:46",91100
8150,130,1000,"sd","11:11:37",91000
8150,130,100,"sd","11:08:48",90000
8150,130,500,"bu","11:08:17",89900
8150,130,200,"bu","11:08:17",89400
8150,130,500,"bu","11:08:17",89200
8150,130,5900,"bu","11:08:17",88700
8150,130,1000,"bu","11:08:17",82800
8140,120,4700,"bu","11:05:26",81800
8140,120,300,"bu","11:05:01",77100
8100,80,300,"bu","10:56:25",76800
8100,80,100,"sd","10:46:11",76500
8100,80,300,"sd","10:45:14",76400
8100,80,200,"sd","10:45:14",76100
8150,130,3100,"sd","10:40:58",75900
8150,130,100,"bu","10:40:09",72800
8150,130,100,"bu","10:40:09",72700
8150,130,1700,"bu","10:40:09",72600
8150,130,300,"bu","10:39:28",70900
8150,130,100,"bu","10:39:28",70600
8150,130,500,"bu","10:39:28",70500
8150,130,100,"bu","10:39:28",70000
8150,130,100,"bu","10:38:06",69900
8150,130,200,"bu","10:38:06",69800
8100,80,2800,"sd","10:32:26",69600
8100,80,200,"sd","10:32:26",66800
8150,130,100,"bu","10:31:32",66600
8100,80,3300,"bu","10:31:11",66500
8100,80,1000,"bu","10:31:11",63200
8100,80,1100,"bu","10:31:11",62200
8100,80,900,"bu","10:30:01",61100
8100,80,1000,"bu","10:30:01",60200
8080,60,100,"bu","10:30:01",59200
8060,40,10000,"bu","10:29:11",59100
8060,40,100,"bu","10:29:11",49100
8050,30,100,"bu","10:29:02",49000
8050,30,1000,"bu","10:29:02",48900
8050,30,11500,"bu","10:29:02",47900
8030,10,600,"sd","10:26:15",36400
8030,10,300,"bu","10:23:33",35800
8030,10,200,"bu","10:23:33",35500
8030,10,400,"bu","10:23:33",35300
8030,10,1000,"bu","10:23:12",34900
8030,10,100,"bu","10:22:38",33900
8030,10,5000,"bu","10:20:58",33800
8030,10,100,"bu","10:20:31",28800
8030,10,500,"bu","10:17:04",28700
8030,10,500,"bu","10:15:41",28200
8030,10,1000,"bu","10:12:36",27700
8030,10,1000,"sd","10:10:36",26700
8030,10,400,"sd","10:10:36",25700
8030,10,400,"sd","10:03:43",25300
8030,10,200,"sd","10:03:15",24900
8050,30,100,"bu","09:58:35",24700
8050,30,400,"bu","09:55:06",24600
8050,30,400,"bu","09:55:06",24200
8050,30,100,"bu","09:41:22",23800
8050,30,500,"sd","09:40:10",23700
8050,30,1100,"sd","09:38:46",23200
8050,30,800,"bu","09:34:12",22100
8050,30,200,"bu","09:34:12",21300
8050,30,4800,"bu","09:32:55",21100
8050,30,100,"bu","09:32:55",16300
8050,30,100,"bu","09:32:55",16200
8050,30,400,"bu","09:28:20",16100
8050,30,700,"bu","09:28:20",15700
8050,30,500,"bu","09:28:20",15000
8050,30,200,"bu","09:28:20",14500
8050,30,3200,"bu","09:28:20",14300
8030,10,1000,"sd","09:25:58",11100
8050,30,1000,"sd","09:22:38",10100
8050,30,5800,"sd","09:22:38",9100
8050,30,3300,"sd","09:15:01",3300
