"price","change","match_qtty","side","time","total_vol"
6010,50,2600,"bu","14:45:02",354600
6020,60,200,"bu","14:28:54",352000
6020,60,200,"bu","14:28:14",351800
6010,50,100,"bu","14:28:03",351600
6010,50,900,"sd","14:27:50",351500
6020,60,200,"bu","14:27:27",350600
6010,50,600,"bu","14:27:18",350400
6010,50,300,"bu","14:26:11",349800
6010,50,200,"bu","14:26:00",349500
6010,50,900,"sd","14:25:46",349300
6020,60,200,"bu","14:25:39",348400
6020,60,300,"bu","14:24:55",348200
6020,60,200,"bu","14:24:35",347900
6000,40,100,"sd","14:24:26",347700
6010,50,200,"sd","14:24:18",347600
6010,50,900,"sd","14:24:18",347400
6020,60,300,"sd","14:23:58",346500
6020,60,900,"sd","14:23:58",346200
6030,70,900,"sd","14:23:58",345300
6040,80,300,"bu","14:23:55",344400
6040,80,300,"bu","14:23:34",344100
6030,70,600,"bu","14:23:08",343800
6020,60,300,"bu","14:22:58",343200
6020,60,200,"bu","14:22:48",342900
6020,60,900,"sd","14:20:26",342700
6020,60,600,"sd","14:20:26",341800
6020,60,100,"sd","14:19:56",341200
6020,60,200,"sd","14:19:25",341100
6030,70,300,"bu","14:19:09",340900
6030,70,200,"bu","14:17:41",340600
6020,60,300,"bu","14:17:29",340400
6020,60,300,"bu","14:17:17",340100
6020,60,200,"bu","14:16:44",339800
6020,60,300,"bu","14:15:50",339600
6020,60,200,"bu","14:14:32",339300
6020,60,300,"bu","14:14:03",339100
6000,40,400,"sd","14:12:51",338800
6010,50,800,"sd","14:12:51",338400
6010,50,100,"sd","14:12:51",337600
6020,60,200,"bu","14:12:43",337500
6020,60,100,"bu","14:11:49",337300
6020,60,200,"bu","14:11:12",337200
6020,60,200,"bu","14:10:58",337000
6020,60,100,"bu","14:10:58",336800
6010,50,100,"sd","14:10:31",336700
6010,50,300,"sd","14:10:19",336600
6010,50,700,"sd","14:10:19",336300
6010,50,100,"sd","14:09:39",335600
6020,60,900,"sd","14:09:39",335500
6030,70,600,"bu","14:08:53",334600
6020,60,200,"bu","14:08:44",334000
6020,60,300,"bu","14:08:44",333800
6020,60,300,"bu","14:08:31",333500
6020,60,100,"bu","14:06:53",333200
6020,60,200,"bu","14:04:33",333100
6020,60,500,"bu","14:03:17",332900
6020,60,500,"bu","14:02:32",332400
6020,60,400,"bu","14:01:10",331900
6020,60,100,"bu","14:01:10",331500
6000,40,500,"sd","14:00:33",331400
6020,60,200,"bu","14:00:27",330900
6000,40,100,"sd","14:00:08",330700
6010,50,900,"sd","14:00:08",330600
6020,60,200,"bu","13:59:53",329700
6020,60,100,"bu","13:59:53",329500
