"price","change","match_qtty","side","time","total_vol"
84900,-100,100,"bu","14:45:00",11200
84500,-500,200,"bu","14:29:39",11100
84500,-500,500,"bu","14:25:59",10900
84500,-500,100,"bu","14:14:52",10400
84400,-600,100,"sd","14:04:30",10300
84400,-600,600,"sd","14:04:30",10200
84400,-600,300,"sd","14:04:30",9600
84400,-600,200,"bu","13:55:56",9300
84400,-600,300,"bu","13:54:05",9100
84400,-600,300,"bu","13:47:24",8800
84400,-600,100,"bu","13:41:16",8500
84400,-600,100,"sd","13:38:26",8400
84300,-700,500,"sd","11:15:15",8300
84400,-600,100,"sd","11:15:15",7800
84400,-600,2000,"sd","11:15:15",7700
84400,-600,400,"sd","11:15:15",5700
84500,-500,100,"bu","11:01:42",5300
84500,-500,100,"bu","10:58:35",5200
84500,-500,100,"bu","10:58:35",5100
84500,-500,200,"bu","10:47:23",5000
84500,-500,200,"bu","10:46:39",4800
84400,-600,100,"bu","10:20:06",4600
84000,-1000,200,"unknown","09:58:18",4500
84000,-1000,100,"sd","09:56:05",4300
84000,-1000,500,"sd","09:56:05",4200
84000,-1000,200,"sd","09:56:05",3700
84000,-1000,900,"sd","09:56:05",3500
84100,-900,100,"sd","09:56:05",2600
84400,-600,100,"bu","09:56:00",2500
84400,-600,500,"bu","09:53:17",2400
84500,-500,500,"sd","09:51:10",1900
84500,-500,200,"sd","09:51:10",1400
84600,-400,500,"sd","09:51:10",1200
84700,-300,100,"sd","09:51:10",700
84800,-200,300,"sd","09:46:27",600
85000,0,200,"bu","09:30:31",300
84000,-1000,100,"sd","09:22:52",100
