"price","change","match_qtty","side","time","total_vol"
25400,350,905500,"unknown","14:45:01",12437000
25150,100,500,"sd","14:29:49",11531500
25200,150,1400,"bu","14:29:32",11531000
25200,150,500,"bu","14:29:32",11529600
25200,150,18100,"bu","14:29:32",11529100
25150,100,300,"sd","14:29:30",11511000
25200,150,100,"bu","14:29:26",11510700
25150,100,2500,"sd","14:29:19",11510600
25200,150,300,"bu","14:29:10",11508100
25150,100,1000,"sd","14:29:09",11507800
25150,100,100,"sd","14:29:08",11506800
25150,100,400,"sd","14:29:08",11506700
25150,100,100,"sd","14:29:06",11506300
25150,100,1900,"sd","14:29:06",11506200
25150,100,4600,"sd","14:29:06",11504300
25200,150,200,"bu","14:29:02",11499700
25200,150,100,"bu","14:29:01",11499500
25150,100,13000,"sd","14:28:58",11499400
25150,100,300,"sd","14:28:58",11486400
25150,100,2000,"sd","14:28:58",11486100
25150,100,100,"sd","14:28:58",11484100
25150,100,4300,"sd","14:28:58",11484000
25150,100,5000,"sd","14:28:58",11479700
25150,100,400,"sd","14:28:58",11474700
25150,100,200,"sd","14:28:53",11474300
25150,100,500,"sd","14:28:53",11474100
25150,100,1000,"sd","14:28:53",11473600
25150,100,300,"sd","14:28:53",11472600
25150,100,9700,"sd","14:28:39",11472300
25150,100,300,"sd","14:28:39",11462600
25150,100,200,"sd","14:28:39",11462300
25150,100,200,"sd","14:28:39",11462100
25150,100,100,"sd","14:28:38",11461900
25150,100,100,"sd","14:28:36",11461800
25150,100,900,"sd","14:28:36",11461700
25150,100,100,"sd","14:28:24",11460800
25150,100,300,"sd","14:28:24",11460700
25150,100,100,"sd","14:28:24",11460400
25150,100,2500,"sd","14:28:24",11460300
25150,100,100,"sd","14:28:19",11457800
25150,100,1400,"sd","14:28:07",11457700
25150,100,200,"sd","14:28:07",11456300
25150,100,18400,"sd","14:28:07",11456100
25150,100,1000,"sd","14:28:05",11437700
25150,100,100,"sd","14:27:53",11436700
25150,100,1000,"sd","14:27:31",11436600
25150,100,100,"sd","14:27:28",11435600
25150,100,6600,"bu","14:27:28",11435500
25150,100,20000,"bu","14:27:28",11428900
25150,100,1000,"bu","14:27:28",11408900
25150,100,1000,"bu","14:27:28",11407900
25150,100,800,"bu","14:27:28",11406900
25150,100,4500,"bu","14:27:26",11406100
25150,100,1600,"bu","14:27:26",11401600
25150,100,500,"bu","14:27:25",11400000
25150,100,10000,"bu","14:27:25",11399500
25150,100,100,"bu","14:27:19",11389500
25150,100,5000,"bu","14:27:09",11389400
25150,100,400,"bu","14:27:05",11384400
25150,100,100,"sd","14:26:54",11384000
25150,100,2300,"sd","14:26:54",11383900
25150,100,800,"sd","14:26:49",11381600
25150,100,1900,"sd","14:26:47",11380800
25150,100,3100,"sd","14:26:47",11378900
25150,100,16900,"bu","14:26:43",11375800
25150,100,100,"bu","14:26:42",11358900
25150,100,100,"bu","14:26:41",11358800
25150,100,1900,"bu","14:26:41",11358700
25150,100,1000,"sd","14:26:41",11356800
25150,100,15000,"sd","14:26:41",11355800
25150,100,200,"sd","14:26:40",11340800
25150,100,200,"sd","14:26:37",11340600
25150,100,200,"bu","14:26:33",11340400
25150,100,100,"bu","14:26:33",11340200
25150,100,2400,"bu","14:26:33",11340100
25150,100,100,"bu","14:26:25",11337700
25150,100,700,"bu","14:26:25",11337600
25150,100,100,"bu","14:26:24",11336900
25150,100,300,"bu","14:26:21",11336800
25150,100,1400,"bu","14:26:20",11336500
25150,100,1000,"bu","14:26:20",11335100
25150,100,200,"bu","14:26:20",11334100
25150,100,5000,"bu","14:26:20",11333900
25150,100,5000,"sd","14:26:20",11328900
25150,100,2000,"sd","14:26:20",11323900
25150,100,500,"sd","14:26:20",11321900
25150,100,300,"sd","14:26:20",11321400
25150,100,500,"sd","14:26:20",11321100
25150,100,500,"sd","14:26:20",11320600
25150,100,100,"sd","14:26:02",11320100
25150,100,100,"sd","14:26:02",11320000
25150,100,1000,"sd","14:26:02",11319900
25150,100,100,"sd","14:26:02",11318900
25150,100,100,"sd","14:25:42",11318800
25200,150,7000,"bu","14:25:40",11318700
25150,100,800,"sd","14:25:39",11311700
25150,100,2000,"sd","14:25:39",11310900
25150,100,3800,"sd","14:25:39",11308900
25200,150,500,"bu","14:25:30",11305100
25200,150,3700,"bu","14:25:00",11304600
25200,150,300,"bu","14:25:00",11300900
25200,150,1700,"bu","14:24:57",11300600
25200,150,100,"bu","14:24:57",11298900
25200,150,1000,"bu","14:24:57",11298800
25200,150,100,"bu","14:24:57",11297800
25200,150,100,"bu","14:24:57",11297700
25200,150,1000,"bu","14:24:57",11297600
25200,150,200,"bu","14:24:57",11296600
25200,150,2500,"bu","14:24:57",11296400
25200,150,3300,"bu","14:24:57",11293900
25200,150,500,"bu","14:24:54",11290600
25200,150,1200,"bu","14:24:49",11290100
25200,150,200,"bu","14:24:49",11288900
25200,150,100,"bu","14:24:49",11288700
25200,150,2500,"bu","14:24:49",11288600
25150,100,200,"sd","14:24:47",11286100
25200,150,2000,"bu","14:24:13",11285900
25200,150,500,"bu","14:23:52",11283900
25200,150,100,"bu","14:23:51",11283400
25200,150,300,"bu","14:23:35",11283300
25200,150,200,"bu","14:23:34",11283000
25200,150,4400,"bu","14:23:30",11282800
25200,150,100,"bu","14:23:30",11278400
25200,150,1000,"bu","14:23:30",11278300
25200,150,100,"bu","14:23:30",11277300
25200,150,3500,"bu","14:23:30",11277200
25200,150,500,"bu","14:23:27",11273700
25200,150,1000,"bu","14:23:26",11273200
25150,100,1100,"sd","14:23:23",11272200
