"price","change","match_qtty","side","time","total_vol"
77000,-300,100,"sd","14:59:30",5800
77000,-300,200,"sd","14:40:51",5700
77000,-300,400,"sd","14:25:54",5500
77000,-300,100,"bu","14:24:52",5100
77000,-300,100,"bu","13:41:16",5000
76900,-400,100,"sd","13:39:10",4900
77000,-300,100,"unknown","13:38:46",4800
77000,-300,100,"bu","13:31:41",4700
77000,-300,1700,"bu","13:31:18",4600
77000,-300,400,"bu","13:23:21",2900
77000,-300,1000,"bu","13:01:55",2500
76500,-800,100,"sd","11:28:34",1500
76500,-800,100,"sd","11:23:46",1400
76400,-900,400,"sd","10:51:34",1300
76500,-800,100,"sd","10:46:28",900
77000,-300,100,"bu","10:24:25",800
77000,-300,100,"bu","09:56:22",700
77000,-300,200,"bu","09:55:33",600
76300,-1000,100,"sd","09:21:54",400
77000,-300,300,"sd","09:15:11",300
