"price","change","match_qtty","side","time","total_vol"
43000,-350,1800,"sd","14:45:02",40400
43000,-350,100,"sd","14:24:37",38600
43050,-300,100,"sd","14:23:08",38500
43050,-300,100,"sd","14:21:41",38400
43050,-300,100,"sd","14:20:19",38300
43050,-300,100,"sd","14:18:57",38200
43050,-300,100,"sd","14:17:38",38100
43050,-300,100,"sd","14:16:19",38000
43050,-300,100,"sd","14:15:02",37900
43050,-300,100,"sd","14:13:46",37800
43000,-350,100,"sd","14:12:31",37700
43000,-350,100,"sd","14:11:16",37600
43000,-350,100,"sd","14:10:04",37500
43000,-350,100,"sd","14:08:50",37400
43000,-350,100,"sd","14:07:37",37300
43000,-350,100,"sd","14:06:26",37200
43000,-350,100,"sd","14:05:13",37100
43000,-350,100,"sd","14:04:02",37000
43000,-350,100,"sd","14:02:52",36900
43000,-350,100,"sd","14:01:42",36800
43000,-350,100,"sd","14:00:33",36700
43000,-350,100,"sd","13:59:23",36600
43000,-350,100,"sd","13:58:14",36500
43100,-250,100,"sd","13:57:04",36400
43000,-350,100,"sd","13:55:56",36300
43300,-50,100,"bu","13:54:35",36200
43000,-350,100,"sd","13:53:40",36100
43000,-350,100,"sd","13:52:33",36000
43000,-350,100,"sd","13:51:25",35900
43000,-350,100,"sd","13:50:17",35800
43000,-350,100,"sd","13:49:11",35700
43000,-350,100,"sd","13:48:03",35600
42950,-400,100,"sd","13:46:57",35500
42950,-400,100,"sd","13:45:51",35400
42950,-400,100,"sd","13:44:44",35300
42950,-400,100,"sd","13:43:38",35200
42950,-400,100,"sd","13:42:32",35100
42950,-400,100,"sd","13:41:27",35000
42950,-400,100,"sd","13:40:21",34900
42950,-400,100,"sd","13:39:15",34800
42950,-400,100,"sd","13:38:10",34700
42950,-400,100,"sd","13:37:05",34600
42950,-400,100,"sd","13:36:00",34500
42950,-400,100,"sd","13:34:56",34400
42950,-400,100,"sd","13:33:51",34300
42950,-400,100,"sd","13:32:47",34200
42950,-400,100,"sd","13:31:43",34100
42950,-400,100,"sd","13:30:38",34000
42950,-400,100,"sd","13:29:34",33900
42950,-400,100,"sd","13:28:30",33800
42950,-400,100,"sd","13:27:27",33700
42950,-400,800,"sd","13:26:34",33600
42950,-400,100,"sd","13:26:23",32800
42950,-400,1000,"sd","13:25:39",32700
42950,-400,100,"sd","13:25:20",31700
42950,-400,100,"sd","13:24:17",31600
42950,-400,100,"sd","13:23:13",31500
42950,-400,100,"sd","13:22:10",31400
42950,-400,100,"sd","13:21:07",31300
42950,-400,100,"sd","13:20:04",31200
42950,-400,100,"sd","13:19:02",31100
42950,-400,100,"sd","13:17:59",31000
43000,-350,100,"sd","13:16:29",30900
43000,-350,100,"bu","13:16:17",30800
43000,-350,4000,"bu","13:15:59",30700
42950,-400,100,"sd","13:15:55",26700
43000,-350,100,"bu","13:15:34",26600
43000,-350,900,"bu","13:15:08",26500
42950,-400,100,"bu","13:14:30",25600
42950,-400,100,"bu","13:14:30",25500
42400,-950,100,"sd","13:13:49",25400
42400,-950,100,"sd","13:12:47",25300
42400,-950,100,"sd","13:11:45",25200
42400,-950,100,"sd","13:10:43",25100
42950,-400,100,"bu","13:09:09",25000
42400,-950,100,"sd","13:08:39",24900
42400,-950,100,"sd","13:07:37",24800
42450,-900,100,"sd","13:06:36",24700
42400,-950,100,"sd","13:05:34",24600
42950,-400,100,"bu","13:05:24",24500
42400,-950,100,"sd","13:04:34",24400
42400,-950,100,"sd","13:03:32",24300
42400,-950,100,"sd","13:02:31",24200
42400,-950,100,"sd","13:01:30",24100
42400,-950,300,"sd","13:00:49",24000
42450,-900,100,"sd","13:00:29",23700
42400,-950,100,"sd","11:26:50",23600
42400,-950,100,"sd","11:24:44",23500
42400,-950,100,"sd","11:22:38",23400
42500,-850,100,"sd","11:20:33",23300
43250,-100,100,"bu","11:20:09",23200
42400,-950,100,"sd","11:18:28",23100
42250,-1100,100,"sd","11:16:23",23000
43000,-350,100,"bu","11:14:14",22900
43000,-350,400,"bu","11:14:14",22800
42150,-1200,100,"sd","11:12:13",22400
41800,-1550,100,"sd","11:10:08",22300
42000,-1350,100,"sd","11:08:03",22200
42000,-1350,400,"bu","11:07:43",22100
42000,-1350,5000,"sd","11:07:27",21700
42000,-1350,100,"sd","11:07:27",16700
42000,-1350,100,"sd","11:07:27",16600
42000,-1350,2000,"sd","11:07:27",16500
42000,-1350,2300,"sd","11:07:27",14500
42050,-1300,100,"sd","11:07:27",12200
42000,-1350,600,"sd","11:06:55",12100
42050,-1300,100,"sd","11:06:55",11500
42100,-1250,300,"sd","11:06:55",11400
42150,-1200,100,"sd","11:06:55",11100
42300,-1050,100,"sd","11:06:55",11000
42500,-850,1000,"sd","11:06:55",10900
42650,-700,1000,"sd","11:06:55",9900
42650,-700,100,"sd","11:06:55",8900
42750,-600,400,"sd","11:06:55",8800
42750,-600,100,"sd","11:06:55",8400
42950,-400,100,"sd","11:06:55",8300
42950,-400,100,"sd","11:06:55",8200
43000,-350,100,"bu","11:06:49",8100
43000,-350,2000,"sd","11:06:37",8000
43000,-350,400,"sd","11:06:37",6000
43000,-350,100,"sd","11:05:59",5600
43000,-350,100,"sd","11:03:55",5500
43000,-350,100,"sd","11:01:51",5400
43000,-350,100,"sd","10:59:47",5300
43000,-350,100,"sd","10:57:43",5200
43000,-350,100,"sd","10:55:40",5100
43050,-300,100,"sd","10:53:36",5000
43050,-300,100,"sd","10:51:33",4900
43050,-300,100,"sd","10:49:29",4800
43050,-300,100,"sd","10:47:26",4700
43050,-300,100,"sd","10:45:23",4600
43050,-300,100,"sd","10:43:20",4500
43050,-300,100,"sd","10:41:17",4400
43050,-300,100,"sd","10:39:15",4300
43050,-300,100,"sd","10:37:12",4200
43050,-300,100,"sd","10:35:10",4100
43050,-300,100,"sd","10:33:07",4000
43050,-300,100,"sd","10:31:06",3900
43100,-250,100,"sd","10:29:03",3800
43100,-250,100,"sd","10:27:01",3700
43100,-250,100,"sd","10:25:00",3600
43100,-250,100,"sd","10:22:58",3500
43150,-200,100,"sd","10:20:56",3400
43150,-200,100,"sd","10:18:55",3300
43150,-200,100,"sd","10:16:53",3200
43150,-200,100,"sd","10:14:53",3100
43150,-200,100,"sd","10:12:51",3000
43150,-200,100,"sd","10:10:50",2900
43150,-200,100,"sd","10:08:49",2800
43150,-200,100,"sd","10:06:48",2700
43150,-200,100,"sd","10:04:48",2600
43150,-200,100,"sd","10:02:47",2500
43150,-200,100,"sd","10:00:47",2400
43150,-200,100,"sd","09:58:46",2300
43100,-250,100,"sd","09:56:46",2200
43100,-250,100,"sd","09:54:46",2100
43100,-250,100,"sd","09:52:45",2000
43100,-250,100,"sd","09:50:46",1900
43100,-250,100,"sd","09:48:45",1800
43100,-250,100,"sd","09:46:46",1700
43000,-350,100,"sd","09:44:46",1600
43000,-350,100,"sd","09:42:46",1500
43000,-350,100,"sd","09:40:47",1400
43000,-350,100,"sd","09:38:48",1300
43000,-350,100,"sd","09:36:48",1200
43100,-250,100,"sd","09:34:49",1100
43000,-350,100,"sd","09:32:50",1000
43000,-350,100,"sd","09:30:51",900
43000,-350,100,"sd","09:28:52",800
43000,-350,100,"sd","09:26:52",700
43050,-300,100,"sd","09:24:54",600
43200,-150,100,"sd","09:22:55",500
43250,-100,100,"sd","09:20:56",400
43300,-50,100,"sd","09:18:58",300
43350,0,100,"bu","09:15:30",200
43350,0,100,"unknown","09:15:01",100
