"price","change","match_qtty","side","time","total_vol"
14500,-200,8000,"bu","14:45:01",200300
14400,-300,500,"sd","14:27:21",192300
14400,-300,300,"sd","14:25:19",191800
14400,-300,700,"bu","14:25:12",191500
14400,-300,1400,"bu","14:24:58",190800
14400,-300,1000,"bu","14:24:30",189400
14400,-300,200,"bu","14:22:17",188400
14400,-300,100,"bu","14:16:42",188200
14400,-300,7900,"bu","14:13:58",188100
14500,-200,300,"bu","14:10:45",180200
14500,-200,1000,"sd","14:09:47",179900
14500,-200,100,"bu","14:05:56",178900
14500,-200,3000,"bu","14:02:30",178800
14500,-200,200,"bu","14:01:56",175800
14400,-300,100,"bu","14:01:45",175600
14400,-300,100,"bu","14:01:27",175500
14400,-300,400,"bu","14:00:59",175400
14400,-300,200,"bu","14:00:43",175000
14400,-300,200,"sd","13:58:51",174800
14400,-300,4200,"bu","13:58:24",174600
14300,-400,6300,"sd","13:58:15",170400
14400,-300,200,"bu","13:57:10",164100
14400,-300,100,"bu","13:56:45",163900
14400,-300,2000,"unknown","13:55:32",163800
14400,-300,600,"bu","13:46:44",161800
14500,-200,500,"bu","13:40:51",161200
14400,-300,2500,"sd","13:38:44",160700
14500,-200,100,"bu","13:36:26",158200
14400,-300,100,"unknown","13:34:59",158100
14400,-300,1500,"sd","13:30:50",158000
14500,-200,300,"bu","13:28:20",156500
14400,-300,1000,"bu","13:24:32",156200
14300,-400,2000,"sd","13:24:30",155200
14300,-400,100,"sd","13:24:06",153200
14400,-300,200,"bu","13:23:38",153100
14400,-300,100,"bu","13:23:32",152900
14300,-400,12400,"sd","13:23:31",152800
14300,-400,6100,"sd","13:23:13",140400
14300,-400,10000,"sd","13:21:19",134300
14400,-300,100,"bu","13:20:21",124300
14400,-300,200,"bu","13:18:59",124200
14400,-300,1200,"bu","13:18:52",124000
14400,-300,300,"bu","13:17:30",122800
14400,-300,2200,"bu","13:17:09",122500
14400,-300,200,"unknown","13:14:30",120300
14400,-300,100,"sd","13:14:23",120100
14400,-300,2000,"unknown","13:12:50",120000
14400,-300,13000,"bu","13:11:18",118000
14400,-300,1600,"bu","13:09:49",105000
14400,-300,1000,"bu","13:08:17",103400
14400,-300,100,"bu","13:00:54",102400
14400,-300,6900,"bu","13:00:34",102300
14400,-300,17000,"sd","13:00:05",95400
14500,-200,500,"bu","11:29:49",78400
14500,-200,1400,"sd","11:23:25",77900
14600,-100,200,"bu","11:20:03",76500
14500,-200,200,"sd","11:13:41",76300
14500,-200,1600,"sd","11:04:07",76100
14500,-200,15000,"sd","11:03:01",74500
14600,-100,100,"bu","10:56:10",59500
14600,-100,200,"bu","10:55:18",59400
14600,-100,100,"bu","10:54:58",59200
14500,-200,1700,"sd","10:52:33",59100
14600,-100,100,"bu","10:50:07",57400
14500,-200,800,"sd","10:39:02",57300
14500,-200,400,"sd","10:34:27",56500
14500,-200,2000,"sd","10:29:30",56100
14600,-100,1000,"bu","10:23:32",54100
14700,0,100,"bu","10:20:11",53100
14600,-100,100,"sd","10:19:45",53000
14700,0,10000,"bu","10:12:20",52900
14600,-100,400,"unknown","10:11:36",42900
14700,0,100,"bu","10:07:30",42500
14600,-100,100,"sd","10:06:27",42400
14700,0,100,"bu","10:03:38",42300
14600,-100,500,"sd","10:03:05",42200
14600,-100,200,"unknown","10:01:27",41700
14700,0,100,"bu","09:59:25",41500
14600,-100,100,"unknown","09:57:28",41400
14600,-100,900,"sd","09:56:13",41300
14600,-100,100,"bu","09:55:14",40400
14700,0,100,"bu","09:48:18",40300
14400,-300,4100,"sd","09:44:18",40200
14400,-300,2200,"sd","09:44:14",36100
14400,-300,1000,"sd","09:43:48",33900
14400,-300,1000,"bu","09:38:18",32900
14400,-300,400,"bu","09:37:18",31900
14400,-300,200,"bu","09:37:01",31500
14400,-300,600,"bu","09:36:44",31300
14400,-300,100,"bu","09:36:13",30700
14400,-300,4700,"sd","09:36:01",30600
14500,-200,500,"bu","09:33:38",25900
14400,-300,5000,"sd","09:32:27",25400
14400,-300,800,"sd","09:25:30",20400
14400,-300,19200,"bu","09:24:58",19600
14700,0,100,"bu","09:18:39",400
14700,0,200,"bu","09:01:03",300
14700,0,100,"sd","09:00:14",100
