"price","change","match_qtty","side","time","total_vol"
66200,300,500,"bu","14:44:32",100700
66200,300,500,"bu","14:44:20",100200
66200,300,100,"bu","14:19:42",99700
66200,300,400,"bu","14:19:26",99600
66200,300,500,"bu","14:19:12",99200
66200,300,600,"bu","14:18:50",98700
66200,300,300,"bu","14:18:36",98100
66200,300,100,"bu","14:18:21",97800
66200,300,400,"bu","14:13:46",97700
66200,300,100,"bu","14:13:28",97300
66200,300,300,"bu","14:11:57",97200
66200,300,200,"bu","14:11:41",96900
66200,300,400,"bu","14:11:27",96700
66200,300,200,"bu","14:11:13",96300
66200,300,200,"unknown","14:09:35",96100
66200,300,800,"bu","14:06:00",95900
66200,300,600,"bu","14:05:31",95100
66200,300,200,"bu","14:05:06",94500
66200,300,100,"bu","14:04:52",94300
66200,300,300,"bu","14:03:16",94200
66200,300,200,"bu","14:03:03",93900
66200,300,300,"bu","14:02:43",93700
66200,300,200,"bu","14:02:22",93400
66200,300,500,"bu","14:02:11",93200
66200,300,200,"bu","14:01:57",92700
66200,300,300,"bu","14:00:10",92500
66200,300,300,"bu","13:59:36",92200
66200,300,200,"bu","13:59:24",91900
66200,300,500,"bu","13:52:48",91700
66200,300,200,"bu","13:52:21",91200
66200,300,300,"bu","13:52:09",91000
66200,300,500,"bu","13:51:50",90700
66200,300,200,"bu","13:51:39",90200
66200,300,300,"bu","13:51:09",90000
66200,300,400,"bu","13:49:30",89700
66200,300,400,"unknown","13:48:01",89300
66200,300,100,"bu","13:47:49",88900
66200,300,200,"bu","13:47:18",88800
66200,300,300,"bu","13:45:55",88600
66200,300,500,"bu","13:45:43",88300
66200,300,200,"bu","13:45:23",87800
66200,300,300,"bu","13:45:11",87600
66200,300,200,"bu","13:44:50",87300
66200,300,500,"unknown","13:42:45",87100
66200,300,600,"bu","13:41:56",86600
66200,300,100,"bu","13:41:44",86000
66200,300,300,"bu","13:41:26",85900
66200,300,200,"bu","13:41:14",85600
66200,300,300,"bu","13:41:00",85400
66200,300,500,"unknown","13:39:06",85100
66200,300,200,"bu","13:38:52",84600
66200,300,300,"bu","13:37:20",84400
66200,300,500,"bu","13:37:02",84100
66300,400,200,"bu","13:35:37",83600
66300,400,300,"bu","13:35:01",83400
66200,300,500,"unknown","13:33:52",83100
66200,300,200,"bu","13:32:55",82600
66200,300,300,"bu","13:32:43",82400
66200,300,200,"bu","13:32:27",82100
66300,400,300,"bu","13:28:13",81900
66300,400,500,"bu","13:28:00",81600
66300,400,200,"bu","13:27:46",81100
66200,300,300,"unknown","13:27:28",80900
66200,300,200,"bu","13:26:28",80600
