"price","change","match_qtty","side","time","total_vol"
24000,-1000,100,"sd","14:45:02",23100
25000,0,600,"bu","14:29:40",23000
25000,0,1000,"bu","14:25:02",22400
25000,0,4200,"bu","14:11:03",21400
25000,0,2000,"bu","11:07:00",17200
25000,0,500,"bu","11:04:37",15200
25000,0,1500,"bu","11:00:57",14700
25000,0,100,"bu","10:54:32",13200
25000,0,1200,"bu","10:38:55",13100
25000,0,1000,"bu","10:24:24",11900
25000,0,100,"bu","10:24:12",10900
25000,0,1200,"bu","10:21:14",10800
25000,0,5000,"bu","10:15:16",9600
25000,0,2100,"bu","10:10:37",4600
25000,0,2500,"bu","10:07:27",2500
