"price","change","match_qtty","side","time","total_vol"
62300,-200,22500,"bu","14:44:59",305100
62100,-400,200,"bu","14:29:57",282600
62100,-400,500,"bu","14:29:57",282400
62000,-500,500,"sd","14:29:40",281900
62000,-500,100,"sd","14:29:33",281400
62000,-500,400,"sd","14:29:30",281300
62000,-500,200,"sd","14:29:30",280900
62000,-500,1400,"sd","14:29:30",280700
62100,-400,100,"bu","14:29:12",279300
62100,-400,100,"bu","14:29:12",279200
62100,-400,500,"bu","14:29:11",279100
62100,-400,5000,"bu","14:29:05",278600
62000,-500,2000,"sd","14:29:03",273600
62100,-400,100,"bu","14:29:02",271600
62100,-400,500,"bu","14:28:20",271500
62100,-400,100,"bu","14:27:55",271000
62100,-400,400,"bu","14:27:55",270900
62100,-400,100,"bu","14:27:32",270500
62000,-500,1300,"sd","14:27:09",270400
62000,-500,300,"sd","14:26:55",269100
62000,-500,100,"sd","14:26:55",268800
62000,-500,300,"bu","14:26:36",268700
62000,-500,100,"bu","14:26:36",268400
62000,-500,100,"bu","14:26:32",268300
62000,-500,200,"bu","14:26:32",268200
62000,-500,200,"bu","14:26:32",268000
62000,-500,200,"bu","14:26:21",267800
62000,-500,1600,"bu","14:26:20",267600
62000,-500,1000,"bu","14:26:20",266000
62000,-500,200,"bu","14:26:20",265000
62000,-500,200,"bu","14:26:20",264800
62000,-500,300,"bu","14:26:14",264600
62000,-500,100,"bu","14:26:09",264300
62000,-500,1000,"bu","14:25:59",264200
62000,-500,100,"bu","14:25:57",263200
62000,-500,800,"bu","14:25:56",263100
62000,-500,200,"bu","14:25:56",262300
62000,-500,100,"bu","14:25:36",262100
62000,-500,200,"bu","14:25:22",262000
62000,-500,100,"bu","14:24:57",261800
61900,-600,500,"sd","14:24:53",261700
61900,-600,100,"sd","14:24:53",261200
61900,-600,300,"sd","14:24:53",261100
61900,-600,100,"sd","14:24:53",260800
61900,-600,200,"sd","14:24:53",260700
61900,-600,100,"sd","14:24:53",260500
61900,-600,200,"sd","14:24:53",260400
61900,-600,200,"sd","14:24:53",260200
61900,-600,100,"sd","14:24:53",260000
62000,-500,100,"bu","14:24:15",259900
62000,-500,100,"bu","14:24:04",259800
61900,-600,200,"sd","14:23:37",259700
61900,-600,100,"sd","14:23:37",259500
61900,-600,100,"sd","14:23:37",259400
61900,-600,500,"sd","14:23:37",259300
61900,-600,100,"sd","14:23:37",258800
61900,-600,100,"sd","14:23:37",258700
61900,-600,100,"sd","14:23:37",258600
61900,-600,100,"sd","14:23:37",258500
61900,-600,600,"sd","14:23:37",258400
61900,-600,100,"sd","14:23:37",257800
62000,-500,200,"bu","14:23:30",257700
62000,-500,200,"bu","14:23:30",257500
62000,-500,100,"bu","14:23:29",257300
62000,-500,700,"bu","14:23:16",257200
62000,-500,300,"bu","14:23:16",256500
62000,-500,100,"bu","14:23:00",256200
62000,-500,100,"bu","14:22:55",256100
62000,-500,700,"bu","14:22:50",256000
62000,-500,300,"bu","14:22:50",255300
62000,-500,100,"bu","14:22:19",255000
62000,-500,500,"bu","14:21:09",254900
62000,-500,100,"bu","14:20:49",254400
62000,-500,200,"bu","14:20:13",254300
