"price","change","match_qtty","side","time","total_vol"
2800,100,300,"bu","14:10:31",57500
2800,100,500,"bu","13:33:27",57200
2800,100,100,"bu","13:22:53",56700
2800,100,200,"bu","11:29:45",56600
2800,100,100,"bu","11:18:04",56400
2500,-200,300,"sd","11:14:05",56300
2500,-200,34300,"bu","11:04:10",56000
2500,-200,200,"bu","11:00:39",21700
2500,-200,300,"bu","10:29:36",21500
2500,-200,5100,"bu","10:27:19",21200
2500,-200,100,"bu","10:19:17",16100
2500,-200,900,"bu","10:17:11",16000
2500,-200,300,"bu","10:15:24",15100
2500,-200,100,"bu","09:49:53",14800
2500,-200,300,"bu","09:49:09",14700
2500,-200,300,"bu","09:48:00",14400
2500,-200,1000,"bu","09:43:53",14100
2500,-200,100,"bu","09:39:05",13100
2500,-200,500,"bu","09:37:02",13000
2500,-200,300,"bu","09:34:14",12500
2500,-200,2000,"bu","09:18:33",12200
2500,-200,10000,"bu","09:14:59",10200
2500,-200,200,"bu","09:11:41",200
