"price","change","match_qtty","side","time","total_vol"
19300,400,3000,"unknown","14:45:03",18100
19200,300,300,"unknown","14:30:18",15100
19200,300,1000,"unknown","14:23:21",14800
19200,300,1000,"bu","14:13:11",13800
19200,300,1000,"unknown","14:09:08",12800
19200,300,100,"bu","14:07:05",11800
19100,200,1000,"bu","14:03:16",11700
19100,200,2500,"bu","13:23:56",10700
19000,100,100,"unknown","13:21:29",8200
19000,100,400,"bu","13:21:18",8100
19000,100,100,"sd","13:14:55",7700
19000,100,600,"sd","11:29:49",7600
19000,100,300,"sd","11:12:45",7000
19000,100,1000,"bu","11:10:56",6700
19000,100,500,"bu","11:10:53",5700
19000,100,200,"bu","11:09:03",5200
19000,100,1000,"sd","11:06:43",5000
19000,100,2000,"sd","11:04:17",4000
19000,100,1800,"sd","10:56:52",2000
19000,100,200,"sd","10:56:16",200
