"price","change","match_qtty","side","time","total_vol"
11150,-100,10100,"unknown","14:45:00",377700
11200,-50,100,"bu","14:29:25",367600
11200,-50,200,"bu","14:29:25",367500
11200,-50,300,"bu","14:29:25",367300
11150,-100,200,"bu","14:24:44",367000
11150,-100,100,"bu","14:24:44",366800
11150,-100,3100,"bu","14:24:44",366700
11150,-100,1000,"bu","14:24:05",363600
11150,-100,500,"bu","14:23:27",362600
11150,-100,300,"bu","14:23:13",362100
11150,-100,300,"bu","14:22:06",361800
11150,-100,100,"sd","14:20:07",361500
11150,-100,1200,"sd","14:20:07",361400
11150,-100,700,"sd","14:20:07",360200
11150,-100,100,"bu","14:18:14",359500
11150,-100,200,"bu","14:18:14",359400
11150,-100,100,"bu","14:16:53",359200
11150,-100,600,"bu","14:15:14",359100
11150,-100,100,"sd","14:15:11",358500
11150,-100,500,"bu","14:14:09",358400
11150,-100,500,"bu","14:14:09",357900
11150,-100,500,"sd","14:08:53",357400
11100,-150,1800,"sd","14:08:10",356900
11100,-150,100,"sd","14:07:43",355100
11100,-150,4100,"sd","14:07:25",355000
11100,-150,100,"sd","14:07:25",350900
11100,-150,500,"sd","14:07:25",350800
11100,-150,100,"sd","14:07:24",350300
11100,-150,200,"sd","14:07:24",350200
11100,-150,500,"sd","14:07:24",350000
11150,-100,2000,"sd","14:07:10",349500
11150,-100,600,"sd","14:07:10",347500
11150,-100,1000,"sd","14:05:50",346900
11150,-100,1600,"sd","14:04:51",345900
11150,-100,100,"sd","14:04:51",344300
11150,-100,1000,"sd","14:04:51",344200
11150,-100,100,"sd","14:04:51",343200
11150,-100,200,"sd","14:04:51",343100
11150,-100,500,"sd","14:00:50",342900
11150,-100,1000,"sd","14:00:50",342400
11150,-100,500,"sd","13:59:58",341400
11150,-100,500,"sd","13:59:58",340900
11150,-100,100,"bu","13:55:57",340400
11150,-100,1800,"bu","13:55:41",340300
11150,-100,200,"bu","13:55:41",338500
11150,-100,500,"bu","13:55:29",338300
11150,-100,1500,"bu","13:55:29",337800
11150,-100,200,"bu","13:55:22",336300
11150,-100,1000,"bu","13:55:13",336100
11150,-100,2000,"bu","13:54:25",335100
11150,-100,500,"sd","13:53:54",333100
11150,-100,100,"sd","13:53:54",332600
11150,-100,500,"sd","13:53:54",332500
11150,-100,100,"sd","13:53:54",332000
11150,-100,2000,"sd","13:53:54",331900
11150,-100,1000,"sd","13:53:54",329900
11150,-100,1100,"sd","13:53:54",328900
11150,-100,5000,"sd","13:53:27",327800
11150,-100,200,"sd","13:52:31",322800
11150,-100,11700,"sd","13:52:23",322600
11150,-100,2000,"sd","13:52:23",310900
11150,-100,500,"sd","13:52:23",308900
11150,-100,1000,"sd","13:52:23",308400
11150,-100,1000,"sd","13:52:23",307400
11150,-100,200,"sd","13:52:23",306400
11150,-100,1000,"sd","13:52:23",306200
11150,-100,1300,"sd","13:52:23",305200
11150,-100,8700,"sd","13:51:52",303900
11150,-100,100,"sd","13:51:52",295200
11150,-100,100,"sd","13:51:52",295100
11150,-100,1100,"sd","13:51:52",295000
11150,-100,300,"sd","13:48:44",293900
11200,-50,100,"bu","13:47:57",293600
11200,-50,12000,"bu","13:45:32",293500
11200,-50,500,"bu","13:44:33",281500
11200,-50,100,"bu","13:43:59",281000
11150,-100,600,"sd","13:41:18",280900
11150,-100,100,"sd","13:41:18",280300
11150,-100,1000,"sd","13:41:18",280200
11150,-100,500,"sd","13:41:18",279200
11150,-100,1000,"sd","13:41:18",278700
11150,-100,1800,"sd","13:41:18",277700
11150,-100,7100,"sd","13:41:10",275900
11200,-50,1000,"sd","13:41:10",268800
11200,-50,300,"sd","13:41:10",267800
11200,-50,1600,"sd","13:41:10",267500
11200,-50,1200,"sd","13:37:41",265900
11200,-50,800,"sd","13:36:45",264700
11200,-50,3300,"sd","13:34:27",263900
11200,-50,5100,"sd","13:33:43",260600
11200,-50,300,"bu","13:33:14",255500
11200,-50,1600,"bu","13:33:14",255200
11200,-50,4100,"bu","13:33:14",253600
11200,-50,300,"sd","13:30:51",249500
11200,-50,200,"sd","13:29:47",249200
11200,-50,1000,"sd","13:29:47",249000
11200,-50,1000,"sd","13:29:47",248000
11200,-50,1000,"sd","13:29:47",247000
11200,-50,7800,"sd","13:29:47",246000
