"price","change","match_qtty","side","time","total_vol"
76600,200,1000,"sd","14:45:18",22200
76600,200,2500,"sd","14:13:54",21200
77000,600,100,"bu","14:11:40",18700
76800,400,100,"unknown","13:00:18",18600
76800,400,100,"sd","11:17:05",18500
76900,500,200,"sd","10:56:34",18400
77000,600,100,"unknown","10:55:37",18200
77000,600,3400,"sd","10:52:29",18100
77000,600,500,"bu","10:47:36",14700
77000,600,1000,"bu","10:44:09",14200
77000,600,500,"unknown","10:42:27",13200
77000,600,9500,"sd","10:38:28",12700
76600,200,300,"sd","10:36:05",3200
76600,200,300,"sd","10:29:07",2900
76600,200,200,"bu","10:27:27",2600
76500,100,300,"sd","10:06:37",2400
76300,-100,300,"sd","10:02:47",2100
76300,-100,700,"unknown","09:41:07",1800
76300,-100,100,"sd","09:30:26",1100
77000,600,100,"bu","09:21:19",1000
76200,-200,200,"sd","09:11:41",900
77100,700,200,"bu","09:02:15",700
75000,-1400,500,"sd","09:01:40",500
