"price","change","match_qtty","side","time","total_vol"
32800,800,400,"bu","14:49:38",60600
32700,700,1000,"sd","14:46:34",60200
32800,800,100,"bu","14:46:00",59200
32800,800,500,"bu","14:42:03",59100
32800,800,1000,"bu","14:37:05",58600
32800,800,100,"bu","14:32:30",57600
32800,800,1500,"bu","14:31:51",57500
32800,800,500,"bu","14:29:59",56000
32800,800,500,"bu","14:29:13",55500
32700,700,100,"sd","14:06:35",55000
32800,800,200,"bu","14:05:06",54900
32700,700,500,"sd","13:55:30",54700
32800,800,1900,"bu","13:52:47",54200
32800,800,2000,"bu","13:52:13",52300
32800,800,1000,"bu","13:50:04",50300
32800,800,200,"bu","13:49:43",49300
32800,800,200,"bu","13:39:49",49100
32800,800,600,"unknown","13:00:23",48900
32800,800,2400,"sd","13:00:06",48300
32800,800,400,"sd","13:00:04",45900
32900,900,300,"bu","13:00:02",45500
32800,800,2400,"sd","13:00:01",45200
32900,900,500,"bu","11:29:52",42800
32800,800,100,"sd","11:25:08",42300
32900,900,1800,"sd","11:22:44",42200
32900,900,300,"sd","11:19:17",40400
32900,900,300,"sd","11:16:53",40100
32900,900,1000,"sd","11:10:02",39800
32900,900,100,"sd","11:04:11",38800
33000,1000,1500,"unknown","10:56:32",38700
33000,1000,500,"bu","10:49:38",37200
33000,1000,1000,"bu","10:48:35",36700
33000,1000,1000,"bu","10:44:29",35700
33000,1000,1000,"bu","10:38:55",34700
33000,1000,800,"bu","10:33:39",33700
33000,1000,700,"bu","10:32:51",32900
32900,900,800,"bu","10:30:59",32200
32800,800,100,"bu","10:28:43",31400
32800,800,200,"bu","10:21:54",31300
32700,700,300,"sd","10:17:28",31100
32700,700,300,"sd","10:08:35",30800
32900,900,200,"bu","10:03:57",30500
32600,600,100,"unknown","09:55:04",30300
32600,600,3300,"unknown","09:53:57",30200
32800,800,1000,"sd","09:53:00",26900
32800,800,100,"sd","09:40:24",25900
33000,1000,100,"sd","09:35:01",25800
33000,1000,1100,"sd","09:33:59",25700
33100,1100,800,"bu","09:32:51",24600
33100,1100,100,"bu","09:31:47",23800
33000,1000,100,"sd","09:31:41",23700
33000,1000,1700,"sd","09:31:13",23600
33000,1000,300,"bu","09:21:26",21900
33000,1000,300,"bu","09:17:56",21600
33000,1000,100,"bu","09:17:35",21300
33000,1000,3000,"bu","09:13:34",21200
33000,1000,500,"bu","09:12:34",18200
33000,1000,100,"bu","09:12:08",17700
33000,1000,100,"bu","09:11:55",17600
33000,1000,300,"bu","09:10:46",17500
33000,1000,3000,"bu","09:10:31",17200
33000,1000,1000,"bu","09:10:18",14200
33000,1000,1000,"bu","09:06:04",13200
33000,1000,10000,"bu","09:05:07",12200
33000,1000,300,"bu","09:03:42",2200
33000,1000,100,"bu","09:03:35",1900
33000,1000,100,"bu","09:03:32",1800
33000,1000,400,"bu","09:02:45",1700
33000,1000,500,"bu","09:01:56",1300
32500,500,800,"sd","09:01:43",800
