"price","change","match_qtty","side","time","total_vol"
23000,-150,2200,"sd","14:45:00",58100
23150,0,100,"bu","14:25:03",55900
23150,0,100,"bu","14:21:50",55800
23150,0,100,"bu","14:13:59",55700
23150,0,100,"bu","14:11:25",55600
23000,-150,300,"sd","14:11:00",55500
23150,0,100,"bu","14:08:03",55200
23150,0,500,"bu","13:58:59",55100
23150,0,2000,"bu","13:58:59",54600
23150,0,700,"bu","13:36:05",52600
23150,0,1300,"bu","13:27:09",51900
23200,50,100,"bu","13:16:02",50600
23000,-150,100,"sd","13:15:12",50500
23000,-150,7100,"sd","11:26:37",50400
23050,-100,100,"sd","11:26:37",43300
23050,-100,100,"sd","11:26:37",43200
23100,-50,2000,"sd","11:26:37",43100
23100,-50,4900,"sd","11:26:37",41100
23100,-50,100,"sd","11:08:19",36200
23100,-50,400,"unknown","10:58:44",36100
23000,-150,1500,"sd","10:18:16",35700
23000,-150,1100,"sd","10:17:55",34200
23000,-150,3000,"sd","10:17:55",33100
23000,-150,2000,"sd","10:17:55",30100
23050,-100,100,"sd","10:17:55",28100
23050,-100,500,"sd","10:17:55",28000
23050,-100,200,"sd","10:17:55",27500
23100,-50,500,"sd","10:17:55",27300
23100,-50,200,"sd","10:17:55",26800
23100,-50,100,"sd","10:17:55",26600
23100,-50,1900,"sd","10:15:11",26500
23100,-50,400,"sd","10:15:11",24600
23150,0,100,"sd","10:12:04",24200
23150,0,100,"sd","10:12:04",24100
23150,0,200,"sd","10:12:04",24000
23150,0,300,"sd","10:12:04",23800
23150,0,1500,"sd","10:12:04",23500
23150,0,100,"sd","10:11:05",22000
23150,0,400,"sd","09:55:40",21900
23200,50,100,"bu","09:50:46",21500
23200,50,2000,"bu","09:39:21",21400
23200,50,300,"sd","09:38:25",19400
23200,50,700,"sd","09:35:59",19100
23200,50,2000,"sd","09:35:59",18400
23250,100,2300,"sd","09:35:59",16400
23250,100,200,"bu","09:34:49",14100
23200,50,500,"bu","09:34:49",13900
23200,50,200,"sd","09:32:11",13400
23200,50,1300,"sd","09:32:11",13200
23250,100,200,"bu","09:28:47",11900
23300,150,300,"bu","09:26:52",11700
23300,150,100,"sd","09:26:46",11400
23300,150,100,"sd","09:26:10",11300
23400,250,100,"bu","09:20:44",11200
23400,250,500,"unknown","09:20:17",11100
23500,350,2000,"bu","09:17:43",10600
23300,150,2000,"bu","09:17:43",8600
23300,150,2900,"bu","09:16:47",6600
23300,150,500,"bu","09:16:47",3700
23250,100,1000,"bu","09:16:47",3200
23250,100,200,"bu","09:16:47",2200
23200,50,1500,"bu","09:15:32",2000
23200,50,500,"bu","09:14:59",500
