"price","change","match_qtty","side","time","total_vol"
15850,500,292200,"unknown","14:45:03",15207100
15850,500,100,"sd","14:29:59",14914900
15850,500,500,"sd","14:29:59",14914800
15850,500,500,"sd","14:29:59",14914300
15850,500,500,"sd","14:29:59",14913800
15850,500,500,"sd","14:29:57",14913300
15850,500,500,"sd","14:29:57",14912800
15850,500,2000,"sd","14:29:56",14912300
15850,500,1300,"sd","14:29:56",14910300
15850,500,1200,"sd","14:29:54",14909000
15850,500,1000,"sd","14:29:54",14907800
15850,500,2000,"sd","14:29:54",14906800
15850,500,500,"sd","14:29:54",14904800
15850,500,100,"sd","14:29:54",14904300
15850,500,2000,"sd","14:29:54",14904200
15850,500,200,"sd","14:29:54",14902200
15850,500,500,"sd","14:29:54",14902000
15850,500,2000,"sd","14:29:54",14901500
15850,500,1000,"sd","14:29:54",14899500
15850,500,400,"sd","14:29:54",14898500
15850,500,300,"sd","14:29:54",14898100
15850,500,300,"sd","14:29:48",14897800
15850,500,500,"sd","14:29:47",14897500
15850,500,200,"sd","14:29:47",14897000
15850,500,300,"sd","14:29:47",14896800
15850,500,2000,"sd","14:29:47",14896500
15850,500,700,"sd","14:29:45",14894500
15850,500,4000,"sd","14:29:44",14893800
15850,500,1000,"sd","14:29:42",14889800
15850,500,2800,"sd","14:29:40",14888800
15850,500,100,"sd","14:29:38",14886000
15850,500,2800,"sd","14:29:36",14885900
15850,500,5000,"sd","14:29:34",14883100
15850,500,2800,"sd","14:29:33",14878100
15850,500,100,"sd","14:29:30",14875300
15850,500,1600,"sd","14:29:29",14875200
15900,550,1300,"bu","14:29:28",14873600
15900,550,200,"bu","14:29:28",14872300
15900,550,1300,"bu","14:29:28",14872100
15900,550,1500,"bu","14:29:27",14870800
15850,500,200,"sd","14:29:23",14869300
15850,500,300,"sd","14:29:23",14869100
15850,500,2800,"sd","14:29:23",14868800
15850,500,2800,"sd","14:29:21",14866000
15850,500,1000,"sd","14:29:16",14863200
15850,500,1000,"sd","14:29:16",14862200
15900,550,100,"bu","14:29:09",14861200
15850,500,500,"sd","14:29:00",14861100
15900,550,900,"bu","14:28:59",14860600
15900,550,1900,"sd","14:28:51",14859700
15900,550,2100,"sd","14:28:50",14857800
15900,550,4100,"sd","14:28:50",14855700
15900,550,300,"sd","14:28:50",14851600
15900,550,500,"sd","14:28:50",14851300
15900,550,2000,"sd","14:28:48",14850800
15900,550,2000,"sd","14:28:42",14848800
15900,550,100,"sd","14:28:42",14846800
15900,550,600,"sd","14:28:42",14846700
15900,550,900,"sd","14:28:42",14846100
15900,550,1500,"sd","14:28:42",14845200
15900,550,900,"sd","14:28:40",14843700
15900,550,1000,"sd","14:28:40",14842800
15900,550,5000,"sd","14:28:40",14841800
