"price","change","match_qtty","side","time","total_vol"
48700,1500,20700,"sd","14:45:01",540600
48800,1600,2900,"bu","14:29:48",519900
48750,1550,100,"bu","14:29:48",517000
48800,1600,200,"bu","14:27:38",516900
48800,1600,500,"bu","14:27:38",516700
48800,1600,100,"bu","14:27:38",516200
48800,1600,200,"bu","14:27:38",516100
48750,1550,100,"bu","14:26:44",515900
48750,1550,100,"sd","14:24:07",515800
48800,1600,1500,"bu","14:23:39",515700
48800,1600,500,"bu","14:23:39",514200
48750,1550,1000,"sd","14:22:13",513700
48800,1600,200,"bu","14:22:08",512700
48750,1550,100,"sd","14:22:06",512500
48750,1550,1000,"bu","14:21:11",512400
48750,1550,100,"bu","14:21:11",511400
48750,1550,200,"bu","14:21:11",511300
48750,1550,500,"bu","14:21:11",511100
48750,1550,500,"bu","14:21:05",510600
48750,1550,900,"bu","14:21:05",510100
48750,1550,500,"bu","14:18:37",509200
48750,1550,1000,"bu","14:17:35",508700
48750,1550,100,"sd","14:14:16",507700
48750,1550,500,"sd","14:14:16",507600
48750,1550,300,"sd","14:13:49",507100
48750,1550,700,"sd","14:13:49",506800
48750,1550,300,"sd","14:11:44",506100
48750,1550,500,"sd","14:10:13",505800
48750,1550,600,"sd","14:08:48",505300
48900,1700,2000,"sd","14:07:06",504700
48900,1700,100,"sd","14:07:06",502700
48900,1700,100,"sd","14:06:22",502600
48950,1750,2300,"bu","14:04:12",502500
48950,1750,600,"bu","14:03:00",500200
48950,1750,200,"bu","14:03:00",499600
48950,1750,200,"sd","14:02:50",499400
49000,1800,1700,"bu","14:01:38",499200
49000,1800,100,"bu","14:01:38",497500
49000,1800,500,"bu","14:01:38",497400
48900,1700,100,"sd","14:01:15",496900
48950,1750,100,"bu","14:01:13",496800
48950,1750,100,"bu","14:01:13",496700
48900,1700,100,"bu","13:58:17",496600
48900,1700,300,"bu","13:58:17",496500
48900,1700,500,"bu","13:57:41",496200
48900,1700,200,"bu","13:47:29",495700
48900,1700,100,"bu","13:47:29",495500
48850,1650,100,"bu","13:47:29",495400
48800,1600,100,"bu","13:47:29",495300
48750,1550,300,"bu","13:47:29",495200
48600,1400,900,"sd","13:45:39",494900
48600,1400,100,"sd","13:45:39",494000
48600,1400,900,"sd","13:45:26",493900
48650,1450,2000,"sd","13:44:49",493000
48650,1450,800,"bu","13:43:31",491000
48650,1450,100,"bu","13:43:16",490200
48650,1450,100,"bu","13:43:14",490100
48650,1450,1000,"bu","13:42:51",490000
48650,1450,1000,"bu","13:42:27",489000
48650,1450,100,"bu","13:42:00",488000
48650,1450,600,"sd","13:40:49",487900
48650,1450,1000,"sd","13:40:49",487300
48650,1450,100,"sd","13:40:49",486300
48750,1550,200,"sd","13:40:03",486200
48750,1550,4800,"sd","13:39:59",486000
48750,1550,200,"sd","13:39:59",481200
48800,1600,5000,"sd","13:39:10",481000
48800,1600,7100,"sd","13:39:10",476000
48850,1650,1000,"sd","13:39:10",468900
48850,1650,1000,"sd","13:39:10",467900
48850,1650,500,"sd","13:39:10",466900
48900,1700,600,"sd","13:39:10",466400
48900,1700,200,"sd","13:38:54",465800
48900,1700,200,"bu","13:37:16",465600
48900,1700,100,"sd","13:33:44",465400
48900,1700,900,"sd","13:33:28",465300
48900,1700,100,"sd","13:33:28",464400
48900,1700,100,"sd","13:33:00",464300
48900,1700,200,"sd","13:31:51",464200
48900,1700,800,"sd","13:31:44",464000
48950,1750,200,"sd","13:31:44",463200
48950,1750,700,"sd","13:31:29",463000
48950,1750,100,"sd","13:31:10",462300
49000,1800,100,"sd","13:30:51",462200
49150,1950,1000,"sd","13:28:56",462100
49200,2000,400,"sd","13:28:46",461100
49200,2000,300,"sd","13:28:41",460700
49200,2000,100,"sd","13:27:43",460400
49200,2000,100,"sd","13:27:07",460300
49200,2000,100,"sd","13:26:47",460200
49200,2000,400,"sd","13:26:31",460100
49200,2000,1500,"bu","13:26:03",459700
49200,2000,3600,"bu","13:26:03",458200
49200,2000,1900,"sd","13:25:20",454600
49200,2000,100,"sd","13:23:49",452700
49200,2000,1000,"bu","13:23:48",452600
49200,2000,500,"bu","13:23:48",451600
49200,2000,200,"bu","13:23:48",451100
49200,2000,100,"bu","13:23:48",450900
49200,2000,1500,"bu","13:23:48",450800
49200,2000,1000,"bu","13:23:48",449300
49200,2000,100,"bu","13:23:48",448300
49200,2000,3000,"bu","13:23:48",448200
49200,2000,500,"bu","13:23:48",445200
49200,2000,100,"bu","13:23:48",444700
49150,1950,100,"sd","13:23:34",444600
49150,1950,1400,"bu","13:23:10",444500
49150,1950,500,"bu","13:22:54",443100
49150,1950,500,"bu","13:22:54",442600
49150,1950,1000,"bu","13:22:39",442100
49100,1900,100,"sd","13:22:27",441100
49100,1900,200,"bu","13:22:10",441000
49100,1900,1500,"bu","13:22:10",440800
49100,1900,3000,"bu","13:22:10",439300
49050,1850,2200,"bu","13:22:10",436300
49050,1850,100,"bu","13:22:06",434100
49050,1850,100,"bu","13:22:06",434000
49050,1850,2100,"bu","13:22:03",433900
49050,1850,500,"bu","13:21:55",431800
49050,1850,2000,"bu","13:21:55",431300
49000,1800,100,"bu","13:21:50",429300
49000,1800,4900,"bu","13:21:46",429200
49000,1800,700,"bu","13:21:46",424300
49000,1800,500,"bu","13:21:46",423600
49000,1800,1500,"bu","13:21:46",423100
49000,1800,200,"bu","13:21:46",421600
49000,1800,500,"bu","13:21:46",421400
49000,1800,1700,"bu","13:21:46",420900
49000,1800,3300,"bu","13:21:42",419200
49000,1800,200,"bu","13:21:42",415900
49000,1800,5000,"bu","13:21:42",415700
49000,1800,1200,"bu","13:21:42",410700
49000,1800,100,"bu","13:21:42",409500
49000,1800,100,"bu","13:21:42",409400
49000,1800,100,"bu","13:21:42",409300
48950,1750,100,"bu","13:21:35",409200
48950,1750,900,"bu","13:21:35",409100
48950,1750,900,"bu","13:21:27",408200
48900,1700,1400,"sd","13:21:20",407300
48950,1750,200,"bu","13:21:10",405900
48950,1750,300,"bu","13:21:10",405700
48950,1750,200,"bu","13:20:45",405400
48950,1750,2000,"bu","13:20:45",405200
48950,1750,2000,"bu","13:20:45",403200
48950,1750,500,"bu","13:20:45",401200
48950,1750,900,"bu","13:20:45",400700
48900,1700,5000,"bu","13:20:26",399800
48900,1700,2000,"bu","13:20:26",394800
48900,1700,200,"bu","13:20:26",392600
48900,1700,200,"bu","13:20:26",392800
48850,1650,500,"sd","13:19:36",392400
48850,1650,200,"sd","13:19:25",391900
48850,1650,100,"sd","13:19:25",391700
48850,1650,5000,"bu","13:17:57",391600
48850,1650,1000,"bu","13:17:57",386600
48850,1650,1900,"bu","13:17:57",385600
48850,1650,100,"bu","13:17:40",383700
48850,1650,500,"bu","13:17:40",383600
48800,1600,500,"sd","13:16:41",383100
48800,1600,1500,"bu","13:16:16",382600
48800,1600,11100,"bu","13:16:16",381100
48800,1600,2000,"bu","13:16:16",370000
48800,1600,7800,"bu","13:16:16",368000
48750,1550,1300,"bu","13:12:52",360200
48750,1550,2100,"bu","13:12:48",358900
48750,1550,200,"bu","13:12:28",356800
48750,1550,1400,"sd","13:12:21",356600
48800,1600,500,"bu","13:12:21",355200
48750,1550,2000,"bu","13:12:06",354700
48750,1550,1600,"bu","13:12:06",352700
48750,1550,2200,"bu","13:11:48",351100
48700,1500,5000,"bu","13:11:48",348900
48700,1500,100,"bu","13:11:48",343900
48700,1500,2700,"bu","13:11:48",343800
48700,1500,2100,"bu","13:11:15",341100
48700,1500,200,"bu","13:10:07",339000
48700,1500,600,"bu","13:10:07",338800
48700,1500,200,"bu","13:08:06",338200
48700,1500,100,"bu","13:08:05",338000
48700,1500,4100,"sd","13:07:57",337900
48700,1500,600,"bu","13:07:35",333800
48700,1500,300,"bu","13:07:35",333200
48700,1500,200,"sd","13:06:59",332900
48700,1500,100,"bu","13:05:36",332700
48700,1500,1200,"bu","13:05:36",332600
48700,1500,100,"bu","13:05:36",331400
48700,1500,200,"bu","13:05:36",331300
48700,1500,200,"bu","13:05:36",331100
48700,1500,200,"bu","13:04:06",330900
48700,1500,500,"sd","13:03:58",330700
48700,1500,500,"sd","13:02:07",330200
48650,1450,1000,"sd","13:00:46",329700
48750,1550,1000,"bu","13:00:41",328700
48700,1500,200,"bu","13:00:37",327700
48750,1550,600,"bu","13:00:07",327500
48700,1500,400,"bu","13:00:07",326900
48700,1500,100,"bu","13:00:04",326500
48700,1500,100,"bu","13:00:04",326400
48700,1500,400,"sd","13:00:01",326300
48700,1500,600,"bu","13:00:01",325900
48700,1500,200,"bu","13:00:01",325300
48700,1500,800,"bu","13:00:01",325100
48700,1500,1000,"bu","13:00:00",324300
48700,1500,200,"sd","12:59:59",323300
48700,1500,1000,"sd","11:28:16",323100
48750,1550,4600,"bu","11:18:48",322100
48750,1550,400,"bu","11:18:48",317500
48750,1550,100,"bu","11:17:11",317100
48750,1550,200,"bu","11:07:53",317000
48700,1500,400,"sd","11:03:58",316800
48700,1500,1000,"sd","11:02:08",316400
48750,1550,1800,"sd","10:57:30",315400
48750,1550,200,"sd","10:56:46",313600
48700,1500,100,"sd","10:55:01",313400
48700,1500,1900,"sd","10:54:58",313300
48700,1500,100,"sd","10:54:58",311400
48750,1550,700,"sd","10:53:30",311300
48800,1600,1700,"bu","10:52:38",310600
48800,1600,100,"bu","10:52:38",308900
48800,1600,200,"bu","10:52:38",308800
48750,1550,500,"sd","10:52:11",308600
48750,1550,500,"sd","10:51:55",308100
48750,1550,300,"bu","10:48:14",307600
48750,1550,300,"bu","10:47:38",307300
48750,1550,700,"bu","10:47:38",307000
48750,1550,700,"bu","10:44:40",306300
48750,1550,600,"bu","10:43:54",305600
48750,1550,3000,"sd","10:43:11",305000
48750,1550,100,"sd","10:42:48",302000
48750,1550,300,"sd","10:41:36",301900
48750,1550,500,"sd","10:41:31",301600
48750,1550,100,"sd","10:41:23",301100
48800,1600,100,"bu","10:40:43",301000
48800,1600,100,"bu","10:40:39",300900
48800,1600,400,"bu","10:37:57",300800
48800,1600,1000,"bu","10:35:36",300400
48800,1600,100,"bu","10:35:17",299400
48800,1600,100,"bu","10:35:17",299300
48800,1600,700,"bu","10:35:17",299200
48800,1600,300,"bu","10:35:08",298500
48800,1600,1000,"bu","10:34:56",298200
48750,1550,500,"sd","10:34:55",297200
48800,1600,500,"bu","10:34:20",296700
48750,1550,500,"sd","10:30:47",296200
48750,1550,500,"sd","10:30:47",295700
48750,1550,1500,"sd","10:29:29",295200
48750,1550,500,"sd","10:29:29",293700
48800,1600,100,"sd","10:27:38",293200
48800,1600,500,"sd","10:26:55",293100
48800,1600,500,"sd","10:26:43",292600
48800,1600,100,"sd","10:26:13",292100
48900,1700,500,"sd","10:24:27",292000
48900,1700,500,"bu","10:24:12",291500
48800,1600,100,"sd","10:22:58",291000
48850,1650,100,"sd","10:22:58",290900
48800,1600,200,"sd","10:21:55",290800
48800,1600,500,"sd","10:21:20",290600
48800,1600,200,"sd","10:21:06",290100
48800,1600,100,"sd","10:20:52",289900
48800,1600,500,"sd","10:20:20",289800
48800,1600,200,"sd","10:20:07",289300
48950,1750,700,"sd","10:18:12",289100
48950,1750,5000,"sd","10:18:12",288400
48950,1750,100,"sd","10:15:11",283400
48950,1750,2400,"sd","10:15:06",283300
48950,1750,500,"sd","10:14:07",280900
48950,1750,500,"sd","10:14:07",280400
48950,1750,100,"sd","10:12:58",279900
48950,1750,100,"sd","10:12:43",279800
48950,1750,100,"sd","10:12:32",279700
49000,1800,100,"sd","10:11:36",279600
49000,1800,200,"sd","10:11:36",279500
49000,1800,200,"sd","10:11:36",279300
49000,1800,800,"sd","10:10:53",279100
49000,1800,200,"sd","10:10:53",278300
49000,1800,100,"sd","10:09:54",278100
49000,1800,200,"sd","10:09:34",278000
49000,1800,200,"sd","10:09:34",277800
49000,1800,800,"sd","10:07:13",277600
49000,1800,5000,"sd","10:07:13",276800
49200,2000,800,"bu","10:07:11",271800
49200,2000,3700,"bu","10:07:11",271000
49100,1900,200,"bu","10:07:11",267300
49050,1850,200,"bu","10:07:11",267100
49050,1850,100,"bu","10:07:11",266900
49000,1800,1000,"sd","10:07:05",266800
49000,1800,300,"sd","10:06:59",265800
49000,1800,200,"bu","10:06:56",265500
49000,1800,4000,"bu","10:06:56",265300
49000,1800,500,"bu","10:06:56",261300
49000,1800,4000,"bu","10:06:56",260800
49000,1800,100,"bu","10:06:56",256800
49000,1800,500,"bu","10:06:56",256700
49000,1800,100,"bu","10:06:56",256200
49000,1800,100,"bu","10:06:56",256100
49000,1800,400,"bu","10:06:56",256000
49000,1800,400,"bu","10:06:56",255600
49000,1800,500,"bu","10:06:56",255200
49000,1800,500,"bu","10:06:56",254700
49000,1800,100,"bu","10:06:56",254200
49000,1800,1000,"bu","10:06:56",254100
49000,1800,10000,"bu","10:06:56",253100
49000,1800,100,"bu","10:06:56",243100
49000,1800,500,"bu","10:06:56",243000
49000,1800,10000,"bu","10:06:56",242500
49000,1800,10700,"bu","10:06:56",232500
48950,1750,100,"sd","10:06:29",221800
48950,1750,500,"bu","10:06:29",221700
48950,1750,300,"bu","10:06:29",221200
48950,1750,1900,"bu","10:06:26",220900
48900,1700,100,"bu","10:06:26",219000
48950,1750,2800,"bu","10:04:30",218900
48950,1750,3400,"bu","10:04:30",216100
48900,1700,100,"bu","10:04:22",212700
48900,1700,500,"bu","10:04:22",212600
48900,1700,2000,"bu","10:04:22",212100
48850,1650,200,"bu","10:04:22",209100
48850,1650,1000,"bu","10:04:22",210100
48800,1600,100,"sd","10:03:50",208900
48800,1600,100,"bu","10:03:29",208800
48800,1600,2300,"bu","10:03:29",208700
48800,1600,100,"bu","10:03:29",206400
48800,1600,100,"bu","10:03:29",206300
48800,1600,7000,"bu","10:03:29",206200
48800,1600,1300,"bu","10:03:29",199200
48750,1550,400,"sd","10:03:22",197900
48750,1550,500,"bu","10:03:16",197500
48750,1550,100,"bu","10:03:16",197000
48750,1550,500,"bu","10:03:16",196900
48700,1500,300,"bu","10:02:53",196400
48700,1500,300,"bu","10:01:52",196100
48600,1400,500,"sd","10:00:01",195800
48600,1400,100,"sd","09:58:01",195300
48700,1500,300,"bu","09:57:55",195200
48700,1500,700,"bu","09:57:26",194900
48700,1500,100,"sd","09:57:04",194200
48700,1500,300,"bu","09:56:23",194100
48700,1500,1000,"bu","09:56:23",193800
48700,1500,100,"bu","09:56:23",192800
48700,1500,2900,"bu","09:56:08",192700
48700,1500,100,"bu","09:56:08",189800
48600,1400,400,"bu","09:55:44",189700
48600,1400,600,"bu","09:55:01",189300
48600,1400,100,"bu","09:55:01",188700
48600,1400,100,"bu","09:55:01",188600
48600,1400,200,"bu","09:55:01",188500
48550,1350,1000,"sd","09:54:38",188300
48550,1350,2500,"bu","09:54:00",187300
48500,1300,400,"sd","09:53:44",184800
48500,1300,100,"bu","09:53:06",184400
48500,1300,100,"bu","09:53:06",184300
48500,1300,200,"bu","09:53:06",184200
48500,1300,100,"bu","09:53:06",184000
48500,1300,2400,"bu","09:53:06",183900
48500,1300,600,"bu","09:52:58",181500
48500,1300,1000,"bu","09:52:25",180900
48500,1300,500,"bu","09:52:25",179900
48500,1300,300,"bu","09:52:25",179400
48500,1300,1000,"bu","09:52:25",179100
48500,1300,1000,"bu","09:52:25",178100
48500,1300,1000,"bu","09:52:25",177100
48500,1300,100,"bu","09:52:25",176100
48500,1300,100,"bu","09:52:25",176000
48450,1250,3000,"bu","09:51:29",175900
48400,1200,2900,"sd","09:51:17",172900
48400,1200,500,"sd","09:50:54",170000
48400,1200,100,"sd","09:50:52",169500
48400,1200,100,"bu","09:49:30",169400
48400,1200,1200,"bu","09:49:30",169300
48400,1200,200,"bu","09:49:28",168100
48400,1200,600,"sd","09:49:02",167900
48400,1200,500,"sd","09:48:43",167300
48400,1200,2000,"bu","09:48:37",166800
48400,1200,800,"bu","09:48:37",164800
48400,1200,500,"bu","09:48:37",164000
48200,1000,300,"bu","09:48:37",163500
48200,1000,100,"bu","09:48:37",163200
48200,1000,200,"bu","09:48:37",163100
48100,900,200,"sd","09:48:01",162900
48100,900,2300,"bu","09:46:41",162700
48100,900,200,"sd","09:46:07",160400
48100,900,600,"sd","09:44:59",160200
48100,900,1000,"bu","09:44:01",159600
48100,900,1000,"bu","09:44:01",158600
48100,900,100,"bu","09:44:01",157600
48050,850,100,"bu","09:44:01",157500
48050,850,400,"sd","09:43:41",157400
48050,850,500,"sd","09:43:22",157000
48100,900,500,"bu","09:41:27",156500
48100,900,400,"sd","09:41:06",156000
48100,900,1000,"sd","09:40:48",155600
48100,900,100,"bu","09:40:05",154600
48100,900,900,"sd","09:39:39",154500
48200,1000,1000,"bu","09:39:30",153600
