"price","change","match_qtty","side","time","total_vol"
35900,500,32200,"bu","14:45:00",1431700
35550,150,200,"sd","14:29:35",1399500
35550,150,500,"sd","14:29:35",1399300
35550,150,500,"sd","14:29:35",1398800
35600,200,100,"sd","14:29:34",1398300
35600,200,500,"sd","14:29:34",1398200
35600,200,500,"sd","14:29:34",1397700
35600,200,300,"sd","14:29:34",1397200
35600,200,500,"sd","14:29:34",1396900
35600,200,300,"sd","14:29:34",1396400
35600,200,100,"sd","14:29:34",1396100
35650,250,5000,"sd","14:29:34",1396000
35650,250,200,"sd","14:29:34",1391000
35650,250,1000,"sd","14:29:34",1390800
35650,250,300,"sd","14:29:34",1389800
35700,300,400,"sd","14:29:29",1389500
35700,300,400,"sd","14:29:25",1389100
35700,300,500,"sd","14:29:25",1388700
35700,300,400,"sd","14:29:08",1388200
35700,300,1000,"bu","14:28:38",1387800
35700,300,100,"bu","14:28:38",1386800
35700,300,500,"sd","14:28:19",1386700
35700,300,100,"sd","14:28:19",1386200
35700,300,1000,"sd","14:28:19",1386100
35700,300,100,"sd","14:28:19",1385100
35700,300,1300,"sd","14:27:01",1385000
35700,300,2600,"bu","14:26:16",1383700
35700,300,200,"bu","14:24:59",1381100
35700,300,1000,"bu","14:24:30",1380900
35600,200,400,"sd","14:23:26",1379900
35600,200,100,"sd","14:23:26",1379500
35600,200,500,"sd","14:23:26",1379400
35650,250,900,"sd","14:23:01",1378900
35650,250,100,"sd","14:23:01",1378000
35700,300,100,"bu","14:22:42",1377900
35750,350,100,"sd","14:22:39",1377800
35700,300,1600,"sd","14:21:39",1377700
35700,300,200,"sd","14:21:39",1376100
35700,300,1000,"sd","14:21:39",1375900
35750,350,1300,"sd","14:21:39",1374900
35750,350,200,"sd","14:21:39",1373600
35750,350,100,"sd","14:21:39",1373400
35750,350,500,"sd","14:21:39",1373300
35800,400,1500,"sd","14:21:39",1372800
35850,450,100,"bu","14:21:25",1371300
35800,400,400,"bu","14:21:11",1371200
35800,400,1800,"bu","14:21:11",1370800
35750,350,500,"sd","14:21:03",1369000
35800,400,2500,"bu","14:20:54",1368500
35800,400,1700,"bu","14:19:08",1366000
35750,350,3000,"bu","14:19:08",1364300
35750,350,300,"bu","14:19:08",1361300
35700,300,100,"bu","14:18:49",1361000
35700,300,400,"bu","14:18:49",1360900
35700,300,300,"bu","14:18:49",1360500
35700,300,300,"bu","14:18:44",1360200
35700,300,100,"bu","14:18:25",1359900
35700,300,100,"bu","14:18:06",1359800
35650,250,100,"bu","14:17:20",1359700
35600,200,300,"bu","14:16:54",1359600
35600,200,9700,"bu","14:16:40",1359300
35600,200,1000,"bu","14:16:40",1349600
35600,200,1300,"bu","14:16:40",1348600
35550,150,2500,"sd","14:16:26",1347300
35550,150,500,"sd","14:16:26",1344800
35550,150,500,"sd","14:15:02",1344300
35600,200,700,"bu","14:14:47",1343800
35600,200,200,"bu","14:14:47",1343100
35600,200,4100,"bu","14:14:47",1342900
35600,200,200,"bu","14:14:27",1338800
35600,200,700,"bu","14:14:19",1338600
35600,200,100,"bu","14:14:19",1337900
35600,200,1100,"bu","14:14:19",1337800
35600,200,100,"bu","14:13:33",1336700
35600,200,100,"bu","14:13:11",1336600
35600,200,100,"bu","14:12:37",1336500
35600,200,300,"bu","14:12:36",1336400
35600,200,700,"bu","14:12:30",1336100
35600,200,100,"sd","14:12:29",1335400
35600,200,500,"sd","14:12:29",1335300
35600,200,1000,"sd","14:12:29",1334800
35600,200,2900,"sd","14:12:29",1333800
35600,200,3000,"sd","14:12:29",1330900
