"price","change","match_qtty","side","time","total_vol"
9200,200,1000,"sd","14:47:12",43500
9200,200,1900,"bu","14:40:09",42500
9100,100,100,"sd","14:20:10",40600
9100,100,5000,"sd","14:13:27",40500
9100,100,2700,"sd","14:10:03",35500
9200,200,100,"sd","14:03:01",32800
9200,200,1200,"bu","13:58:16",32700
9200,200,300,"bu","13:57:39",31500
9200,200,200,"bu","13:42:53",31200
9200,200,1000,"bu","13:34:59",31000
9100,100,3000,"sd","13:22:37",30000
9100,100,800,"sd","13:14:26",27000
9100,100,600,"sd","13:11:16",26200
9100,100,1500,"sd","13:07:56",25600
9200,200,200,"bu","13:01:57",24100
9200,200,100,"sd","13:00:06",23900
9200,200,300,"bu","11:02:05",23800
9200,200,300,"bu","11:01:35",23500
9200,200,2900,"bu","11:01:28",23200
9200,200,4000,"bu","10:50:35",20300
9100,100,900,"bu","10:44:51",16300
9100,100,1100,"sd","10:41:27",15400
9100,100,800,"sd","10:37:38",14300
9100,100,1000,"sd","10:37:31",13500
9100,100,500,"sd","10:37:11",12500
9100,100,300,"sd","10:36:14",12000
9100,100,1000,"sd","10:35:40",11700
9100,100,200,"sd","10:03:33",10700
9100,100,2800,"sd","10:02:22",10500
9100,100,5000,"sd","10:01:34",7700
9200,200,100,"bu","09:57:07",2700
9200,200,200,"bu","09:53:34",2600
9200,200,1200,"bu","09:35:13",2400
9300,300,100,"bu","09:19:16",1200
9300,300,100,"bu","09:09:50",1100
9000,0,1000,"sd","09:00:45",1000
