"price","change","match_qtty","side","time","total_vol"
26600,300,200,"sd","14:52:59",22300
26700,400,100,"bu","14:45:49",22100
26700,400,400,"unknown","14:23:40",22000
26700,400,2700,"bu","14:22:59",21600
26700,400,100,"bu","13:56:04",18900
26800,500,100,"bu","13:54:26",18800
26800,500,600,"bu","13:54:13",18700
26800,500,200,"bu","13:53:56",18100
26600,300,500,"bu","13:53:20",17900
26600,300,2000,"bu","13:53:04",17400
26600,300,1500,"bu","13:52:57",15400
26600,300,1000,"bu","13:52:47",13900
26500,200,2700,"sd","13:52:23",12900
26500,200,200,"bu","13:51:48",10200
26400,100,300,"unknown","13:48:22",10000
26400,100,100,"bu","13:47:46",9700
26200,-100,300,"sd","13:47:11",9600
26200,-100,100,"sd","13:32:30",9300
26300,0,300,"unknown","13:24:42",9200
26300,0,300,"bu","13:24:22",8900
26300,0,300,"bu","13:16:01",8600
26300,0,100,"sd","13:12:29",8300
26300,0,200,"sd","13:11:06",8200
26300,0,300,"sd","13:00:03",8000
26300,0,3900,"unknown","10:32:15",7700
26300,0,100,"sd","10:29:09",3800
26300,0,100,"bu","10:23:25",3700
26300,0,2600,"unknown","10:14:59",3600
26600,300,600,"bu","10:03:41",1000
26600,300,100,"bu","10:03:11",400
26600,300,300,"bu","09:53:45",300
