"price","change","match_qtty","side","time","total_vol"
6400,-240,722900,"unknown","14:45:01",10318100
6400,-240,2900,"sd","14:29:55",9595200
6400,-240,200,"sd","14:29:55",9592300
6400,-240,2000,"sd","14:29:55",9592100
6400,-240,100,"sd","14:29:55",9590100
6400,-240,100,"sd","14:29:55",9590000
6400,-240,1900,"sd","14:29:55",9589900
6410,-230,800,"sd","14:29:55",9588000
6410,-230,1000,"sd","14:29:55",9587200
6410,-230,1000,"sd","14:29:55",9586200
6400,-240,800,"sd","14:29:52",9585200
6400,-240,400,"sd","14:29:52",9584400
6410,-230,3800,"sd","14:29:52",9584000
6400,-240,2600,"sd","14:29:50",9580200
6410,-230,500,"bu","14:29:50",9577600
6400,-240,200,"sd","14:29:50",9577100
6410,-230,7700,"bu","14:29:50",9576900
6400,-240,5000,"sd","14:29:50",9569200
6400,-240,100,"sd","14:29:50",9564200
6400,-240,500,"sd","14:29:50",9564100
6400,-240,600,"sd","14:29:50",9563600
6400,-240,400,"sd","14:29:49",9563000
6400,-240,1400,"sd","14:29:49",9562600
6400,-240,1400,"sd","14:29:49",9561200
6400,-240,500,"sd","14:29:49",9559800
6400,-240,1000,"sd","14:29:49",9559300
6400,-240,100,"sd","14:29:49",9558300
6400,-240,200,"sd","14:29:49",9558200
6400,-240,2000,"sd","14:29:49",9558000
6400,-240,200,"sd","14:29:49",9556000
6400,-240,500,"sd","14:29:49",9555800
6400,-240,100,"sd","14:29:49",9555300
6400,-240,1000,"sd","14:29:49",9555200
6400,-240,500,"sd","14:29:49",9554200
6400,-240,2000,"sd","14:29:49",9553700
6400,-240,4800,"sd","14:29:49",9551700
6400,-240,1000,"sd","14:29:49",9546900
6400,-240,600,"sd","14:29:49",9545900
6400,-240,1000,"sd","14:29:49",9545300
6400,-240,1000,"sd","14:29:49",9544300
6400,-240,5000,"sd","14:29:49",9543300
6400,-240,200,"sd","14:29:49",9538300
6400,-240,300,"sd","14:29:49",9538100
6400,-240,200,"sd","14:29:49",9537800
6400,-240,100,"sd","14:29:49",9537600
6400,-240,20000,"sd","14:29:49",9537500
6400,-240,500,"sd","14:29:49",9517500
6400,-240,200,"sd","14:29:49",9517000
6400,-240,3000,"sd","14:29:49",9516800
6400,-240,1000,"sd","14:29:49",9513800
6400,-240,2000,"sd","14:29:49",9512800
6400,-240,1000,"sd","14:29:49",9510800
6400,-240,2100,"sd","14:29:49",9509800
6400,-240,100,"sd","14:29:49",9507700
6400,-240,500,"sd","14:29:49",9507600
6400,-240,3100,"sd","14:29:49",9507100
6400,-240,2000,"sd","14:29:49",9504000
6400,-240,100,"sd","14:29:49",9502000
6400,-240,2000,"sd","14:29:49",9501900
6400,-240,2400,"sd","14:29:49",9499900
6400,-240,1000,"sd","14:29:49",9497500
6400,-240,2000,"sd","14:29:49",9496500
6400,-240,1000,"sd","14:29:49",9494500
6400,-240,2000,"sd","14:29:49",9493500
6400,-240,3000,"sd","14:29:49",9491500
6400,-240,1000,"sd","14:29:49",9488500
6400,-240,5000,"sd","14:29:49",9487500
6400,-240,500,"sd","14:29:49",9482500
6400,-240,1000,"sd","14:29:49",9482000
6400,-240,200,"sd","14:29:49",9481000
6400,-240,800,"sd","14:29:49",9480800
6400,-240,5000,"sd","14:29:49",9480000
6400,-240,900,"sd","14:29:49",9475000
6400,-240,1000,"sd","14:29:49",9474100
6400,-240,1000,"sd","14:29:49",9473100
6400,-240,3900,"sd","14:29:49",9472100
6410,-230,500,"bu","14:29:49",9468200
6410,-230,1000,"bu","14:29:48",9467700
6400,-240,100,"sd","14:29:47",9466700
6400,-240,500,"sd","14:29:47",9466600
6400,-240,1000,"sd","14:29:47",9466100
6400,-240,700,"sd","14:29:47",9465100
