"price","change","match_qtty","side","time","total_vol"
35700,0,400,"unknown","14:45:02",41800
35400,-300,100,"bu","14:27:23",41400
35400,-300,300,"bu","14:18:48",41300
35300,-400,700,"sd","14:17:19",41000
35300,-400,500,"sd","14:16:17",40300
35400,-300,100,"bu","14:15:16",39800
35400,-300,1000,"bu","14:13:44",39700
35400,-300,2100,"bu","14:08:53",38700
35500,-200,100,"sd","14:06:35",36600
35500,-200,200,"bu","13:52:36",36500
35500,-200,300,"bu","13:28:57",36300
35300,-400,100,"sd","13:25:33",36000
35500,-200,100,"bu","13:22:16",35900
35500,-200,1000,"bu","13:21:21",35800
35500,-200,1000,"bu","13:19:02",34800
35500,-200,100,"bu","13:16:45",33800
35500,-200,2500,"sd","13:14:41",33700
35500,-200,500,"bu","13:08:14",31200
35500,-200,1000,"sd","13:05:02",30700
35700,0,400,"bu","13:00:08",29700
35700,0,1200,"sd","11:28:01",29300
35700,0,5000,"sd","11:24:58",28100
35800,100,1500,"sd","11:20:28",23100
35800,100,100,"sd","11:14:58",21600
35800,100,400,"sd","11:02:16",21500
35800,100,1400,"sd","10:56:28",21100
35900,200,100,"bu","10:54:56",19700
35900,200,100,"bu","10:48:32",19600
36000,300,100,"sd","10:47:45",19500
35900,200,800,"sd","10:46:10",19400
35900,200,200,"bu","10:44:55",18600
35900,200,800,"sd","10:44:41",18400
35900,200,200,"sd","10:44:17",17600
35900,200,800,"bu","10:43:18",17400
35900,200,900,"bu","10:40:48",16600
35900,200,200,"unknown","10:36:07",15700
35900,200,200,"sd","10:24:59",15500
36000,300,1000,"bu","10:24:35",15300
35900,200,200,"sd","10:16:58",14300
36100,400,100,"sd","09:59:07",14100
36100,400,100,"unknown","09:47:07",14000
36300,600,100,"bu","09:45:56",13900
36100,400,500,"unknown","02:45:47",13800
36100,400,500,"sd","09:45:30",13300
36000,300,2000,"sd","09:45:29",12800
36100,400,1000,"bu","09:44:22",10800
36000,300,8000,"sd","09:43:02",9800
36000,300,600,"bu","09:29:27",1800
36000,300,400,"bu","09:29:11",1200
35800,100,100,"sd","09:26:16",800
35900,200,200,"sd","09:24:49",700
36000,300,500,"bu","09:09:03",500
