"price","change","match_qtty","side","time","total_vol"
8800,-300,2400,"sd","14:45:02",53800
9000,-100,700,"bu","13:48:49",51400
9000,-100,500,"bu","13:27:30",50700
8900,-200,1300,"sd","13:19:43",50200
9000,-100,2000,"bu","13:05:33",48900
8900,-200,2700,"sd","13:05:08",46900
8900,-200,300,"sd","13:02:40",44200
8900,-200,200,"unknown","11:29:24",43900
9000,-100,200,"bu","11:15:33",43700
8900,-200,2600,"unknown","10:36:43",43500
8900,-200,2000,"bu","10:35:46",40900
8700,-400,11900,"sd","10:26:04",38900
8900,-200,400,"sd","10:17:04",27000
8900,-200,300,"unknown","09:53:41",26600
8900,-200,7000,"bu","09:51:03",26300
8900,-200,1600,"bu","09:48:09",19300
9000,-100,200,"bu","09:13:16",17700
9000,-100,900,"bu","09:12:13",17500
8900,-200,2700,"sd","09:08:56",16600
8900,-200,1300,"bu","09:08:46",13900
8900,-200,600,"bu","09:08:41",12600
8900,-200,3400,"sd","09:07:56",12000
8900,-200,200,"sd","09:07:39",8600
8900,-200,400,"sd","09:07:17",8400
8900,-200,6000,"sd","09:07:09",8000
9100,0,2000,"bu","09:04:46",2000
