"price","change","match_qtty","side","time","total_vol"
6900,0,500,"bu","14:28:29",95200
6900,0,1000,"bu","14:22:17",94700
6800,-100,1000,"sd","14:11:42",93700
6800,-100,1500,"sd","14:08:19",92700
6900,0,800,"bu","14:00:59",91200
6900,0,200,"bu","14:00:37",90400
6900,0,3500,"bu","14:00:07",90200
6800,-100,3000,"sd","13:58:33",86700
6900,0,3500,"unknown","13:57:30",83700
6900,0,500,"bu","13:55:42",80200
6900,0,100,"bu","13:53:54",79700
6900,0,100,"bu","13:53:21",79600
6900,0,100,"bu","13:52:33",79500
6900,0,2000,"bu","13:52:13",79400
6800,-100,2000,"sd","13:48:42",77400
6900,0,400,"unknown","13:48:04",75400
6900,0,5000,"bu","13:44:19",75000
6900,0,200,"bu","13:41:05",70000
6900,0,1400,"sd","13:36:01",69800
6900,0,400,"sd","13:31:14",68400
6900,0,3000,"sd","13:29:47",68000
6900,0,4000,"sd","13:29:17",65000
6900,0,4000,"sd","13:26:29",61000
6900,0,7000,"sd","13:25:29",57000
6900,0,1000,"sd","13:23:13",50000
6900,0,5000,"sd","13:22:34",49000
6900,0,3000,"sd","13:19:58",44000
6900,0,1500,"sd","13:19:07",41000
6900,0,400,"sd","13:18:16",39500
6900,0,500,"sd","13:18:12",39100
6900,0,2000,"sd","13:13:08",38600
6900,0,2500,"sd","13:09:10",36600
6900,0,800,"sd","13:02:56",34100
6900,0,3000,"sd","13:02:55",33300
6900,0,900,"sd","11:30:01",30300
6900,0,1500,"sd","11:29:47",29400
6900,0,2500,"sd","11:26:07",27900
7000,100,100,"bu","11:24:50",25400
7000,100,1000,"bu","11:21:49",25300
7000,100,1000,"bu","11:15:50",24300
6900,0,1600,"unknown","11:14:42",23300
6900,0,100,"bu","11:13:08",21700
6900,0,1300,"bu","11:13:04",21600
6900,0,500,"bu","11:11:47",20300
6900,0,6600,"unknown","11:10:27",19800
6800,-100,500,"sd","11:01:54",13200
6800,-100,1900,"sd","10:52:14",12700
6800,-100,3000,"sd","10:45:45",10800
6800,-100,3500,"sd","10:34:47",7800
6900,0,100,"bu","10:14:38",4300
6900,0,100,"bu","10:06:37",4200
6900,0,500,"bu","10:04:51",4100
6900,0,100,"bu","09:57:16",3600
6900,0,900,"bu","09:45:31",3500
6900,0,400,"unknown","09:41:40",2600
6900,0,100,"bu","09:40:00",2200
6800,-100,600,"sd","09:36:47",2100
6900,0,1000,"bu","09:33:30",1500
6900,0,500,"bu","09:26:21",500
