"price","change","match_qtty","side","time","total_vol"
4900,-500,100,"bu","14:46:24",65800
4900,-500,400,"bu","14:37:44",65700
4900,-500,200,"bu","14:30:16",65300
4900,-500,1000,"bu","14:29:28",65100
4900,-500,2900,"sd","14:20:54",64100
5000,-400,900,"bu","14:08:09",61200
4900,-500,1000,"sd","14:07:49",60300
5000,-400,3100,"bu","14:04:56",59300
5000,-400,200,"bu","14:03:59",56200
5000,-400,3500,"bu","14:00:27",56000
5000,-400,1200,"bu","13:58:41",52500
5000,-400,2000,"bu","13:57:16",51300
5000,-400,900,"bu","13:56:52",49300
5000,-400,100,"bu","13:50:43",48400
4900,-500,5000,"sd","13:14:51",48300
4900,-500,40000,"sd","13:11:46",43300
5000,-400,2300,"sd","11:15:53",3300
5300,-100,500,"bu","10:56:51",1000
4900,-500,300,"sd","10:38:57",500
5400,0,200,"bu","10:36:33",200
