"price","change","match_qtty","side","time","total_vol"
16900,-100,1500,"sd","14:58:39",58200
16900,-100,500,"bu","14:48:41",56700
16900,-100,500,"sd","14:45:33",56200
16900,-100,500,"sd","14:38:35",55700
16900,-100,3500,"bu","14:37:48",55200
16700,-300,700,"unknown","14:35:52",51700
16700,-300,900,"bu","14:19:43",51000
16700,-300,3000,"bu","14:19:13",50100
16700,-300,1100,"sd","14:19:09",47100
16700,-300,1000,"unknown","14:04:15",46000
16700,-300,300,"unknown","13:54:39",45000
16700,-300,4700,"sd","13:53:56",44700
16900,-100,200,"sd","13:53:02",40000
16900,-100,100,"sd","13:37:34",39800
16900,-100,600,"bu","13:36:42",39700
16900,-100,1000,"bu","13:32:35",39100
16800,-200,1500,"sd","13:23:20",38100
16900,-100,30000,"bu","13:18:09",36600
16800,-200,1000,"sd","13:13:53",6600
16800,-200,300,"sd","13:02:11",5600
16700,-300,5300,"sd","11:23:34",5300
