"price","change","match_qtty","side","time","total_vol"
35100,100,800,"sd","14:04:57",23500
35100,100,1000,"sd","13:58:45",22700
35100,100,600,"sd","13:26:40",21700
36000,1000,500,"bu","11:03:35",21100
36000,1000,500,"unknown","10:10:28",20600
36900,1900,200,"sd","10:07:39",20100
36900,1900,3600,"sd","10:07:08",19900
36900,1900,500,"bu","09:53:07",16300
37000,2000,1000,"unknown","09:48:15",15800
37000,2000,500,"bu","09:47:53",14800
37000,2000,100,"bu","09:44:20",14300
37000,2000,200,"bu","09:43:56",14200
36500,1500,100,"bu","09:43:27",14000
36200,1200,1000,"bu","09:43:03",13900
36100,1100,1000,"bu","09:42:51",12900
36000,1000,3000,"bu","09:38:00",11900
36000,1000,400,"bu","09:23:31",8900
36000,1000,5000,"bu","09:22:26",8500
36000,1000,3500,"bu","09:16:31",3500
