"price","change","match_qtty","side","time","total_vol"
5910,-90,3600,"sd","14:45:02",10900
6020,20,100,"bu","13:59:06",7300
6010,10,100,"bu","13:58:38",7200
6010,10,100,"bu","13:50:56",7100
6000,0,100,"sd","13:45:46",7000
6000,0,100,"sd","13:43:55",6900
6000,0,500,"sd","13:39:04",6800
6000,0,2000,"sd","13:37:07",6300
6000,0,600,"bu","13:27:37",4300
6000,0,200,"bu","13:27:37",3700
5930,-70,300,"sd","13:03:55",3500
5910,-90,100,"sd","10:22:32",3200
6000,0,100,"sd","10:19:44",3100
6000,0,1000,"sd","10:19:44",3000
6000,0,100,"sd","10:19:44",2000
6000,0,200,"sd","10:19:44",1900
6000,0,100,"sd","10:19:40",1700
6000,0,400,"sd","10:13:55",1600
6000,0,400,"sd","10:13:55",1200
6000,0,600,"sd","09:47:28",800
6000,0,100,"sd","09:41:24",200
6100,100,100,"bu","09:31:34",100
