"price","change","match_qtty","side","time","total_vol"
42400,-50,3000,"unknown","14:45:00",23400
42050,-400,100,"bu","14:27:03",20400
42000,-450,300,"sd","14:24:57",20300
42050,-400,3000,"bu","14:24:52",20000
42000,-450,100,"sd","14:24:36",17000
42000,-450,200,"sd","14:24:36",16900
42000,-450,100,"sd","14:23:42",16700
42000,-450,200,"sd","14:23:42",16600
42000,-450,400,"sd","14:21:35",16400
42000,-450,200,"sd","14:21:35",16000
42050,-400,1000,"sd","14:21:29",15800
42050,-400,1000,"sd","14:21:29",14800
42050,-400,100,"sd","14:21:29",13800
42000,-450,1300,"sd","13:53:24",13700
42100,-350,500,"sd","13:53:24",12400
42100,-350,300,"sd","13:44:21",11900
42100,-350,100,"sd","13:22:03",11600
42200,-250,200,"bu","13:20:44",11500
42050,-400,200,"bu","13:20:44",11300
42050,-400,100,"bu","13:20:44",11100
42000,-450,100,"sd","13:20:05",11000
42000,-450,100,"sd","13:17:57",10900
42000,-450,100,"sd","13:17:22",10800
42000,-450,100,"bu","13:16:38",10700
42000,-450,100,"bu","13:16:38",10600
41900,-550,200,"bu","13:15:34",10500
41900,-550,300,"bu","13:15:17",10300
41800,-650,100,"bu","13:13:29",10000
41800,-650,1000,"bu","13:13:20",9900
41700,-750,100,"bu","13:11:35",8900
41700,-750,200,"bu","13:11:35",8800
41700,-750,100,"bu","13:11:35",8600
41600,-850,200,"sd","13:07:29",8500
41600,-850,300,"sd","13:07:29",8300
41700,-750,100,"bu","13:03:59",8000
41700,-750,800,"bu","13:03:59",7900
41700,-750,100,"bu","13:03:28",7100
41700,-750,100,"sd","13:03:09",7000
41700,-750,1000,"sd","13:03:09",6900
41600,-850,500,"sd","10:43:58",5900
41700,-750,900,"sd","10:43:58",5400
41750,-700,100,"sd","10:43:58",4500
41750,-700,100,"sd","10:24:03",4400
41800,-650,1000,"unknown","10:07:46",4300
41800,-650,100,"bu","10:07:46",3300
41750,-700,100,"bu","10:07:23",3200
41750,-700,100,"unknown","10:06:32",3100
41750,-700,100,"unknown","10:06:32",3000
41800,-650,1000,"unknown","10:02:13",2900
41800,-650,100,"sd","09:55:37",1900
41850,-600,100,"bu","09:35:22",1800
41700,-750,100,"bu","09:34:50",1700
41650,-800,100,"sd","09:33:38",1600
41600,-850,200,"sd","09:31:26",1500
41600,-850,300,"sd","09:31:26",1300
41700,-750,1000,"sd","09:30:55",1000
