"price","change","match_qtty","side","time","total_vol"
3200,0,10000,"bu","14:59:21",381700
3200,0,100,"bu","14:57:20",371700
3200,0,1000,"bu","14:56:20",371600
3200,0,3000,"bu","14:53:06",370600
3200,0,4100,"bu","14:52:40",367600
3200,0,3000,"bu","14:52:26",363500
3200,0,100,"bu","14:51:19",360500
3200,0,1000,"bu","14:48:01",360400
3200,0,300,"bu","14:41:57",359400
3100,-100,100,"sd","14:35:01",359100
3200,0,200,"bu","14:32:50",359000
3200,0,4000,"bu","14:31:15",358800
3200,0,800,"bu","14:28:43",354800
3200,0,800,"bu","14:21:54",354000
3200,0,1100,"bu","14:20:07",353200
3200,0,1000,"bu","14:19:55",352100
3200,0,100,"bu","14:19:09",351100
3200,0,500,"bu","14:13:37",351000
3200,0,1000,"bu","14:09:21",350500
3200,0,1000,"bu","14:07:05",349500
3100,-100,2000,"sd","14:00:22",348500
3100,-100,600,"sd","13:51:40",346500
3100,-100,400,"sd","13:49:06",345900
3100,-100,1000,"sd","13:48:48",345500
3100,-100,600,"sd","13:48:02",344500
3100,-100,900,"sd","13:43:15",343900
3200,0,1000,"bu","13:40:40",343000
3200,0,100,"bu","13:38:45",342000
3200,0,4800,"bu","13:38:10",341900
3200,0,100,"bu","13:37:40",337100
3100,-100,500,"sd","13:35:05",337000
3200,0,2900,"bu","13:34:00",336500
3200,0,18800,"sd","13:33:13",333600
3200,0,1000,"sd","13:32:54",314800
3200,0,1000,"sd","13:31:38",313800
3200,0,2900,"sd","13:31:29",312800
3200,0,200,"sd","13:30:33",309900
3200,0,200,"sd","13:30:30",309700
3200,0,300,"sd","13:28:09",309500
3300,100,500,"bu","13:27:12",309200
3300,100,2400,"bu","13:18:12",308700
3200,0,700,"sd","13:18:11",306300
3200,0,100,"sd","13:12:09",305600
3200,0,1200,"sd","13:11:05",305500
3200,0,100,"sd","13:09:53",304300
3200,0,600,"sd","13:03:51",304200
3200,0,200,"sd","13:00:03",303600
3200,0,600,"bu","11:23:26",303400
3200,0,2000,"bu","11:23:02",302800
3100,-100,10000,"sd","11:20:59",300800
3200,0,200,"bu","11:18:59",290800
3200,0,9400,"sd","11:18:05",290600
3200,0,200,"sd","11:16:34",281200
3200,0,2000,"sd","11:13:11",281000
3200,0,43000,"sd","11:00:29",279000
3200,0,800,"sd","10:47:22",236000
3200,0,2500,"sd","10:45:38",235200
3200,0,2800,"sd","10:45:12",232700
3200,0,30000,"sd","10:42:19",229900
3200,0,100,"sd","10:40:18",199900
3200,0,12200,"sd","10:37:57",199800
3200,0,100,"sd","10:27:29",187600
3200,0,23800,"bu","10:24:13",187500
3200,0,1000,"sd","10:21:51",163700
3200,0,6000,"sd","10:21:41",162700
3200,0,1000,"sd","10:21:19",156700
3300,100,300,"bu","10:20:34",155700
3200,0,1000,"sd","10:20:30",155400
3200,0,7700,"sd","10:20:13",154400
3200,0,14300,"sd","10:19:37",146700
3200,0,600,"sd","10:18:38",132400
3200,0,100,"sd","10:16:51",131800
3200,0,10000,"sd","10:14:58",131700
3200,0,10000,"sd","10:12:13",121700
3200,0,1000,"sd","10:09:07",111700
3200,0,200,"sd","10:05:53",110700
3200,0,10000,"sd","10:04:38",110500
3200,0,300,"sd","09:57:10",100500
3200,0,10000,"sd","09:52:09",100200
3200,0,6300,"sd","09:40:56",90200
3200,0,1700,"sd","09:40:08",83900
3200,0,3000,"sd","09:40:03",82200
3200,0,100,"sd","09:39:43",79200
3200,0,6000,"sd","09:39:34",79100
3200,0,100,"sd","09:38:31",73100
3200,0,1000,"sd","09:35:47",73000
3200,0,800,"sd","09:32:42",72000
3200,0,1000,"sd","09:29:33",71200
3300,100,13100,"bu","09:29:04",70200
3300,100,8000,"bu","09:28:53",57100
3300,100,10000,"bu","09:28:31",49100
3300,100,20000,"bu","09:28:10",39100
3300,100,5000,"bu","09:27:29",19100
3200,0,600,"sd","09:22:01",14100
3300,100,1000,"bu","09:20:09",13500
3300,100,2000,"bu","09:18:38",12500
3300,100,100,"bu","09:17:40",10500
3200,0,500,"sd","09:11:35",10400
3200,0,9900,"sd","09:09:33",9900
