"price","change","match_qtty","side","time","total_vol"
75800,1300,62400,"unknown","14:45:01",1296800
75400,900,100,"sd","14:29:44",1234400
75400,900,300,"sd","14:29:41",1234300
75300,800,100,"sd","14:28:41",1234000
75500,1000,1800,"bu","14:28:18",1233900
75500,1000,1700,"bu","14:28:18",1232100
75400,900,500,"bu","14:28:18",1230400
75400,900,200,"bu","14:28:18",1229900
75400,900,100,"bu","14:28:18",1229700
75400,900,200,"bu","14:28:18",1229600
75300,800,1200,"sd","14:27:55",1229400
75300,800,1500,"sd","14:27:54",1228200
75200,700,200,"sd","14:27:17",1226700
75200,700,300,"sd","14:27:17",1226500
75200,700,200,"sd","14:27:04",1226200
75100,600,400,"sd","14:26:38",1226000
75200,700,100,"sd","14:26:38",1225600
75100,600,600,"sd","14:26:21",1225500
75100,600,300,"sd","14:26:21",1224900
75200,700,100,"sd","14:26:21",1224600
75300,800,1900,"sd","14:26:21",1224500
75300,800,2000,"bu","14:25:32",1222600
75300,800,3000,"bu","14:25:32",1220600
75300,800,2000,"bu","14:25:32",1217600
75200,700,100,"sd","14:25:32",1215600
75200,700,100,"bu","14:25:07",1215500
75200,700,100,"bu","14:25:02",1215400
75200,700,100,"bu","14:24:34",1215300
75200,700,100,"bu","14:24:06",1215200
75200,700,200,"bu","14:23:27",1215100
75200,700,200,"sd","14:23:19",1214900
75200,700,1100,"sd","14:23:19",1214700
75200,700,1000,"sd","14:23:19",1213600
75200,700,100,"sd","14:23:19",1212600
75200,700,100,"sd","14:23:19",1212500
75200,700,1000,"sd","14:23:19",1212400
75200,700,100,"sd","14:23:19",1211400
75200,700,200,"sd","14:22:24",1211300
75200,700,200,"sd","14:22:20",1211100
75100,600,300,"sd","14:20:45",1210900
75300,800,200,"bu","14:19:50",1210600
75100,600,100,"sd","14:19:50",1210400
75200,700,500,"sd","14:19:50",1210300
75200,700,100,"sd","14:19:50",1209800
75100,600,2300,"sd","14:19:16",1209700
75100,600,100,"sd","14:19:16",1207400
75100,600,100,"sd","14:19:16",1207300
75100,600,3000,"sd","14:19:16",1207200
75100,600,1000,"sd","14:19:16",1204200
75100,600,100,"sd","14:19:16",1203200
75100,600,2100,"sd","14:19:16",1203100
75100,600,300,"sd","14:19:16",1201000
75100,600,5400,"sd","14:19:16",1200700
75200,700,100,"sd","14:19:16",1195300
75200,700,400,"sd","14:19:16",1195200
75200,700,600,"sd","14:18:30",1194800
75200,700,400,"sd","14:18:30",1194200
75200,700,500,"sd","14:17:51",1193800
75200,700,1000,"sd","14:17:51",1193300
75200,700,2000,"sd","14:17:51",1192300
75200,700,500,"sd","14:17:51",1190300
75300,800,1000,"sd","14:17:31",1189800
75300,800,100,"sd","14:17:31",1188800
75300,800,100,"sd","14:17:31",1188700
75300,800,800,"sd","14:17:31",1188600
75400,900,100,"bu","14:17:20",1187800
75300,800,10000,"sd","14:16:50",1187700
75300,800,100,"bu","14:16:22",1177700
75300,800,4000,"bu","14:16:22",1177600
75200,700,7600,"bu","14:16:22",1173600
75200,700,1000,"bu","14:16:21",1166000
75200,700,300,"sd","14:16:14",1165000
75200,700,300,"sd","14:16:14",1164700
75200,700,800,"sd","14:16:14",1164400
75200,700,100,"sd","14:16:06",1163600
75200,700,2100,"sd","14:15:43",1163500
75200,700,100,"sd","14:15:43",1161400
75200,700,100,"sd","14:15:43",1161300
75200,700,100,"sd","14:15:43",1161200
75300,800,600,"sd","14:15:43",1161100
75300,800,100,"sd","14:15:34",1160500
75300,800,2900,"sd","14:14:35",1160400
75300,800,500,"sd","14:14:35",1157500
75300,800,100,"sd","14:14:35",1157000
75300,800,400,"sd","14:14:35",1156900
75300,800,1000,"sd","14:14:35",1156500
75300,800,100,"sd","14:14:35",1155500
75300,800,500,"sd","14:13:42",1155400
75300,800,400,"sd","14:13:12",1154900
75300,800,1000,"sd","14:12:47",1154500
75300,800,400,"sd","14:12:07",1153500
75300,800,2400,"sd","14:12:02",1153100
75300,800,2600,"sd","14:12:02",1150700
75400,900,500,"bu","14:11:54",1148100
75300,800,100,"sd","14:11:46",1147600
75300,800,100,"sd","14:11:28",1147500
75300,800,200,"sd","14:11:25",1147400
75400,900,100,"bu","14:11:15",1147200
75400,900,400,"sd","14:10:49",1147100
75400,900,600,"bu","14:10:46",1146700
75400,900,300,"bu","14:10:43",1146100
75400,900,100,"bu","14:10:06",1145800
75300,800,300,"sd","14:09:48",1145700
75300,800,100,"sd","14:09:48",1145400
75300,800,100,"sd","14:09:48",1145300
75500,1000,500,"bu","14:09:41",1145200
75300,800,200,"sd","14:09:25",1144700
75300,800,5000,"sd","14:09:25",1144500
75300,800,900,"sd","14:09:25",1139500
75300,800,10000,"sd","14:09:25",1138600
75300,800,100,"sd","14:09:25",1128600
75400,900,100,"sd","14:09:25",1128500
75400,900,400,"sd","14:09:25",1128400
75400,900,100,"sd","14:09:25",1128000
75400,900,200,"sd","14:09:25",1127900
75500,1000,500,"sd","14:08:28",1127700
75500,1000,1000,"sd","14:08:28",1127200
75500,1000,3000,"sd","14:08:27",1126200
75500,1000,100,"sd","14:08:27",1123200
75500,1000,1000,"sd","14:08:27",1123100
75500,1000,2200,"sd","14:08:27",1122100
75500,1000,1000,"sd","14:08:03",1119900
75500,1000,300,"sd","14:07:46",1118900
