"price","change","match_qtty","side","time","total_vol"
18300,0,900,"bu","14:56:59",171800
18300,0,200,"bu","14:53:42",170900
18300,0,100,"bu","14:46:48",170700
18200,-100,100,"sd","14:32:25",170600
18300,0,100,"bu","14:31:42",170500
18200,-100,100,"unknown","14:24:51",170400
18200,-100,1400,"sd","14:24:46",170300
18200,-100,200,"bu","14:24:12",168900
18200,-100,500,"bu","14:21:53",168700
18200,-100,100,"bu","14:18:28",168200
18200,-100,400,"bu","14:17:13",168100
18200,-100,5000,"sd","14:16:39",167700
18200,-100,4600,"bu","14:14:55",162700
18200,-100,1000,"bu","14:14:48",158100
18200,-100,4600,"bu","14:14:25",157100
18200,-100,1600,"bu","13:59:00",152500
18200,-100,4900,"bu","13:57:00",150900
18200,-100,100,"bu","13:50:19",146000
18200,-100,1000,"bu","13:48:34",145900
18200,-100,100,"bu","13:48:22",144900
18200,-100,2000,"bu","13:48:12",144800
18100,-200,9600,"sd","13:44:31",142800
18100,-200,2100,"sd","13:27:59",133200
18200,-100,2900,"sd","13:24:29",131100
18200,-100,3000,"sd","13:24:20",128200
18200,-100,300,"bu","13:22:59",125200
18200,-100,2300,"bu","13:22:00",124900
18100,-200,300,"sd","13:20:27",122600
18100,-200,500,"sd","13:18:18",122300
18100,-200,500,"sd","13:18:17",121800
18200,-100,300,"bu","13:17:49",121300
18100,-200,2000,"sd","13:12:14",121000
18100,-200,5000,"sd","13:10:39",119000
18100,-200,1000,"sd","13:10:35",114000
18200,-100,100,"bu","13:09:05",113000
18200,-100,100,"bu","13:05:33",112900
18200,-100,1000,"bu","13:01:25",112800
18200,-100,1700,"bu","13:00:04",111800
18200,-100,500,"bu","13:00:03",110100
18200,-100,2800,"sd","13:00:02",109600
18200,-100,4000,"sd","11:28:06",106800
18200,-100,200,"sd","11:20:12",102800
18200,-100,500,"sd","11:16:00",102600
18200,-100,100,"bu","11:13:55",102100
18200,-100,200,"bu","11:13:10",102000
18200,-100,5000,"sd","11:12:31",101800
18200,-100,2000,"bu","11:12:05",96800
18200,-100,2000,"bu","11:09:34",94800
18200,-100,100,"bu","10:56:22",92800
18200,-100,3000,"bu","10:55:14",92700
18200,-100,200,"bu","10:52:19",89700
18200,-100,5000,"bu","10:51:44",89500
18200,-100,400,"bu","10:50:13",84500
18200,-100,100,"bu","10:48:52",84100
18100,-200,300,"sd","10:47:33",84000
18100,-200,1000,"sd","10:47:09",83700
18200,-100,5000,"bu","10:44:13",82700
18200,-100,400,"bu","10:40:23",77700
18200,-100,6000,"bu","10:37:35",77300
18200,-100,3000,"bu","10:37:30",71300
18200,-100,1000,"bu","10:29:51",68300
18200,-100,100,"bu","10:25:35",67300
18200,-100,100,"bu","10:22:33",67200
18200,-100,100,"bu","10:20:43",67100
18100,-200,100,"sd","10:19:09",67000
18200,-100,1000,"bu","10:19:04",66900
18100,-200,400,"sd","10:18:57",65900
18200,-100,100,"bu","10:15:12",65500
18200,-100,1000,"bu","10:14:06",65400
18100,-200,200,"sd","10:13:57",64400
18100,-200,100,"sd","10:11:40",64200
18100,-200,100,"sd","10:10:41",64100
18100,-200,300,"sd","10:09:50",64000
18100,-200,2000,"sd","10:01:44",63700
18100,-200,3000,"sd","10:01:32",61700
18100,-200,2000,"sd","10:01:24",58700
18200,-100,100,"bu","09:49:47",56700
18200,-100,100,"bu","09:48:17",56600
18200,-100,1000,"bu","09:47:19",56500
18200,-100,200,"bu","09:46:38",55500
18200,-100,1000,"bu","09:45:45",55300
18100,-200,100,"sd","09:45:23",54300
18200,-100,1000,"bu","09:45:07",54200
18200,-100,12400,"bu","09:43:28",53200
18200,-100,100,"sd","09:43:04",40800
18300,0,200,"bu","09:40:48",40700
18300,0,2100,"sd","09:40:38",40500
18300,0,100,"sd","09:39:32",38400
18300,0,400,"sd","09:34:11",38300
18300,0,3000,"sd","09:32:21",37900
18300,0,1000,"sd","09:31:49",34900
18400,100,1900,"bu","09:31:19",33900
18300,0,200,"sd","09:30:58",32000
18300,0,100,"bu","09:30:48",31800
18300,0,500,"bu","09:30:13",31700
18300,0,2400,"sd","09:29:53",31200
18300,0,300,"sd","09:29:39",28800
18300,0,1400,"sd","09:29:16",28500
18300,0,5000,"sd","09:28:06",27100
18300,0,300,"sd","09:25:19",22100
18300,0,200,"sd","09:24:27",21800
18400,100,5000,"bu","09:22:06",21600
18400,100,100,"bu","09:20:21",16600
18400,100,3000,"bu","09:17:25",16500
18400,100,100,"bu","09:15:25",13500
18400,100,100,"bu","09:13:28",13400
18300,0,800,"bu","09:11:41",13300
18300,0,200,"sd","09:11:02",12500
18400,100,300,"bu","09:07:27",12300
18300,0,2000,"bu","09:05:02",12000
18300,0,1300,"bu","09:02:03",10000
18300,0,7000,"sd","09:01:21",8700
18300,0,1700,"sd","09:00:21",1700
