"price","change","match_qtty","side","time","total_vol"
21500,-300,600,"bu","14:59:59",181100
21400,-400,900,"unknown","14:59:19",180500
21400,-400,100,"bu","14:47:14",179600
21400,-400,1000,"bu","14:29:50",179500
21300,-500,500,"sd","13:58:01",178500
21300,-500,2600,"bu","13:55:42",178000
21300,-500,6100,"bu","13:55:11",175400
21300,-500,10000,"bu","13:54:54",169300
21300,-500,1300,"sd","13:54:32",159300
21300,-500,200,"unknown","13:43:06",158000
21300,-500,100,"bu","13:41:20",157800
21300,-500,200,"bu","13:38:12",157700
21300,-500,800,"bu","13:37:40",157500
21300,-500,9000,"bu","13:35:30",156700
21300,-500,3900,"bu","13:33:59",147700
21300,-500,4200,"bu","13:30:23",143800
21300,-500,20000,"bu","13:30:03",139600
21300,-500,1600,"sd","13:29:36",119600
21300,-500,4800,"sd","13:23:35",118000
21300,-500,15000,"bu","13:23:21",113200
21300,-500,200,"sd","13:22:58",98200
21300,-500,2800,"bu","13:22:41",98000
21300,-500,5000,"bu","13:22:19",95200
21300,-500,2200,"bu","13:22:00",90200
21400,-400,100,"bu","13:00:01",88000
21400,-400,100,"bu","11:20:24",87900
21400,-400,100,"bu","11:07:28",87800
21400,-400,400,"bu","10:58:56",87700
21400,-400,1200,"bu","10:37:32",87300
21400,-400,2400,"bu","10:37:15",86100
21500,-300,1800,"sd","10:25:34",83700
21600,-200,1600,"unknown","10:18:39",81900
21700,-100,100,"bu","10:06:03",80300
21700,-100,1000,"bu","10:03:49",80200
21700,-100,900,"bu","10:03:37",79200
21700,-100,1700,"bu","10:03:26",78300
21700,-100,1300,"sd","10:03:14",76600
21700,-100,1500,"bu","09:46:08",75300
21700,-100,3000,"bu","09:45:50",73800
21700,-100,2100,"bu","09:45:38",70800
21700,-100,1900,"bu","09:45:28",68700
21700,-100,3100,"bu","09:45:16",66800
21700,-100,3000,"bu","09:45:04",63700
21700,-100,3200,"bu","09:44:52",60700
21700,-100,900,"sd","09:44:36",57500
21700,-100,300,"sd","09:34:20",56600
21800,0,1000,"bu","09:24:24",56300
21900,100,500,"bu","09:20:04",55300
21900,100,1900,"bu","09:17:41",54800
21900,100,3000,"bu","09:17:31",52900
21900,100,2100,"bu","09:17:19",49900
21900,100,2200,"bu","09:17:05",47800
21900,100,800,"bu","09:16:47",45600
21900,100,100,"bu","09:14:49",44800
21900,100,600,"bu","09:13:04",44700
21900,100,3000,"bu","09:12:51",44100
21900,100,3200,"bu","09:12:38",41100
21900,100,2100,"bu","09:12:26",37900
21900,100,3800,"bu","09:12:15",35800
21900,100,5000,"bu","09:12:03",32000
21900,100,1400,"bu","09:11:50",27000
21900,100,600,"sd","09:11:40",25600
21900,100,200,"bu","09:10:12",25000
21900,100,500,"bu","09:09:57",24800
21900,100,2000,"bu","09:09:51",24300
21900,100,3100,"bu","09:09:39",22300
21900,100,3000,"bu","09:09:27",19200
21900,100,10200,"bu","09:09:17",16200
21900,100,1100,"sd","09:08:54",6000
21900,100,400,"sd","09:08:37",4900
21900,100,800,"bu","09:08:22",4500
21800,0,500,"sd","09:08:10",3700
21800,0,600,"bu","09:07:57",3200
21700,-100,600,"sd","09:07:45",2600
21700,-100,500,"bu","09:07:34",2000
21600,-200,800,"sd","09:07:22",1500
21600,-200,500,"bu","09:02:29",700
21500,-300,200,"sd","09:01:17",200
