"price","change","match_qtty","side","time","total_vol"
5100,-100,23400,"bu","14:45:01",287900
5200,0,100,"bu","14:29:03",264500
5100,-100,2000,"sd","14:23:36",264400
5100,-100,500,"sd","14:23:29",262400
5100,-100,2000,"sd","14:22:40",261900
5100,-100,200,"sd","14:22:37",259900
5100,-100,1100,"sd","14:18:15",259700
5200,0,100,"bu","14:16:37",258600
5100,-100,500,"sd","14:06:32",258500
5100,-100,100,"sd","14:01:22",258000
5100,-100,600,"sd","14:01:18",257900
5100,-100,6200,"sd","13:55:20",257300
5100,-100,100,"sd","13:54:53",251100
5200,0,600,"bu","13:42:16",251000
5000,-200,5000,"sd","13:39:18",250400
5000,-200,2100,"sd","13:38:34",245400
5000,-200,14500,"sd","13:38:32",243300
5000,-200,2000,"sd","13:33:56",228800
5100,-100,1500,"unknown","13:33:25",226800
5100,-100,1400,"sd","13:30:39",225300
5100,-100,2500,"bu","13:28:14",223900
5100,-100,2000,"bu","13:27:26",221400
5100,-100,1000,"bu","13:26:21",219400
5100,-100,4400,"bu","13:26:16",218400
5100,-100,200,"unknown","13:25:38",214000
5100,-100,200,"bu","13:25:11",213800
5100,-100,1000,"bu","13:24:37",213600
5100,-100,2000,"bu","13:24:25",212600
5100,-100,5000,"unknown","13:23:47",210600
5000,-200,200,"sd","13:23:42",205600
5100,-100,1000,"bu","13:23:31",205400
5100,-100,5000,"bu","13:21:16",204400
5100,-100,700,"bu","13:20:33",199400
5100,-100,1000,"bu","13:18:47",198700
5100,-100,5000,"bu","13:18:24",197700
5100,-100,1000,"bu","13:18:11",192700
5100,-100,1000,"bu","13:14:11",191700
5100,-100,2000,"bu","13:14:02",190700
5100,-100,100,"bu","13:12:57",188700
5100,-100,1000,"bu","13:03:01",188600
5100,-100,300,"bu","13:02:33",187600
5100,-100,200,"sd","13:01:55",187300
5100,-100,49500,"bu","13:01:37",187100
5000,-200,3000,"sd","11:22:01",137600
5000,-200,400,"sd","11:21:32",134600
5000,-200,500,"sd","11:20:28",134200
5000,-200,10000,"sd","11:16:55",133700
5000,-200,1000,"sd","11:15:41",123700
5000,-200,5000,"sd","11:14:27",122700
5100,-100,100,"bu","11:10:31",117700
5100,-100,100,"bu","11:09:55",117600
5100,-100,100,"bu","10:58:18",117500
5100,-100,200,"bu","10:55:03",117400
5100,-100,200,"bu","10:54:03",117200
5100,-100,100,"bu","10:45:37",117000
5100,-100,3000,"bu","10:43:59",116900
5100,-100,1000,"bu","10:38:00",113900
5000,-200,200,"sd","10:35:10",112900
5100,-100,200,"bu","10:32:24",112700
5000,-200,5000,"sd","10:28:38",112500
5100,-100,35600,"sd","10:24:36",107500
5100,-100,10000,"sd","10:08:52",71900
5100,-100,200,"sd","10:06:37",61900
5100,-100,5000,"sd","10:05:25",61700
5100,-100,400,"sd","09:59:51",56700
5100,-100,100,"sd","09:51:45",56300
5100,-100,600,"sd","09:50:31",56200
5100,-100,5000,"sd","09:39:13",55600
5100,-100,500,"sd","09:35:25",50600
5100,-100,900,"sd","09:35:01",50100
5100,-100,1200,"sd","09:33:54",49200
5100,-100,5000,"sd","09:33:37",48000
5100,-100,1000,"sd","09:32:45",43000
5100,-100,4600,"sd","09:32:24",42000
5100,-100,2000,"sd","09:31:53",37400
5100,-100,5000,"sd","09:31:45",35400
5100,-100,2000,"sd","09:31:22",30400
5100,-100,5000,"sd","09:29:44",28400
5100,-100,800,"sd","09:24:36",23400
5100,-100,2000,"sd","09:22:25",22600
5100,-100,500,"unknown","09:16:54",20600
5100,-100,1500,"bu","09:15:05",20100
5100,-100,100,"bu","09:13:48",18600
5100,-100,100,"bu","09:13:40",18500
5100,-100,500,"bu","09:13:04",18400
5100,-100,5000,"bu","09:12:52",17900
5100,-100,500,"bu","09:12:27",12900
5100,-100,2200,"bu","09:10:05",12400
5100,-100,4100,"unknown","09:07:20",10200
5100,-100,400,"bu","09:06:50",6100
5100,-100,200,"bu","09:06:11",5700
5100,-100,5300,"bu","09:05:54",5500
5200,0,200,"bu","09:00:05",200
