"price","change","match_qtty","side","time","total_vol"
8300,100,200,"bu","14:45:01",235400
8200,0,8100,"sd","14:29:20",235200
8300,100,400,"bu","14:26:28",227100
8300,100,3000,"sd","14:25:19",226700
8300,100,2000,"sd","14:24:34",223700
8300,100,600,"sd","14:24:16",221700
8300,100,2000,"sd","14:23:07",221100
8300,100,1400,"sd","14:21:19",219100
8300,100,500,"sd","14:20:20",217700
8300,100,100,"sd","14:17:33",217200
8300,100,2000,"bu","14:14:27",217100
8300,100,3000,"bu","14:11:14",215100
8300,100,4600,"sd","14:09:17",212100
8300,100,5000,"sd","14:08:14",207500
8300,100,1600,"bu","14:05:44",202500
8300,100,100,"bu","14:04:50",200900
8300,100,500,"bu","14:03:43",200800
8300,100,1000,"bu","14:02:24",200300
8300,100,1000,"sd","13:58:13",199300
8300,100,200,"bu","13:54:47",198300
8300,100,2000,"bu","13:53:14",198100
8300,100,100,"bu","13:48:18",196100
8300,100,5000,"bu","13:47:36",196000
8300,100,100,"bu","13:46:58",191000
8300,100,100,"bu","13:31:49",190900
8300,100,5000,"bu","13:30:02",190800
8300,100,500,"unknown","13:25:24",185800
8300,100,600,"sd","13:20:44",185300
8300,100,100,"sd","13:17:13",184700
8400,200,4000,"bu","13:16:12",184600
8300,100,1000,"bu","13:07:16",180600
8300,100,500,"bu","13:07:00",179600
8300,100,300,"bu","13:06:46",179100
8300,100,6800,"bu","13:06:43",178800
8200,0,1000,"sd","11:19:30",172000
8200,0,3300,"sd","11:18:53",171000
8200,0,4900,"sd","11:17:13",167700
8300,100,1000,"bu","11:14:40",162800
8300,100,100,"bu","11:13:57",161800
8200,0,1000,"sd","11:13:27",161700
8200,0,1000,"sd","11:13:25",160700
8200,0,3800,"unknown","11:05:57",159700
8100,-100,200,"bu","10:58:18",155900
8100,-100,2800,"bu","10:56:38",155700
8100,-100,5000,"sd","10:54:30",152900
8200,0,100,"sd","10:48:18",147900
8200,0,10000,"sd","10:46:57",147800
8200,0,15000,"sd","10:46:41",137800
8200,0,400,"sd","10:45:54",122800
8200,0,300,"sd","10:45:53",122400
8300,100,600,"bu","10:45:46",122100
8300,100,700,"unknown","10:42:06",121500
8300,100,2000,"sd","10:40:52",120800
8300,100,2100,"sd","10:40:12",118800
8300,100,6500,"sd","10:38:23",116700
8300,100,500,"sd","10:38:19",110200
8300,100,3000,"sd","10:38:17",109700
8300,100,2000,"sd","10:36:32",106700
8400,200,100,"bu","10:36:24",104700
8300,100,5000,"sd","10:34:05",104600
8300,100,500,"sd","10:32:42",99600
8300,100,300,"sd","10:28:37",99100
8300,100,1000,"sd","10:20:49",98800
8400,200,1800,"bu","10:11:39",97800
8400,200,5000,"sd","10:10:39",96000
8400,200,9500,"sd","10:09:56",91000
8400,200,4700,"sd","10:07:27",81500
8400,200,500,"sd","10:06:24",76800
8400,200,100,"sd","10:05:39",76300
8500,300,100,"bu","10:02:34",76200
8400,200,500,"sd","09:50:17",76100
8400,200,2000,"sd","09:49:09",75600
8400,200,200,"sd","09:48:26",73600
8500,300,500,"bu","09:48:20",73400
8500,300,1000,"bu","09:46:21",72900
8500,300,500,"bu","09:45:57",71900
8400,200,9800,"bu","09:41:42",71400
8400,200,100,"bu","09:39:23",61600
8400,200,100,"bu","09:38:52",61500
8400,200,3500,"bu","09:34:43",61400
8400,200,1000,"bu","09:28:16",57900
8400,200,800,"sd","09:27:34",56900
8400,200,10000,"sd","09:26:16",56100
8400,200,100,"sd","09:25:00",46100
8400,200,2000,"unknown","09:20:51",46000
8400,200,500,"bu","09:20:29",44000
8400,200,3300,"bu","09:19:20",43500
8400,200,5000,"sd","09:18:45",40200
8400,200,100,"sd","09:18:34",35200
8400,200,5000,"sd","09:18:14",35100
8400,200,800,"sd","09:17:14",30100
8400,200,3000,"sd","09:16:53",29300
8400,200,2900,"bu","09:14:09",26300
8400,200,2100,"bu","09:13:35",23400
8400,200,4000,"sd","09:13:05",21300
8500,300,5000,"bu","09:12:31",17300
8400,200,400,"bu","09:11:28",12300
8400,200,4000,"bu","09:11:10",11900
8400,200,200,"bu","09:09:05",7900
8400,200,400,"bu","09:08:13",7700
8400,200,2000,"sd","09:07:52",7300
8400,200,200,"sd","09:06:39",5300
8400,200,5000,"unknown","09:05:25",5100
8600,400,100,"bu","09:05:14",100
