"price","change","match_qtty","side","time","total_vol"
24300,100,200,"bu","14:59:51",872100
24300,100,100,"bu","14:59:26",871900
24200,0,1000,"sd","14:59:15",871800
24200,0,100,"sd","14:58:46",870800
24200,0,1900,"sd","14:58:44",870700
24200,0,2500,"unknown","14:58:10",868800
24200,0,500,"bu","14:58:01",866300
24200,0,1000,"unknown","14:56:48",865800
24200,0,1000,"bu","14:56:38",864800
24100,-100,5000,"sd","14:54:29",863800
24200,0,12800,"unknown","14:54:14",858800
24200,0,500,"bu","14:53:47",846000
24200,0,100,"bu","14:53:22",845500
24200,0,500,"bu","14:53:11",845400
24100,-100,100,"sd","14:48:02",844900
24100,-100,7000,"sd","14:48:00",844800
24100,-100,1000,"sd","14:41:40",837800
24200,0,100,"bu","14:41:18",836800
24200,0,100,"bu","14:40:20",836700
24100,-100,1000,"sd","14:40:04",836600
24200,0,100,"bu","14:39:13",835600
24200,0,800,"bu","14:35:55",835500
24200,0,200,"bu","14:34:27",834700
24200,0,200,"bu","14:33:21",834500
24200,0,100,"bu","14:32:37",834300
24100,-100,200,"sd","14:31:53",834200
24200,0,2700,"bu","14:30:22",834000
24100,-100,1600,"sd","14:30:09",831300
24100,-100,1500,"sd","14:29:09",829700
24100,-100,100,"sd","14:28:51",828200
24100,-100,4000,"sd","14:28:25",828100
24100,-100,4000,"sd","14:27:07",824100
24200,0,2000,"bu","14:26:14",820100
24100,-100,500,"sd","14:25:33",818100
24100,-100,400,"sd","14:25:30",817600
24100,-100,1000,"sd","14:25:18",817200
24100,-100,4500,"sd","14:24:27",816200
24100,-100,5000,"sd","14:24:09",811700
24100,-100,600,"sd","14:19:56",806700
24100,-100,400,"sd","14:19:55",806100
24100,-100,100,"unknown","14:18:55",805700
24000,-200,500,"sd","14:18:54",805600
24100,-100,4400,"bu","14:18:32",805100
24100,-100,1500,"sd","14:18:15",800700
24100,-100,400,"sd","14:18:13",799200
24100,-100,1000,"sd","14:17:12",798800
24100,-100,700,"sd","14:17:01",797800
24100,-100,100,"bu","14:16:37",797100
24100,-100,1000,"sd","14:16:04",797000
24100,-100,5000,"sd","14:15:57",796000
24100,-100,1800,"bu","14:15:38",791000
24100,-100,1200,"sd","14:15:04",789200
24100,-100,3400,"sd","14:14:41",788000
24100,-100,500,"sd","14:14:33",784600
24100,-100,5000,"sd","14:14:05",784100
24100,-100,5100,"sd","14:13:58",779100
24100,-100,6000,"sd","14:13:41",774000
24200,0,800,"bu","14:11:53",768000
24100,-100,1500,"sd","14:10:11",767200
24200,0,500,"unknown","14:09:51",765700
24200,0,1100,"sd","14:08:36",765200
24200,0,200,"sd","14:07:42",764100
24200,0,100,"sd","14:07:13",763900
24200,0,100,"bu","14:07:02",763800
24200,0,200,"bu","14:06:52",763700
24100,-100,1000,"sd","14:05:55",763500
24200,0,100,"unknown","14:05:35",762500
24200,0,1500,"sd","14:05:26",762400
24200,0,4300,"sd","14:05:02",760900
24200,0,2000,"sd","14:04:47",756600
24200,0,2000,"sd","14:04:00",754600
24200,0,7900,"sd","14:03:09",752600
24200,0,1000,"sd","14:02:28",744700
24200,0,1500,"sd","14:01:33",743700
24200,0,700,"sd","13:59:37",742200
24200,0,3000,"bu","13:59:28",741500
24200,0,600,"bu","13:59:22",738500
24200,0,100,"bu","13:59:19",737900
24200,0,2000,"bu","13:59:18",737800
24200,0,300,"bu","13:58:48",735800
24200,0,100,"bu","13:58:28",735500
24200,0,1100,"bu","13:57:47",735400
24200,0,100,"bu","13:57:32",734300
24200,0,100,"bu","13:56:52",734200
