"price","change","match_qtty","side","time","total_vol"
4600,100,100,"bu","14:57:37",24000
4500,0,800,"sd","14:57:27",23900
4600,100,100,"bu","14:47:06",23100
4500,0,1000,"sd","14:46:00",23000
4600,100,1400,"bu","14:20:31",22000
4600,100,1800,"bu","14:20:24",20600
4600,100,100,"bu","14:12:02",18800
4500,0,4700,"bu","13:41:44",18700
4600,100,5100,"sd","13:41:34",14000
4600,100,4400,"bu","13:40:08",8900
4600,100,100,"bu","13:30:05",4500
4500,0,1000,"sd","13:30:02",4400
4500,0,800,"bu","13:24:07",3400
4500,0,200,"sd","13:08:37",2600
4500,0,100,"bu","10:54:04",2400
4500,0,400,"sd","09:48:36",2300
4500,0,1600,"sd","09:36:27",1900
4500,0,300,"sd","09:21:04",300
